"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","ribosome biogenesis","261/891","429/5135",1.07326143331425e-101,1.7322439533692e-98,1.58955667018227e-98,"MAK16/POP5/FUN12/ECM1/UTP20/LSM2/RPS8A/RPS11B/MAK5/RPB5/RPS6B/RPS9B/ENP1/REI1/RRP7/SPB1/KRR1/RPS14A/BUD23/PWP2/RSA4/SNU13/RPL12A/POL5/NOP16/NUG1/RPS24A/RPS8B/NSA2/RPS26B/RPL14B/RPS20/RPL8A/RPS27B/CIC1/RPP1/SSZ1/SSF1/LRP1/IPI1/GAR1/RPC10/IMP3/DBP8/NMD3/UTP9/RIX1/FAF1/RPL34B/RPS24B/RPL40A/YVH1/RPL14A/MRT4/URB1/MAK11/DHR2/RRP14/UTP11/LTV1/RPS27A/EBP2/RPL17A/DBP7/RPS21A/UTP30/RPF2/RPL40B/SPB4/LOC1/RPL34A/NOP1/DBP10/TSR1/RPS16B/RPL35B/NOP14/SAS10/FAP7/RPL35A/NHP2/SSB1/FAL1/RPS11A/MAK21/RPS13/RRP8/RRP1/RLI1/ARX1/ACL4/MSS116/RRP45/BFR2/UTP4/BCP1/ESF1/RRP17/RPL12B/NPL3/RPS17B/UTP6/RPS18A/PUF6/RPL37B/TMA20/CGR1/RPL30/RPL24A/RPL7A/DBP3/SRM1/LSG1/NSA1/PRP43/RPS2/RPL1B/ROK1/RPS26A/RAI1/RPL26B/SPT4/UTP22/NOP7/UTP8/ENP2/RPL24B/MTR3/NSR1/TIF4631/SKI6/RPS0A/SDA1/PXR1/ZUO1/NOP9/HCA4/MTR4/UTP18/UTP10/ALB1/RPA34/RPL17B/MPP10/URB2/RPA12/RPS5/DRS1/SOF1/RIX7/RPL8B/NOC3/RLP24/RPS0B/FCF2/FYV7/MDN1/DIP2/RPS31/CBF5/RPL37A/EMG1/PWP1/NOP56/RSA3/UTP13/DBP9/GSP1/SGD1/RPP0/RPL26A/UTP21/TSR2/RPS1A/RPL6B/RPS17A/RPS18B/RPS1B/RPL6A/UTP14/BUD22/ERB1/UTP15/ECM16/RRB1/RPS16A/RRP5/RPS10B/RNA1/RNT1/TMA23/HAS1/RLP7/RCM1/NOP2/IMP4/NOP15/DBP2/KRE33/RPS3/IPI3/RPA49/POP3/RPS19B/KRI1/MPP6/DBP6/NOG2/ESF2/DIS3/RPS15/NOP12/BRX1/REX4/RPS19A/RPL25/NOP8/RRP6/UTP23/RAT1/RPL3/BUD21/RPS7A/RIO1/RPS28A/NOC2/RPB10/RPB8/RPL33B/PUS7/YTM1/RPS10A/RRS1/NOP58/RPA43/RPA190/RRP12/NOP4/RPS6A/NOG1/RPL5/RPL33A/RSA1/NIP7/BMS1/RPL1A/NEW1/RVB2/DIM1/RPA135/TIF6/TIF5/RPL11A/RPC40/MRD1/RPS23B/RRP9/RRP15/RPO26/NOP10/EFG1",261
"GO:0006364","rRNA processing","192/891","314/5135",3.15336906263774e-73,2.54476883354865e-70,2.33515277427963e-70,"MAK16/POP5/FUN12/UTP20/LSM2/RPS8A/RPS11B/MAK5/RPS6B/RPS9B/ENP1/RRP7/SPB1/KRR1/RPS14A/BUD23/PWP2/SNU13/POL5/NOP16/NUG1/RPS24A/RPS8B/NSA2/RPS26B/RPS20/RPL8A/RPS27B/CIC1/RPP1/SSZ1/SSF1/LRP1/IPI1/GAR1/IMP3/DBP8/UTP9/RIX1/FAF1/RPS24B/MRT4/URB1/MAK11/DHR2/RRP14/UTP11/RPS27A/EBP2/RPL17A/DBP7/RPS21A/UTP30/RPF2/SPB4/LOC1/NOP1/DBP10/TSR1/RPS16B/RPL35B/NOP14/SAS10/FAP7/RPL35A/NHP2/SSB1/FAL1/RPS11A/RPS13/RRP8/RRP1/RLI1/MSS116/RRP45/BFR2/UTP4/ESF1/RRP17/NPL3/UTP6/RPS18A/RPL37B/CGR1/RPL30/RPL7A/DBP3/NSA1/PRP43/RPS2/RPL1B/ROK1/RPS26A/RAI1/SPT4/UTP22/NOP7/UTP8/ENP2/MTR3/NSR1/SKI6/RPS0A/PXR1/ZUO1/NOP9/HCA4/MTR4/UTP18/UTP10/RPL17B/MPP10/URB2/DRS1/SOF1/RPL8B/NOC3/RPS0B/FCF2/FYV7/MDN1/DIP2/RPS31/CBF5/RPL37A/EMG1/PWP1/NOP56/UTP13/DBP9/GSP1/UTP21/TSR2/RPS1A/RPS18B/RPS1B/UTP14/BUD22/ERB1/UTP15/ECM16/RRB1/RPS16A/RRP5/RNT1/HAS1/RLP7/RCM1/NOP2/IMP4/NOP15/DBP2/KRE33/IPI3/POP3/KRI1/MPP6/DBP6/ESF2/DIS3/NOP12/BRX1/REX4/NOP8/RRP6/UTP23/RAT1/RPL3/BUD21/RPS7A/RIO1/RPS28A/PUS7/YTM1/RRS1/NOP58/RRP12/NOP4/RPS6A/NOG1/NIP7/BMS1/RPL1A/RVB2/DIM1/TIF6/MRD1/RPS23B/RRP9/RRP15/NOP10/EFG1",192
"GO:0034470","ncRNA processing","228/891","433/5135",2.83891039199694e-70,1.52733379089435e-67,1.40152523562796e-67,"MAK16/POP5/FUN12/SEN34/UTP20/NCL1/LSM2/RPS8A/RPS11B/TRM7/MAK5/RPS6B/RPS9B/ENP1/RRP7/SPB1/KRR1/RPS14A/BUD23/PWP2/SNU13/POL5/NOP16/NUG1/RPS24A/RPS8B/NSA2/RPS26B/RPS20/RPL8A/RPS27B/CIC1/RPP1/SSZ1/SSF1/LRP1/IPI1/GAR1/IMP3/DBP8/UTP9/RIX1/URM1/FAF1/RPS24B/MRT4/URB1/MAK11/DHR2/RRP14/UTP11/RPS27A/EBP2/RPL17A/DBP7/RPS21A/UTP30/RPF2/SPB4/DEG1/LOC1/NOP1/DBP10/LHP1/TSR1/RPS16B/TRM3/RPL35B/NOP14/SAS10/FAP7/RPL35A/TRM8/NHP2/SSB1/FAL1/RPS11A/RPC11/RPS13/RRP8/RRP1/RLI1/TRM82/MSS116/CIA1/RRP45/BFR2/UTP4/ESF1/RRP17/NPL3/UTP6/RPS18A/RPL37B/CGR1/RPL30/RPL7A/DBP3/NSA1/PRP43/RPS2/RPL1B/SUA5/ROK1/RPS26A/NCS6/RAI1/SPT4/UTP22/NOP7/UTP8/ENP2/MTR3/NSR1/SKI6/ELP2/RPS0A/PXR1/ZUO1/NOP9/HCA4/TAD2/MTR4/UTP18/TRL1/UTP10/RPL17B/MPP10/URB2/DRS1/SOF1/RPL8B/NOC3/RPS0B/FCF2/FYV7/MDN1/DIP2/USB1/RPS31/CBF5/RPL37A/EMG1/PWP1/NOP56/UTP13/DBP9/GSP1/TAD3/DUS3/DUS4/UTP21/TSR2/RPS1A/RPS18B/CGI121/RPS1B/DUS1/UTP14/BUD22/ERB1/UTP15/ECM16/RRB1/RPS16A/RRP5/RNT1/TRM732/RIT1/HAS1/RLP7/RCM1/NOP2/GCD10/IMP4/NOP15/DBP2/NCS2/KRE33/IPI3/POP3/PUS4/KRI1/SMM1/MPP6/DBP6/ESF2/DIS3/NOP12/BRX1/REX4/TRM10/PAP2/NOP8/RRP6/UTP23/RAT1/RPL3/BUD21/RPS7A/RIO1/RPS28A/ABP140/PUS7/YTM1/RRS1/NOP58/RRP12/NOP4/ELP3/RPS6A/NOG1/TGS1/RTT10/TYW1/NIP7/BMS1/RPL1A/RVB2/DIM1/TIF6/MRD1/RPS23B/RRP9/RRP15/NOP10/EFG1/PCC1",228
"GO:0002181","cytoplasmic translation","143/891","194/5135",4.13129943262239e-70,1.66697932106313e-67,1.5296679741315e-67,"FUN12/RPL19B/RPS8A/RPL23A/RPL32/RPL4A/RPS11B/TRM7/RPG1/SUP45/RPS6B/RPL21A/RRT2/RPS14A/RPL12A/GCD11/RPS24A/RPS8B/RPL23B/RPS26B/RPL14B/RPS20/RPL8A/RPL27A/RPS27B/SSZ1/RPL42B/RPS4B/RPL2B/RPL34B/RPS24B/DPH1/RPL16A/RPL40A/RPL14A/TMA19/RPS27A/RPL17A/RPS21A/TIF1/RPL40B/RPL2A/RPL34A/RPS29B/RPL31A/RPP1A/RPL13A/RPS16B/RPL41B/RPL35B/RPL41A/RPL35A/SSB1/RPS11A/RPS13/GIR2/RPP2B/RPL12B/TIF35/RPS17B/RPS18A/RPL37B/TMA20/RPL30/RPL24A/RPL7A/RPL28/RPL1B/RPL9A/RPS26A/RPS25A/RPL26B/RPL24B/TIF4631/RPS0A/TIF2/RPL17B/RPL39/RPS22A/SUI2/TMA22/RPL43B/RPS5/RPS4A/RPL8B/RPS0B/RPL22A/RPS31/DPH5/RPL37A/RPL38/RPP0/RPL26A/RPS22B/RPS29A/RPL31B/RPS1A/RPL6B/RPS17A/RPS18B/RPS1B/RPL6A/RPL13B/RPS16A/TIF34/RPL36A/RPS10B/RPL20A/TIF11/RPL16B/RPL42A/NOP13/RPS3/SUI1/RPL18B/RPS19B/RPP2A/RPS15/RPL18A/RPS19A/RPL25/CDC33/RPS7A/RPS28A/RPL33B/RPS10A/RPL20B/PRT1/RPS12/RPL21B/RPS6A/RPL5/RPL33A/RPL1A/SUI3/TIF5/RPL43A/RPL11A/TIF3/RPL29/RPL36B/TMA7/LSO2",143
"GO:0016072","rRNA metabolic process","202/891","363/5135",3.91138098637349e-67,1.26259378240136e-64,1.15859222059526e-64,"MAK16/POP5/FUN12/UTP20/LSM2/RPS8A/RPS11B/MAK5/RPS6B/RPS9B/ENP1/RRP7/SPB1/KRR1/RPS14A/BUD23/PWP2/SNU13/POL5/NOP16/NUG1/RPS24A/RPS8B/NSA2/RPS26B/SPT15/RPS20/RPL8A/RPS27B/CIC1/RPP1/SSZ1/SSF1/LRP1/IPI1/GAR1/IMP3/DBP8/UTP9/RIX1/FAF1/RPS24B/MRT4/URB1/MAK11/DHR2/RRP14/UTP11/RPS27A/EBP2/RPL17A/DBP7/RPS21A/UTP30/RPF2/SPB4/LOC1/NOP1/DBP10/TSR1/RPS16B/RPL35B/NOP14/SAS10/FAP7/RPL35A/NHP2/SSB1/FAL1/RPS11A/RPS13/RRP8/RRP1/RLI1/MSS116/RRP45/BFR2/UTP4/ESF1/RRP17/NPL3/UTP6/RPS18A/RPL37B/CGR1/RPL30/RPL7A/DBP3/NSA1/PRP43/RPS2/RPL1B/ROK1/RPS26A/RAI1/SPT4/UTP22/NOP7/UTP8/ENP2/MTR3/NSR1/SKI6/RPS0A/PXR1/ZUO1/NOP9/RRN7/HCA4/MTR4/UTP18/UTP10/RPA34/RPL17B/MPP10/URB2/RPA12/DRS1/SOF1/RPL8B/NOC3/RPS0B/FCF2/FYV7/MDN1/DIP2/RPS31/CBF5/RPL37A/EMG1/PWP1/NOP56/UTP13/DBP9/GSP1/UTP21/TSR2/RPS1A/RPS18B/RPS1B/UTP14/BUD22/ERB1/UTP15/ECM16/RRB1/RPS16A/RRP5/RNT1/HAS1/RLP7/RCM1/HHT2/NOP2/IMP4/NOP15/DBP2/KRE33/IPI3/RPA49/POP3/KRI1/MPP6/DBP6/ESF2/DIS3/NOP12/BRX1/REX4/PAP2/NOP8/RRP6/UTP23/RAT1/RPL3/BUD21/RPS7A/RIO1/RPS28A/PUS7/YTM1/RRS1/NOP58/RPA43/RPA190/RRP12/NOP4/RPS6A/NOG1/NIP7/BMS1/RPL1A/RVB2/DIM1/RPA135/TIF6/MRD1/RPS23B/RRP9/RRP15/NOP10/EFG1",202
"GO:0042273","ribosomal large subunit biogenesis","103/891","127/5135",2.31347607102278e-57,6.22325063105129e-55,5.71063303847203e-55,"MAK16/MAK5/REI1/SPB1/RSA4/SNU13/RPL12A/POL5/NOP16/NUG1/NSA2/RPS26B/RPL14B/RPL8A/CIC1/SSF1/IPI1/RIX1/RPL40A/YVH1/RPL14A/MRT4/URB1/MAK11/RRP14/EBP2/RPL17A/DBP7/UTP30/RPF2/RPL40B/SPB4/LOC1/DBP10/RPL35B/RPL35A/NHP2/MAK21/RRP8/RLI1/ACL4/RPL12B/PUF6/RPL37B/RPL24A/RPL7A/DBP3/LSG1/NSA1/PRP43/RPL1B/RPS26A/RAI1/RPL26B/NOP7/RPL24B/TIF4631/SDA1/ALB1/RPL17B/DRS1/RIX7/RPL8B/NOC3/RLP24/MDN1/RPL37A/RSA3/DBP9/RPP0/RPL26A/TSR2/RPL6B/RPL6A/ERB1/RRP5/HAS1/RLP7/NOP2/NOP15/IPI3/DBP6/NOP12/BRX1/REX4/RPL25/NOP8/RAT1/RPL3/NOC2/RPL33B/YTM1/RRS1/NOP4/NOG1/RPL5/RPL33A/RSA1/NIP7/RPL1A/TIF6/RPL11A/RRP15",103
"GO:0042274","ribosomal small subunit biogenesis","104/891","145/5135",9.73160806382684e-49,2.24383077357379e-46,2.05900339034652e-46,"FUN12/UTP20/RPS8A/RPS11B/RPS6B/RPS9B/ENP1/RRP7/KRR1/RPS14A/BUD23/PWP2/SNU13/RPS24A/RPS8B/RPS20/RPS27B/IMP3/DBP8/UTP9/FAF1/RPS24B/DHR2/RRP14/UTP11/LTV1/RPS27A/RPS21A/UTP30/LOC1/TSR1/RPS16B/NOP14/SAS10/FAP7/FAL1/RPS11A/RPS13/BFR2/UTP4/RPS17B/UTP6/RPS18A/PRP43/ROK1/UTP22/NOP7/UTP8/ENP2/NSR1/RPS0A/NOP9/UTP18/UTP10/MPP10/RPS5/SOF1/RPS0B/FCF2/FYV7/DIP2/RPS31/EMG1/UTP13/SGD1/UTP21/TSR2/RPS1A/RPS17A/RPS18B/RPS1B/UTP14/BUD22/UTP15/ECM16/RPS16A/RRP5/RPS10B/TMA23/HAS1/IMP4/KRE33/RPS19B/KRI1/ESF2/RPS15/RPS19A/UTP23/BUD21/RPS7A/RIO1/RPS28A/RPS10A/RRS1/NOP58/RRP12/RPS6A/BMS1/NEW1/DIM1/MRD1/RPS23B/RRP9/EFG1",104
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","81/891","106/5135",1.83146297941178e-41,3.69497656096327e-39,3.39061633162155e-39,"FUN12/UTP20/RPS8A/RPS11B/RPS6B/RPS9B/ENP1/KRR1/RPS14A/BUD23/PWP2/SNU13/RPS24A/RPS8B/RPS20/RPS27B/DBP8/UTP9/FAF1/RPS24B/DHR2/UTP11/RPS27A/RPS21A/UTP30/LOC1/TSR1/RPS16B/NOP14/SAS10/FAP7/FAL1/RPS11A/RPS13/BFR2/UTP4/UTP6/RPS18A/PRP43/ROK1/UTP22/NOP7/UTP8/ENP2/RPS0A/NOP9/UTP18/UTP10/MPP10/SOF1/RPS0B/FCF2/FYV7/DIP2/EMG1/UTP13/TSR2/RPS1A/RPS18B/RPS1B/UTP14/UTP15/ECM16/RPS16A/RRP5/HAS1/KRI1/ESF2/UTP23/BUD21/RIO1/RRS1/NOP58/RRP12/RPS6A/BMS1/DIM1/MRD1/RPS23B/RRP9/EFG1",81
"GO:0030490","maturation of SSU-rRNA","85/891","118/5135",4.61192564138352e-40,8.27071998354779e-38,7.58944956424166e-38,"FUN12/UTP20/RPS8A/RPS11B/RPS6B/RPS9B/ENP1/KRR1/RPS14A/BUD23/PWP2/SNU13/RPS24A/RPS8B/RPS20/RPS27B/DBP8/UTP9/FAF1/RPS24B/DHR2/UTP11/RPS27A/RPS21A/UTP30/LOC1/TSR1/RPS16B/NOP14/SAS10/FAP7/FAL1/RPS11A/RPS13/BFR2/UTP4/UTP6/RPS18A/PRP43/ROK1/UTP22/NOP7/UTP8/ENP2/RPS0A/NOP9/UTP18/UTP10/MPP10/SOF1/RPS0B/FCF2/FYV7/DIP2/RPS31/EMG1/UTP13/TSR2/RPS1A/RPS18B/RPS1B/UTP14/BUD22/UTP15/ECM16/RPS16A/RRP5/HAS1/KRE33/KRI1/ESF2/UTP23/BUD21/RIO1/RPS28A/RRS1/NOP58/RRP12/RPS6A/BMS1/DIM1/MRD1/RPS23B/RRP9/EFG1",85
"GO:0000460","maturation of 5.8S rRNA","69/891","92/5135",1.75577438537652e-34,2.43094578442405e-32,2.23070548404398e-32,"MAK16/UTP20/MAK5/ENP1/SPB1/KRR1/BUD23/PWP2/NSA2/CIC1/LRP1/DBP8/URB1/MAK11/UTP11/RPL17A/RPS21A/RPF2/LOC1/DBP10/NOP14/SAS10/RRP45/UTP6/RPS18A/RPL37B/DBP3/PRP43/ROK1/RAI1/NOP7/MTR3/SKI6/RPS0A/NOP9/MTR4/UTP18/UTP10/RPL17B/MPP10/RPS0B/FCF2/DIP2/RPL37A/EMG1/UTP13/GSP1/RPS18B/UTP14/ERB1/RRP5/RLP7/KRI1/MPP6/DBP6/ESF2/DIS3/BRX1/RRP6/UTP23/RAT1/BUD21/YTM1/RRS1/NOP58/TIF6/MRD1/RRP9/RRP15",69
