"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006555","methionine metabolic process","15/213","38/5135",7.54892998609058e-12,7.09599418692515e-09,6.45234857758479e-09,"MET8/ARO9/MET28/MET14/MET1/MET10/ARO10/STR3/MET3/MET5/MET17/ADI1/MET2/MET22/MET16",15
"GO:0000096","sulfur amino acid metabolic process","16/213","47/5135",2.11215119672877e-11,9.82621570985866e-09,8.93492402732949e-09,"MET8/ARO9/MET28/MET14/MET1/MET10/MET32/ARO10/STR3/MET3/MET5/MET17/ADI1/MET2/MET22/MET16",16
"GO:0009086","methionine biosynthetic process","14/213","35/5135",3.13602629038042e-11,9.82621570985866e-09,8.93492402732949e-09,"MET8/ARO9/MET28/MET14/MET1/MET10/STR3/MET3/MET5/MET17/ADI1/MET2/MET22/MET16",14
"GO:0009066","aspartate family amino acid metabolic process","18/213","65/5135",5.7364302906839e-11,1.34806111831072e-08,1.22578457790403e-08,"MET8/CHA1/ARO9/MET28/MET14/MET1/MET10/LYS20/ARO10/STR3/MET3/MET5/MET17/ADI1/MET2/LYS9/MET22/MET16",18
"GO:0009067","aspartate family amino acid biosynthetic process","16/213","51/5135",8.69578422636582e-11,1.63480743455677e-08,1.48652142985454e-08,"MET8/ARO9/MET28/MET14/MET1/MET10/LYS20/STR3/MET3/MET5/MET17/ADI1/MET2/LYS9/MET22/MET16",16
"GO:0000097","sulfur amino acid biosynthetic process","14/213","38/5135",1.16994924641121e-10,1.83292048604423e-08,1.66666454050158e-08,"MET8/ARO9/MET28/MET14/MET1/MET10/STR3/MET3/MET5/MET17/ADI1/MET2/MET22/MET16",14
"GO:0044283","small molecule biosynthetic process","40/213","333/5135",4.08106874827738e-10,5.48029231911533e-08,4.98319973473869e-08,"BDH2/MET8/CHA1/GPP2/ARO9/MET28/MET14/MET1/PCK1/AGX1/MET10/SFA1/LYS20/ARO10/STR3/PDC6/THI4/BNA3/ARG3/SIP4/MET3/MET5/XYL2/PDC5/MET17/FBP1/CAR2/ADI1/SNO1/SNZ1/ALD3/ADH2/SNO4/MET2/LYS9/MET22/HSP33/YIG1/HSP32/MET16",40
"GO:1901605","alpha-amino acid metabolic process","26/213","170/5135",4.42377533520138e-09,5.19793601886163e-07,4.72645470024148e-07,"MET8/CHA1/ARO9/MET28/MET14/MET1/AGX1/MET10/LYS20/ALT2/ARO10/STR3/PDC6/BNA3/ARG3/MET3/MET5/PDC5/MET17/CAR2/ADI1/SNO1/MET2/LYS9/MET22/MET16",26
"GO:0044282","small molecule catabolic process","24/213","148/5135",5.52788957138517e-09,5.28314535143488e-07,4.80393507879633e-07,"GAL7/CHA1/GRE3/ARO9/GUT2/POT1/DAK2/SFA1/ALT2/ARO10/POX1/PDC6/GND2/BNA3/XYL2/PDC5/CAR2/DAK1/ADH2/SNO4/MET22/HSP33/HSP32/CIT3",24
"GO:0006082","organic acid metabolic process","43/213","409/5135",5.62036739514349e-09,5.28314535143488e-07,4.80393507879633e-07,"ACS1/MET8/CHA1/ICL1/ARO9/POT1/MET28/MET14/MET1/AGX1/MET10/SFA1/LYS20/ALT2/MET32/ARO10/STR3/POX1/PDC6/GND2/BNA3/ARG3/MET3/MET5/PDC5/MET17/CAR2/ADI1/SNO1/SNZ1/ALD3/ADH2/SNO4/ERR3/MLS1/MET2/LYS9/MET22/BDS1/HSP33/HSP32/CIT3/MET16",43
