"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","142/756","194/5135",2.45449356932421e-79,3.80446503245252e-76,3.48538086844037e-76,"RPL19B/RPS8A/RPL23A/RPL32/RPL4A/RPS11B/SUP45/RPS6B/RPL21A/RPS14A/HYP2/RPL12A/RPS24A/RPS8B/RPL23B/RPS26B/RPL14B/RPS20/RPL8A/RPL27A/RPS27B/RPL42B/RPS4B/RPL2B/RPL34B/RPS24B/DPH1/RPL16A/RPL40A/RPL14A/TMA19/RPS27A/RPL17A/RPS21A/TIF1/RPL40B/RPL2A/RPL34A/RPL19A/RPS29B/RPL31A/RPP1A/RPL13A/RPS16B/RPP1B/RPL41B/RPL35B/RPL41A/RPL35A/SSB1/RPS11A/RPS13/RPP2B/RPL12B/TIF35/RPS17B/RPS18A/RPL27B/RPL37B/TMA20/RPL30/RPL24A/RPL7A/RPL28/RPL1B/RPL9A/RPS26A/RPS25A/RPL26B/RPL11B/RPL24B/RPS0A/RPS21B/RPL17B/RPL39/RPS22A/RPS14B/SUI2/RPL43B/RPS5/RPS4A/RPL8B/RPL15A/RPS0B/RPL22A/RPS31/RPL37A/RPS28B/RPS30A/RPL38/RPS25B/RPP0/RPL26A/RPS22B/RPS29A/RPL31B/RPS1A/RPL6B/RPS17A/RPS18B/RPS1B/RPL6A/RPL13B/RPS16A/RPL36A/RPS10B/RPL20A/TIF11/RPL16B/RPS7B/RPL42A/NOP13/RPS3/SUI1/RPL18B/RPS19B/RPP2A/RPS15/RPL18A/RPS19A/RPL25/RPS7A/RPS28A/RPS30B/RPL33B/RPS10A/RPL20B/PRT1/RPS12/RPL21B/RPS9A/RPS6A/RPL5/RPL33A/RPL7B/RPL1A/RPL43A/RPL11A/RPL22B/RPL29/RPL36B/TMA7",142
"GO:0042254","ribosome biogenesis","173/756","429/5135",1.22107248192954e-42,9.46331173495392e-40,8.66961462169973e-40,"MAK16/POP5/ECM1/UTP20/POP8/LSM2/RPS8A/RPS11B/RPB5/RPS6B/RPS9B/ENP1/REI1/KRR1/RPS14A/PWP2/RSA4/SNU13/RPL12A/RPS24A/RPS8B/NSA2/RPS26B/LSM5/RPL14B/RPS20/RPL8A/RPS27B/CIC1/RPP1/GAR1/RPC10/IMP3/UTP9/RIX1/RPL34B/RPS24B/RPL40A/YVH1/RPL14A/MRT4/URB1/MAK11/DHR2/RPS27A/RPL17A/RPS21A/UTP30/RPF2/RPL40B/SPB4/RPL34A/NOP1/RPS16B/RPL35B/SAS10/RPL35A/NHP2/SSB1/RPS11A/MAK21/RPS13/RRP1/ARX1/UTP4/LSM6/RRP17/RPL12B/RPS17B/UTP6/RPS18A/RPL37B/TMA20/CGR1/RPL30/RPL24A/RPL7A/DBP3/SRM1/NSA1/RPS2/RPL1B/ROK1/RPS26A/RAI1/RPL26B/SPT4/RPL11B/NOP7/RPS23A/UTP8/RPL24B/RPS0A/UTP10/ALB1/RPS21B/RPA34/RPL17B/RPS14B/RPA12/RPS5/DRS1/RPL8B/RLP24/RPS0B/FCF2/FYV7/MDN1/DIP2/RPS31/CBF5/RPL37A/EMG1/PWP1/NOP56/RSA3/RPS28B/RPP0/RPL26A/UTP21/TSR2/RPS1A/RPL6B/RPS17A/RPS18B/RPS1B/RPL6A/UTP14/ERB1/RPS16A/RRP5/RPS10B/RPS7B/DBP2/LSM7/RPS3/IPI3/RPA49/RPS19B/NOG2/RPS15/BRX1/REX4/RPS19A/RPL25/UTP23/RPL3/BUD21/RPS7A/RPS28A/NOC2/RPB8/RPL33B/PUS7/RPS10A/NOP58/RPA43/RPA190/NOP4/RPS9A/RPS6A/RPL5/RPL33A/RPL7B/NIP7/RPL1A/RPA135/RPL11A/RPS23B/RRP9/RPO26/NOP10/EFG1",173
"GO:0006412","translation","166/756","495/5135",4.72530687070699e-29,2.44140854986528e-26,2.23664525213464e-26,"NCL1/RPL19B/HEK2/RPS8A/RPL23A/RPL32/RPL4A/RPS11B/GRS1/SUP45/RPS6B/RPS9B/RPL21A/SRO9/RPS14A/HYP2/RPL12A/RPS24A/RPS8B/RPL23B/RPS26B/RPL14B/RPS20/RPL8A/RPL27A/DED81/RPS27B/RPL42B/RPS4B/RPL2B/RPL34B/RPS24B/THS1/DPH1/RPL16A/RPL40A/RPL14A/TMA19/TEF4/RPS27A/RPL17A/GCN3/RPS21A/TIF1/RPL40B/RPL2A/RPL34A/RPL19A/RPS29B/RPL31A/RPP1A/RPL13A/RPS16B/RPP1B/RPL41B/RPL35B/RPL41A/RPL35A/SSB1/SES1/RPS11A/RPS13/RPP2B/RPL12B/TIF35/RPS17B/RPS18A/RPL27B/RPL37B/TMA20/RPL30/RPL24A/RPL7A/RPL28/RPS2/RPL1B/RPL9A/RPS26A/GCN1/RPS25A/RPL26B/RPL11B/RPS23A/RPL24B/TYS1/RPS0A/RPS21B/RPL17B/RPL39/RPS22A/RPS14B/SUI2/RPL43B/RPS5/RPS4A/RPL8B/RLP24/RPL15A/RPS0B/RPL22A/STM1/RPS31/RPL37A/RPS28B/RPS30A/RPL38/RPS25B/RPP0/RPL26A/RPS22B/RPS29A/RPL31B/RPS1A/RPL6B/RPS17A/RPS18B/RPS1B/RPL6A/ASC1/RPL13B/RPS16A/RPL36A/RPS10B/RPL20A/TIF11/RPL16B/RPS7B/DBP2/RPL42A/NOP13/RPS3/SUI1/RPL18B/RPS19B/RPP2A/RPS15/WRS1/RPL18A/RPS19A/RPL25/DCP1/RPL3/RPS7A/RPS28A/GLN4/RPS30B/RPL33B/CAF20/RPS10A/RPL20B/PRT1/RPS12/RPL21B/RPS9A/RPS6A/RPL5/RPL33A/RPL7B/RPL1A/RPL43A/RPL11A/RPS23B/RPL22B/RPL29/RPL36B/TMA7",166
"GO:0043043","peptide biosynthetic process","166/756","498/5135",1.06781564232701e-28,4.13778561401715e-26,3.79074553026087e-26,"NCL1/RPL19B/HEK2/RPS8A/RPL23A/RPL32/RPL4A/RPS11B/GRS1/SUP45/RPS6B/RPS9B/RPL21A/SRO9/RPS14A/HYP2/RPL12A/RPS24A/RPS8B/RPL23B/RPS26B/RPL14B/RPS20/RPL8A/RPL27A/DED81/RPS27B/RPL42B/RPS4B/RPL2B/RPL34B/RPS24B/THS1/DPH1/RPL16A/RPL40A/RPL14A/TMA19/TEF4/RPS27A/RPL17A/GCN3/RPS21A/TIF1/RPL40B/RPL2A/RPL34A/RPL19A/RPS29B/RPL31A/RPP1A/RPL13A/RPS16B/RPP1B/RPL41B/RPL35B/RPL41A/RPL35A/SSB1/SES1/RPS11A/RPS13/RPP2B/RPL12B/TIF35/RPS17B/RPS18A/RPL27B/RPL37B/TMA20/RPL30/RPL24A/RPL7A/RPL28/RPS2/RPL1B/RPL9A/RPS26A/GCN1/RPS25A/RPL26B/RPL11B/RPS23A/RPL24B/TYS1/RPS0A/RPS21B/RPL17B/RPL39/RPS22A/RPS14B/SUI2/RPL43B/RPS5/RPS4A/RPL8B/RLP24/RPL15A/RPS0B/RPL22A/STM1/RPS31/RPL37A/RPS28B/RPS30A/RPL38/RPS25B/RPP0/RPL26A/RPS22B/RPS29A/RPL31B/RPS1A/RPL6B/RPS17A/RPS18B/RPS1B/RPL6A/ASC1/RPL13B/RPS16A/RPL36A/RPS10B/RPL20A/TIF11/RPL16B/RPS7B/DBP2/RPL42A/NOP13/RPS3/SUI1/RPL18B/RPS19B/RPP2A/RPS15/WRS1/RPL18A/RPS19A/RPL25/DCP1/RPL3/RPS7A/RPS28A/GLN4/RPS30B/RPL33B/CAF20/RPS10A/RPL20B/PRT1/RPS12/RPL21B/RPS9A/RPS6A/RPL5/RPL33A/RPL7B/RPL1A/RPL43A/RPL11A/RPS23B/RPL22B/RPL29/RPL36B/TMA7",166
"GO:0006364","rRNA processing","120/756","314/5135",1.77179814833718e-26,5.49257425984524e-24,5.03190674127758e-24,"MAK16/POP5/UTP20/POP8/LSM2/RPS8A/RPS11B/RPS6B/RPS9B/ENP1/KRR1/RPS14A/PWP2/SNU13/RPS24A/RPS8B/NSA2/RPS26B/LSM5/RPS20/RPL8A/RPS27B/CIC1/RPP1/GAR1/IMP3/UTP9/RIX1/RPS24B/MRT4/URB1/MAK11/DHR2/RPS27A/RPL17A/RPS21A/UTP30/RPF2/SPB4/NOP1/RPS16B/RPL35B/SAS10/RPL35A/NHP2/SSB1/RPS11A/RPS13/RRP1/UTP4/LSM6/RRP17/UTP6/RPS18A/RPL37B/CGR1/RPL30/RPL7A/DBP3/NSA1/RPS2/RPL1B/ROK1/RPS26A/RAI1/SPT4/NOP7/RPS23A/UTP8/RPS0A/UTP10/RPS21B/RPL17B/RPS14B/DRS1/RPL8B/RPS0B/FCF2/FYV7/MDN1/DIP2/RPS31/CBF5/RPL37A/EMG1/PWP1/NOP56/RPS28B/UTP21/TSR2/RPS1A/RPS18B/RPS1B/UTP14/ERB1/RPS16A/RRP5/RPS7B/DBP2/LSM7/IPI3/BRX1/REX4/UTP23/RPL3/BUD21/RPS7A/RPS28A/PUS7/NOP58/NOP4/RPS9A/RPS6A/RPL7B/NIP7/RPL1A/RPS23B/RRP9/NOP10/EFG1",120
"GO:0042255","ribosome assembly","53/756","80/5135",4.80741344137359e-26,1.24191513902151e-23,1.13775451445842e-23,"RPS11B/RPS14A/PWP2/RSA4/RPL12A/RPS26B/RPS27B/RIX1/RPL40A/YVH1/MRT4/MAK11/RPS27A/RPF2/RPL40B/SPB4/RPS11A/MAK21/RPL12B/RPS17B/RPL24A/RPS26A/RPL11B/RPL24B/RPS0A/RPS14B/RPS5/DRS1/RLP24/RPS0B/MDN1/RPS31/RSA3/RPS28B/RPP0/RPL6B/RPS17A/RPL6A/RRP5/RPS10B/IPI3/RPS19B/RPS15/BRX1/REX4/RPS19A/RPL25/RPL3/RPS28A/RPS10A/RPL5/NIP7/RPL11A",53
"GO:0042273","ribosomal large subunit biogenesis","68/756","127/5135",3.23666741022206e-25,7.16690640834885e-23,6.56581103216475e-23,"MAK16/REI1/RSA4/SNU13/RPL12A/NSA2/RPS26B/RPL14B/RPL8A/CIC1/RIX1/RPL40A/YVH1/RPL14A/MRT4/URB1/MAK11/RPL17A/UTP30/RPF2/RPL40B/SPB4/RPL35B/RPL35A/NHP2/MAK21/RPL12B/RPL37B/RPL24A/RPL7A/DBP3/NSA1/RPL1B/RPS26A/RAI1/RPL26B/RPL11B/NOP7/RPL24B/ALB1/RPL17B/DRS1/RPL8B/RLP24/MDN1/RPL37A/RSA3/RPP0/RPL26A/TSR2/RPL6B/RPL6A/ERB1/RRP5/IPI3/BRX1/REX4/RPL25/RPL3/NOC2/RPL33B/NOP4/RPL5/RPL33A/RPL7B/NIP7/RPL1A/RPL11A",68
"GO:0042274","ribosomal small subunit biogenesis","72/756","145/5135",5.02291659600471e-24,9.73190090475912e-22,8.91567695790835e-22,"UTP20/RPS8A/RPS11B/RPS6B/RPS9B/ENP1/KRR1/RPS14A/PWP2/SNU13/RPS24A/RPS8B/RPS20/RPS27B/IMP3/UTP9/RPS24B/DHR2/RPS27A/RPS21A/UTP30/RPS16B/SAS10/RPS11A/RPS13/UTP4/LSM6/RPS17B/UTP6/RPS18A/ROK1/NOP7/RPS23A/UTP8/RPS0A/UTP10/RPS21B/RPS14B/RPS5/RPS0B/FCF2/FYV7/DIP2/RPS31/EMG1/RPS28B/UTP21/TSR2/RPS1A/RPS17A/RPS18B/RPS1B/UTP14/RPS16A/RRP5/RPS10B/RPS7B/LSM7/RPS19B/RPS15/RPS19A/UTP23/BUD21/RPS7A/RPS28A/RPS10A/NOP58/RPS9A/RPS6A/RPS23B/RRP9/EFG1",72
"GO:0016072","rRNA metabolic process","127/756","363/5135",7.33351911320935e-24,1.26299495838605e-21,1.15706634897303e-21,"MAK16/POP5/UTP20/POP8/LSM2/RPS8A/RPS11B/RPS6B/RPS9B/ENP1/KRR1/RPS14A/PWP2/SNU13/RPS24A/RPS8B/NSA2/RPS26B/LSM5/RPS20/RPL8A/RPS27B/CIC1/RPP1/GAR1/IMP3/UTP9/RIX1/RPS24B/MRT4/URB1/MAK11/DHR2/RPS27A/RPL17A/RPS21A/UTP30/RPF2/SPB4/NOP1/RPS16B/RPL35B/SAS10/RPL35A/NHP2/SSB1/RPS11A/RPS13/RRP1/UTP4/LSM6/RRP17/UTP6/RPS18A/RPL37B/CGR1/RPL30/RPL7A/DBP3/NSA1/RPS2/RPL1B/ROK1/RPS26A/RAI1/SPT4/NOP7/RPS23A/UTP8/RPS0A/UTP10/RPS21B/RPA34/RPL17B/RPS14B/RPA12/DRS1/RPL8B/RPS0B/FCF2/FYV7/MDN1/DIP2/RPS31/CBF5/RPL37A/EMG1/PWP1/NOP56/RPS28B/UTP21/TSR2/RPS1A/RPS18B/RPS1B/UTP14/ERB1/RPS16A/RRP5/HHT2/RPS7B/DBP2/LSM7/IPI3/RPA49/BRX1/REX4/UTP23/RPL3/BUD21/RPS7A/RPS28A/PUS7/NOP58/RPA43/RPA190/NOP4/RPS9A/RPS6A/RPL7B/NIP7/RPL1A/RPA135/RPS23B/RRP9/NOP10/EFG1",127
"GO:0030490","maturation of SSU-rRNA","60/756","118/5135",7.89557957948942e-21,1.22381483482086e-18,1.1211723002875e-18,"UTP20/RPS8A/RPS11B/RPS6B/RPS9B/ENP1/KRR1/RPS14A/PWP2/SNU13/RPS24A/RPS8B/RPS20/RPS27B/UTP9/RPS24B/DHR2/RPS27A/RPS21A/UTP30/RPS16B/SAS10/RPS11A/RPS13/UTP4/LSM6/UTP6/RPS18A/ROK1/NOP7/RPS23A/UTP8/RPS0A/UTP10/RPS21B/RPS14B/RPS0B/FCF2/FYV7/DIP2/RPS31/EMG1/RPS28B/TSR2/RPS1A/RPS18B/RPS1B/UTP14/RPS16A/RRP5/LSM7/UTP23/BUD21/RPS28A/NOP58/RPS9A/RPS6A/RPS23B/RRP9/EFG1",60
