"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","ribosome biogenesis","109/453","429/5135",3.74172496321004e-27,5.24589839842047e-24,4.82091721575693e-24,"MAK16/ECM1/UTP20/POP8/LSM2/SPB1/KRR1/RPS14A/SNU13/NOP16/NUG1/ARB1/NSA2/CIC1/SSZ1/LRP1/GAR1/RPC10/IMP3/NMD3/RIX1/BMT5/YVH1/MRT4/URB1/MAK11/DHR2/RRP14/UTP11/LTV1/RPS21A/RPF2/LOC1/NOP1/NOP14/SAS10/NHP2/NOP6/SSB1/FAL1/MAK21/RRP8/RRP1/ARX1/BCP1/RRP17/TOM1/CGR1/RPL30/DBP3/LSG1/NSA1/ROK1/RAI1/NOP7/ENP2/NSR1/SDA1/PXR1/ZUO1/NOP9/MTR4/UTP10/ALB1/RPA34/MPP10/RPA12/RLP24/FCF2/FYV7/MDN1/CBF5/EMG1/PWP1/NOP56/RSA3/DBP9/GSP1/ERB1/RRP5/RNT1/HAS1/RLP7/NOP2/DBP2/KRE33/IPI3/RPA49/NOG2/BRX1/REX4/UTP23/NOC2/PUS7/RRS1/RPA43/RPA190/RRP12/NOP4/NOP53/RSA1/NIP7/RPL1A/DIM1/TIF6/RRP15/RPO26/NOP10/EFG1",109
"GO:0006364","rRNA processing","86/453","314/5135",1.24684573304201e-23,8.74038858862447e-21,8.03231145917587e-21,"MAK16/UTP20/POP8/LSM2/SPB1/KRR1/RPS14A/SNU13/NOP16/NUG1/NSA2/CIC1/SSZ1/LRP1/GAR1/IMP3/RIX1/BMT5/MRT4/URB1/MAK11/DHR2/RRP14/UTP11/RPS21A/RPF2/LOC1/NOP1/NOP14/SAS10/NHP2/NOP6/SSB1/FAL1/RRP8/RRP1/RRP17/TOM1/CGR1/RPL30/DBP3/NSA1/ROK1/RAI1/NOP7/ENP2/NSR1/PXR1/ZUO1/NOP9/MTR4/UTP10/MPP10/FCF2/FYV7/MDN1/CBF5/EMG1/PWP1/NOP56/DBP9/GSP1/ERB1/RRP5/RNT1/HAS1/RLP7/NOP2/DBP2/KRE33/IPI3/BRX1/REX4/UTP23/PUS7/RRS1/RRP12/NOP4/NOP53/NIP7/RPL1A/DIM1/TIF6/RRP15/NOP10/EFG1",86
"GO:0016072","rRNA metabolic process","91/453","363/5135",4.99863030384079e-22,2.33602656199493e-19,2.14678017259689e-19,"MAK16/UTP20/POP8/LSM2/SPB1/KRR1/RPS14A/SNU13/NOP16/NUG1/NSA2/CIC1/SSZ1/LRP1/GAR1/IMP3/RIX1/BMT5/MRT4/URB1/MAK11/DHR2/RRP14/UTP11/RPS21A/RPF2/LOC1/NOP1/NOP14/SAS10/NHP2/NOP6/SSB1/FAL1/RRP8/RRP1/RRP17/TOM1/CGR1/RPL30/DBP3/NSA1/ROK1/RAI1/NOP7/ENP2/NSR1/PXR1/ZUO1/NOP9/MTR4/UTP10/RPA34/MPP10/RPA12/FCF2/FYV7/MDN1/CBF5/EMG1/PWP1/NOP56/DBP9/GSP1/ERB1/RRP5/RNT1/HAS1/RLP7/NOP2/DBP2/KRE33/IPI3/RPA49/BRX1/REX4/UTP23/PUS7/RRS1/RPA43/RPA190/RRP12/NOP4/NOP53/NIP7/RPL1A/DIM1/TIF6/RRP15/NOP10/EFG1",91
"GO:0034470","ncRNA processing","99/453","433/5135",8.63849902503238e-21,3.02779390827385e-18,2.78250600174727e-18,"MAK16/UTP20/POP8/LSM2/SPB1/KRR1/RPS14A/SNU13/NOP16/NUG1/NSA2/CIC1/SSZ1/LRP1/GAR1/IMP3/RIX1/BMT5/MRT4/URB1/MAK11/DHR2/RRP14/UTP11/RPS21A/RPF2/LOC1/NOP1/TRM3/NOP14/SAS10/TRM8/NHP2/NOP6/SSB1/FAL1/RPC11/RRP8/RRP1/TRM82/RRP17/TOM1/CGR1/RPL30/PUS2/DBP3/NSA1/SUA5/ROK1/RAI1/NOP7/ENP2/NSR1/PXR1/ZUO1/NOP9/TAD2/MTR4/UTP10/MPP10/FCF2/FYV7/MDN1/USB1/CBF5/EMG1/PWP1/NOP56/DBP9/GSP1/ERB1/RRP5/RNT1/TRM732/HAS1/RLP7/NOP2/DBP2/NCS2/KRE33/IPI3/NRD1/BRX1/REX4/UTP23/PUS7/RRS1/RRP12/NOP4/ELP3/NOP53/TYW1/NIP7/RPL1A/DIM1/TIF6/RRP15/NOP10/EFG1",99
"GO:0042273","ribosomal large subunit biogenesis","47/453","127/5135",6.70525858865862e-19,1.88015450825988e-16,1.72783926579329e-16,"MAK16/SPB1/SNU13/NOP16/NUG1/NSA2/CIC1/RIX1/YVH1/MRT4/URB1/MAK11/RRP14/RPF2/LOC1/NHP2/MAK21/RRP8/TOM1/DBP3/LSG1/NSA1/RAI1/NOP7/SDA1/ALB1/RLP24/MDN1/RSA3/DBP9/ERB1/RRP5/HAS1/RLP7/NOP2/IPI3/BRX1/REX4/NOC2/RRS1/NOP4/NOP53/RSA1/NIP7/RPL1A/TIF6/RRP15",47
"GO:0000460","maturation of 5.8S rRNA","35/453","92/5135",9.3244314103315e-15,1.86755040532639e-12,1.71625624755575e-12,"MAK16/UTP20/SPB1/KRR1/NSA2/CIC1/LRP1/URB1/MAK11/UTP11/RPS21A/RPF2/LOC1/NOP14/SAS10/TOM1/DBP3/ROK1/RAI1/NOP7/NOP9/MTR4/UTP10/MPP10/FCF2/EMG1/GSP1/ERB1/RRP5/RLP7/BRX1/UTP23/RRS1/TIF6/RRP15",35
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","35/453","92/5135",9.3244314103315e-15,1.86755040532639e-12,1.71625624755575e-12,"MAK16/UTP20/SPB1/KRR1/NSA2/CIC1/LRP1/URB1/MAK11/UTP11/RPS21A/RPF2/LOC1/NOP14/SAS10/TOM1/DBP3/ROK1/RAI1/NOP7/NOP9/MTR4/UTP10/MPP10/FCF2/EMG1/GSP1/ERB1/RRP5/RLP7/BRX1/UTP23/RRS1/TIF6/RRP15",35
"GO:0000470","maturation of LSU-rRNA","27/453","62/5135",2.43944610247479e-13,4.27512929458706e-11,3.92879214398571e-11,"MAK16/SPB1/SNU13/NUG1/NSA2/CIC1/URB1/MAK11/RPF2/NHP2/TOM1/DBP3/RAI1/NOP7/DBP9/ERB1/RRP5/HAS1/RLP7/NOP2/BRX1/NOP4/NOP53/NIP7/RPL1A/TIF6/RRP15",27
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","24/453","52/5135",1.13531952370159e-12,1.76857552469959e-10,1.62529952866754e-10,"MAK16/SPB1/NUG1/NSA2/CIC1/URB1/MAK11/RPF2/TOM1/DBP3/RAI1/NOP7/DBP9/ERB1/RRP5/HAS1/RLP7/NOP2/BRX1/NOP4/NOP53/NIP7/TIF6/RRP15",24
"GO:0000054","ribosomal subunit export from nucleus","22/453","53/5135",1.34890817154679e-10,1.8911692565086e-08,1.73796168628765e-08,"ECM1/NUG1/ARB1/NMD3/YVH1/MRT4/LTV1/LOC1/SSB1/ARX1/BCP1/LSG1/SDA1/ZUO1/NOP9/MDN1/GSP1/NOG2/RRS1/NOP53/RPL1A/TIF6",22
"GO:0033750","ribosome localization","22/453","54/5135",2.09274482816612e-10,2.66729840826264e-08,2.45121499490463e-08,"ECM1/NUG1/ARB1/NMD3/YVH1/MRT4/LTV1/LOC1/SSB1/ARX1/BCP1/LSG1/SDA1/ZUO1/NOP9/MDN1/GSP1/NOG2/RRS1/NOP53/RPL1A/TIF6",22
"GO:0000469","cleavage involved in rRNA processing","27/453","83/5135",7.6054170131062e-10,8.88566221031241e-08,8.16581616144034e-08,"UTP20/KRR1/CIC1/LRP1/UTP11/RPS21A/LOC1/NOP14/SAS10/NHP2/TOM1/DBP3/ROK1/RAI1/NOP9/MTR4/UTP10/MPP10/FCF2/EMG1/GSP1/RRP5/RLP7/BRX1/UTP23/RRS1/NOP10",27
"GO:0031503","protein-containing complex localization","24/453","74/5135",7.33783176628158e-09,7.91356933563598e-07,7.27247456026611e-07,"ECM1/NUG1/ARB1/NMD3/YVH1/MRT4/LTV1/BLM10/LOC1/SSB1/ARX1/BCP1/LSG1/SDA1/ZUO1/NOP9/MDN1/CDC42/GSP1/NOG2/RRS1/NOP53/RPL1A/TIF6",24
"GO:0000967","rRNA 5'-end processing","16/453","37/5135",2.34256981632382e-08,2.18952192165733e-06,2.01214417907393e-06,"UTP20/UTP11/LOC1/NOP14/SAS10/TOM1/ROK1/NOP9/UTP10/MPP10/FCF2/EMG1/RRP5/RLP7/BRX1/UTP23",16
"GO:0034471","ncRNA 5'-end processing","16/453","37/5135",2.34256981632382e-08,2.18952192165733e-06,2.01214417907393e-06,"UTP20/UTP11/LOC1/NOP14/SAS10/TOM1/ROK1/NOP9/UTP10/MPP10/FCF2/EMG1/RRP5/RLP7/BRX1/UTP23",16
"GO:0000478","endonucleolytic cleavage involved in rRNA processing","20/453","59/5135",5.83443465948382e-08,4.80700735140469e-06,4.41758164886203e-06,"UTP20/KRR1/UTP11/RPS21A/LOC1/NOP14/SAS10/TOM1/DBP3/ROK1/RAI1/NOP9/UTP10/MPP10/FCF2/EMG1/RRP5/BRX1/UTP23/RRS1",20
"GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","20/453","59/5135",5.83443465948382e-08,4.80700735140469e-06,4.41758164886203e-06,"UTP20/KRR1/UTP11/RPS21A/LOC1/NOP14/SAS10/TOM1/DBP3/ROK1/RAI1/NOP9/UTP10/MPP10/FCF2/EMG1/RRP5/BRX1/UTP23/RRS1",20
"GO:0042274","ribosomal small subunit biogenesis","34/453","145/5135",6.33243141855167e-08,4.80700735140469e-06,4.41758164886203e-06,"UTP20/KRR1/RPS14A/SNU13/IMP3/DHR2/RRP14/UTP11/LTV1/RPS21A/LOC1/NOP14/SAS10/NOP6/FAL1/TOM1/ROK1/NOP7/ENP2/NSR1/NOP9/UTP10/MPP10/FCF2/FYV7/EMG1/RRP5/HAS1/KRE33/UTP23/RRS1/RRP12/DIM1/EFG1",34
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","28/453","106/5135",6.51448927793788e-08,4.80700735140469e-06,4.41758164886203e-06,"UTP20/KRR1/RPS14A/SNU13/DHR2/UTP11/RPS21A/LOC1/NOP14/SAS10/FAL1/TOM1/ROK1/NOP7/ENP2/NOP9/UTP10/MPP10/FCF2/FYV7/EMG1/RRP5/HAS1/UTP23/RRS1/RRP12/DIM1/EFG1",28
"GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","17/453","45/5135",9.5103571768442e-08,6.66676038096778e-06,6.12667220234595e-06,"UTP20/KRR1/UTP11/RPS21A/LOC1/NOP14/SAS10/TOM1/ROK1/NOP9/UTP10/MPP10/FCF2/EMG1/RRP5/UTP23/RRS1",17
"GO:0030490","maturation of SSU-rRNA","29/453","118/5135",2.08608270349575e-07,1.3927085477624e-05,1.27988232034025e-05,"UTP20/KRR1/RPS14A/SNU13/DHR2/UTP11/RPS21A/LOC1/NOP14/SAS10/FAL1/TOM1/ROK1/NOP7/ENP2/NOP9/UTP10/MPP10/FCF2/FYV7/EMG1/RRP5/HAS1/KRE33/UTP23/RRS1/RRP12/DIM1/EFG1",29
"GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","14/453","33/5135",2.42066540500644e-07,1.5426240444632e-05,1.41765284963057e-05,"UTP20/UTP11/LOC1/NOP14/SAS10/TOM1/ROK1/NOP9/UTP10/MPP10/FCF2/EMG1/RRP5/UTP23",14
"GO:0000027","ribosomal large subunit assembly","16/453","43/5135",2.92441884426705e-07,1.74914614516992e-05,1.60744416374201e-05,"RIX1/YVH1/MRT4/MAK11/RPF2/MAK21/LSG1/RLP24/MDN1/RSA3/RRP5/IPI3/BRX1/REX4/NOP53/RSA1",16
"GO:0090501","RNA phosphodiester bond hydrolysis","33/453","147/5135",2.99425873638218e-07,1.74914614516992e-05,1.60744416374201e-05,"UTP20/POP8/KRR1/CIC1/LRP1/UTP11/RPS21A/LOC1/NOP14/SAS10/NHP2/RPC11/TOM1/DBP3/ROK1/RAI1/NOP9/MTR4/UTP10/MPP10/RPA12/FCF2/USB1/EMG1/GSP1/RRP5/RNT1/RLP7/BRX1/HRP1/UTP23/RRS1/NOP10",33
"GO:0000472","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","14/453","35/5135",5.80980101034011e-07,3.25813640659873e-05,2.99418797332897e-05,"UTP20/UTP11/LOC1/NOP14/SAS10/TOM1/ROK1/NOP9/UTP10/MPP10/FCF2/EMG1/RRP5/UTP23",14
"GO:0000966","RNA 5'-end processing","16/453","46/5135",8.51485851740649e-07,4.59147370823227e-05,4.21950883615609e-05,"UTP20/UTP11/LOC1/NOP14/SAS10/TOM1/ROK1/NOP9/UTP10/MPP10/FCF2/EMG1/RRP5/RLP7/BRX1/UTP23",16
"GO:0036260","RNA capping","16/453","47/5135",1.18775641928337e-06,6.16753518457513e-05,5.66789028149258e-05,"UTP20/UTP11/LOC1/NOP14/SAS10/TOM1/ROK1/NOP9/UTP10/MPP10/FCF2/EMG1/RRP5/RLP7/BRX1/UTP23",16
"GO:0071554","cell wall organization or biogenesis","50/453","289/5135",1.64446450890791e-06,8.23406871960318e-05,7.56700961993715e-05,"MNN2/TIP1/ECM33/DTR1/KTR3/UTR2/TIR1/WSC4/ECM14/DSE2/TIR3/RPI1/SIM1/YVH1/CWP1/MCD4/ECM9/CWP2/KNH1/MNN10/SPS2/SPS1/PAU10/SCW4/PAU12/KAR2/PMT4/PGU1/CCW12/CTS1/EXG1/FKS1/GAS2/INA1/GAS3/RNT1/SCW10/GAS1/SUN4/WSC2/PAU6/GAS5/TIR4/KTR1/SPR1/SRL1/OSW1/MUM3/MNN9/KTR6",50
"GO:0000055","ribosomal large subunit export from nucleus","13/453","33/5135",1.82687162117107e-06,8.83197935476497e-05,8.11648226611031e-05,"ECM1/NUG1/NMD3/YVH1/MRT4/LOC1/ARX1/BCP1/SDA1/NOG2/RRS1/NOP53/RPL1A",13
"GO:0045229","external encapsulating structure organization","43/453","245/5135",6.3455564129379e-06,0.00028698290615932,0.000263733821712597,"TIP1/ECM33/DTR1/UTR2/TIR1/WSC4/ECM14/DSE2/TIR3/SIM1/YVH1/CWP1/MCD4/ECM9/CWP2/KNH1/SPS2/SPS1/PAU10/SCW4/PAU12/PMT4/PGU1/CCW12/CTS1/EXG1/FKS1/GAS2/INA1/GAS3/RNT1/SCW10/GAS1/SUN4/WSC2/PAU6/GAS5/TIR4/SPR1/SRL1/OSW1/MUM3/KTR6",43
"GO:0071555","cell wall organization","43/453","245/5135",6.3455564129379e-06,0.00028698290615932,0.000263733821712597,"TIP1/ECM33/DTR1/UTR2/TIR1/WSC4/ECM14/DSE2/TIR3/SIM1/YVH1/CWP1/MCD4/ECM9/CWP2/KNH1/SPS2/SPS1/PAU10/SCW4/PAU12/PMT4/PGU1/CCW12/CTS1/EXG1/FKS1/GAS2/INA1/GAS3/RNT1/SCW10/GAS1/SUN4/WSC2/PAU6/GAS5/TIR4/SPR1/SRL1/OSW1/MUM3/KTR6",43
"GO:0008610","lipid biosynthetic process","39/453","218/5135",1.09824427587134e-05,0.000481168273366129,0.000442187826863986,"CDS1/IFA38/EHT1/ELO2/CHO1/SAH1/ERG28/ERG11/NCP1/EPT1/LAC1/MCD4/FAS1/IPT1/INO2/SUR2/OLE1/ACB1/ERG25/CHO2/INO1/OPI3/ELO3/HMG2/ERG6/HMG1/ERG2/GPI15/CYB5/CPT1/PSD1/ACC1/ALE1/HES1/MUM3/EEB1/SPT14/FAS2/TSC3",39
"GO:0090502","RNA phosphodiester bond hydrolysis, endonucleolytic","22/453","93/5135",1.22656801169996e-05,0.000521105561334345,0.000478889711745055,"UTP20/POP8/KRR1/UTP11/RPS21A/LOC1/NOP14/SAS10/TOM1/DBP3/ROK1/RAI1/NOP9/UTP10/MPP10/FCF2/EMG1/RRP5/RNT1/BRX1/UTP23/RRS1",22
"GO:0042255","ribosome assembly","20/453","80/5135",1.27013983903033e-05,0.000523745898329566,0.000481316149527284,"RPS14A/RIX1/YVH1/MRT4/MAK11/RPF2/MAK21/LSG1/NSR1/RLP24/MDN1/RSA3/RRP5/IPI3/BRX1/REX4/NOP53/RSA1/NIP7/TIF6",20
"GO:0070972","protein localization to endoplasmic reticulum","16/453","57/5135",1.99079320186957e-05,0.000797454876863183,0.000732851392207025,"ERP2/PHO88/SEC66/SSH1/RER1/WSC4/EGD2/ICE2/LHS1/SRP102/SEC53/ERP1/KAR2/YDJ1/SIL1/SEC63",16
"GO:0044036","cell wall macromolecule metabolic process","12/453","35/5135",2.43455897028919e-05,0.000898224125354065,0.000825457113472014,"MNN2/KTR3/MNN10/KAR2/FKS1/GAS2/GAS3/GAS1/GAS5/KTR1/MNN9/KTR6",12
"GO:0044038","cell wall macromolecule biosynthetic process","12/453","35/5135",2.43455897028919e-05,0.000898224125354065,0.000825457113472014,"MNN2/KTR3/MNN10/KAR2/FKS1/GAS2/GAS3/GAS1/GAS5/KTR1/MNN9/KTR6",12
"GO:0070589","cellular component macromolecule biosynthetic process","12/453","35/5135",2.43455897028919e-05,0.000898224125354065,0.000825457113472014,"MNN2/KTR3/MNN10/KAR2/FKS1/GAS2/GAS3/GAS1/GAS5/KTR1/MNN9/KTR6",12
"GO:0045047","protein targeting to ER","13/453","41/5135",2.90340124031822e-05,0.00104373552280158,0.000959180328785291,"PHO88/SEC66/SSH1/WSC4/EGD2/ICE2/LHS1/SRP102/SEC53/KAR2/YDJ1/SIL1/SEC63",13
"GO:0072599","establishment of protein localization to endoplasmic reticulum","13/453","42/5135",3.87267179623106e-05,0.00135737146457899,0.00124740796804916,"PHO88/SEC66/SSH1/WSC4/EGD2/ICE2/LHS1/SRP102/SEC53/KAR2/YDJ1/SIL1/SEC63",13
"GO:0006633","fatty acid biosynthetic process","10/453","27/5135",5.50537106642939e-05,0.00188256835003268,0.001730057557204,"IFA38/EHT1/ELO2/FAS1/OLE1/ACB1/ELO3/ACC1/EEB1/FAS2",10
"GO:0040031","snRNA modification","6/453","10/5135",7.04442651077799e-05,0.00235149665907399,0.00216099700481009,"CIC1/GAR1/NHP2/CBF5/PUS7/NOP10",6
"GO:0016073","snRNA metabolic process","11/453","34/5135",9.79125685347618e-05,0.00319240514152874,0.00293378173528882,"CIC1/LRP1/GAR1/NHP2/MTR4/USB1/CBF5/RNT1/NRD1/PUS7/NOP10",11
"GO:0000154","rRNA modification","15/453","59/5135",0.000126347923405566,0.00402590428669552,0.00369975737436393,"SPB1/CIC1/GAR1/BMT5/NOP1/NHP2/RRP8/CBF5/EMG1/NOP56/NOP2/KRE33/PUS7/DIM1/NOP10",15
"GO:0051656","establishment of organelle localization","25/453","130/5135",0.000133224475011741,0.00415068253258801,0.00381442707402037,"ECM1/NUG1/ARB1/NMD3/YVH1/MRT4/LTV1/LOC1/SSB1/ARX1/BCP1/LSG1/SDA1/ZUO1/NOP9/SCP160/MDN1/GSP1/DYN3/NOG2/RRS1/NOP53/CSM4/RPL1A/TIF6",25
"GO:0090305","nucleic acid phosphodiester bond hydrolysis","37/453","230/5135",0.00019423447725195,0.00591992906754857,0.00544034325300657,"UTP20/POP8/APA1/KRR1/SPO11/CIC1/LRP1/UTP11/RPS21A/LOC1/NOP14/SAS10/NHP2/RPC11/TOM1/DBP3/ROK1/RAI1/NOP9/MTR4/UTP10/MPP10/RPA12/FCF2/USB1/EMG1/GSP1/REC102/RRP5/RNT1/RLP7/BRX1/REX4/HRP1/UTP23/RRS1/NOP10",37
"GO:0010383","cell wall polysaccharide metabolic process","7/453","16/5135",0.000224396853383746,0.00655425809258357,0.00602328395924791,"MNN2/KAR2/FKS1/GAS2/GAS3/GAS1/GAS5",7
"GO:0070592","cell wall polysaccharide biosynthetic process","7/453","16/5135",0.000224396853383746,0.00655425809258357,0.00602328395924791,"MNN2/KAR2/FKS1/GAS2/GAS3/GAS1/GAS5",7
"GO:0051278","fungal-type cell wall polysaccharide biosynthetic process","6/453","12/5135",0.000265677404948236,0.00716307157187359,0.00658277618738139,"KAR2/FKS1/GAS2/GAS3/GAS1/GAS5",6
"GO:0070879","fungal-type cell wall beta-glucan metabolic process","6/453","12/5135",0.000265677404948236,0.00716307157187359,0.00658277618738139,"KAR2/FKS1/GAS2/GAS3/GAS1/GAS5",6
"GO:0070880","fungal-type cell wall beta-glucan biosynthetic process","6/453","12/5135",0.000265677404948236,0.00716307157187359,0.00658277618738139,"KAR2/FKS1/GAS2/GAS3/GAS1/GAS5",6
"GO:0071966","fungal-type cell wall polysaccharide metabolic process","6/453","12/5135",0.000265677404948236,0.00716307157187359,0.00658277618738139,"KAR2/FKS1/GAS2/GAS3/GAS1/GAS5",6
"GO:0032259","methylation","24/453","131/5135",0.000388681281815569,0.0102817199453854,0.00944877634443409,"HHF1/HMT1/EFM2/SPB1/EFM4/BMT5/NOP1/TRM3/TRM8/RRP8/TRM82/RMT2/CHO2/OPI3/EMG1/FPR4/ERG6/TRM732/EFM6/NOP2/SFM1/SET6/DIM1/SAM4",24
"GO:0000747","conjugation with cellular fusion","22/453","117/5135",0.000464713173940341,0.0117494372493359,0.0107975908050058,"FIG1/FUS1/CDC39/STE3/MF(ALPHA)2/SCW4/KAR2/SCP160/FAR1/SAG1/AFB1/CCW12/CDC42/SST2/RCE1/SCW10/PRM1/AGA1/STE4/MF(ALPHA)1/CLN2/EFG1",22
"GO:0000749","response to pheromone triggering conjugation with cellular fusion","15/453","66/5135",0.000476861533287058,0.0117494372493359,0.0107975908050058,"CDC39/STE3/MF(ALPHA)2/SCP160/FAR1/SAG1/AFB1/CCW12/CDC42/SST2/AGA1/STE4/MF(ALPHA)1/CLN2/EFG1",15
"GO:0071444","cellular response to pheromone","15/453","66/5135",0.000476861533287058,0.0117494372493359,0.0107975908050058,"CDC39/STE3/MF(ALPHA)2/SCP160/FAR1/SAG1/AFB1/CCW12/CDC42/SST2/AGA1/STE4/MF(ALPHA)1/CLN2/EFG1",15
"GO:0031505","fungal-type cell wall organization","32/453","198/5135",0.000483653735574587,0.0117494372493359,0.0107975908050058,"TIP1/ECM33/DTR1/UTR2/TIR1/TIR3/SIM1/YVH1/CWP1/CWP2/KNH1/SPS2/SPS1/PAU10/PAU12/PMT4/CCW12/EXG1/GAS2/INA1/GAS3/RNT1/GAS1/SUN4/WSC2/PAU6/GAS5/TIR4/SRL1/OSW1/MUM3/KTR6",32
"GO:0019953","sexual reproduction","36/453","232/5135",0.000486068017447563,0.0117494372493359,0.0107975908050058,"HHF1/FIG1/DTR1/FUS1/CDC39/YVH1/CWP1/STE3/SPS2/SPS1/MF(ALPHA)2/SCW4/KAR2/SCP160/FAR1/SAG1/AFB1/CCW12/CDC42/FKS1/GAS2/SST2/RCE1/SCW10/SPS18/PRM1/AGA1/SPO21/SPR1/STE4/OSW1/MUM3/SPS4/MF(ALPHA)1/CLN2/EFG1",36
