"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042273","ribosomal large subunit biogenesis","31/313","127/5135",9.26852819012284e-12,1.13817526174708e-08,1.01465992818187e-08,"RPL12A/NUG1/RPS26B/YVH1/MRT4/URB1/MAK11/RRP14/UTP30/RPF2/SPB4/LOC1/NHP2/ACL4/DBP3/LSG1/NSA1/RAI1/NOP7/RLP24/MDN1/RSA3/RRP5/REX4/RAT1/NOP4/NIP7/RPL1A/TIF6/RPL11A/RRP15",31
"GO:0042254","ribosome biogenesis","57/313","429/5135",6.01961309767762e-09,3.69604244197406e-06,3.29494611662354e-06,"POP5/ECM1/UTP20/KRR1/RPL12A/NUG1/RPS26B/RPP1/LRP1/GAR1/FAF1/YVH1/MRT4/URB1/MAK11/DHR2/RRP14/UTP30/RPF2/SPB4/LOC1/NOP14/SAS10/NHP2/RRP1/ACL4/RRP17/CGR1/DBP3/LSG1/NSA1/ROK1/RAI1/NOP7/RPA34/RLP24/FYV7/MDN1/RPS31/EMG1/PWP1/RSA3/RRP5/DBP2/RPA49/REX4/RAT1/PUS7/RPA190/NOP4/NIP7/RPL1A/DIM1/TIF6/RPL11A/RRP15/NOP10",57
"GO:0006364","rRNA processing","46/313","314/5135",1.05815885574778e-08,4.04819821898941e-06,3.60888577725783e-06,"POP5/UTP20/KRR1/NUG1/RPS26B/RPP1/LRP1/GAR1/FAF1/MRT4/URB1/MAK11/DHR2/RRP14/UTP30/RPF2/SPB4/LOC1/NOP14/SAS10/NHP2/RRP1/RRP17/CGR1/DBP3/NSA1/ROK1/RAI1/NOP7/FYV7/MDN1/RPS31/EMG1/PWP1/RRP5/DBP2/REX4/RAT1/PUS7/NOP4/NIP7/RPL1A/DIM1/TIF6/RRP15/NOP10",46
"GO:0000470","maturation of LSU-rRNA","18/313","62/5135",1.31863134169036e-08,4.04819821898941e-06,3.60888577725783e-06,"NUG1/RPS26B/URB1/MAK11/UTP30/RPF2/SPB4/NHP2/DBP3/RAI1/NOP7/RRP5/RAT1/NOP4/NIP7/RPL1A/TIF6/RRP15",18
"GO:0016072","rRNA metabolic process","49/313","363/5135",5.07637408024074e-08,8.38853959966264e-06,7.47821119805345e-06,"POP5/UTP20/KRR1/NUG1/RPS26B/RPP1/LRP1/GAR1/FAF1/MRT4/URB1/MAK11/DHR2/RRP14/UTP30/RPF2/SPB4/LOC1/NOP14/SAS10/NHP2/RRP1/RRP17/CGR1/DBP3/NSA1/ROK1/RAI1/NOP7/RPA34/FYV7/MDN1/RPS31/EMG1/PWP1/RRP5/DBP2/RPA49/REX4/RAT1/PUS7/RPA190/NOP4/NIP7/RPL1A/DIM1/TIF6/RRP15/NOP10",49
"GO:0044036","cell wall macromolecule metabolic process","13/313","35/5135",5.46484664473136e-08,8.38853959966264e-06,7.47821119805345e-06,"MNN2/KTR3/ANP1/KTR7/PSA1/MNN10/KAR2/FKS1/GAS2/GAS3/GAS1/KTR5/VMA9",13
"GO:0044038","cell wall macromolecule biosynthetic process","13/313","35/5135",5.46484664473136e-08,8.38853959966264e-06,7.47821119805345e-06,"MNN2/KTR3/ANP1/KTR7/PSA1/MNN10/KAR2/FKS1/GAS2/GAS3/GAS1/KTR5/VMA9",13
"GO:0070589","cellular component macromolecule biosynthetic process","13/313","35/5135",5.46484664473136e-08,8.38853959966264e-06,7.47821119805345e-06,"MNN2/KTR3/ANP1/KTR7/PSA1/MNN10/KAR2/FKS1/GAS2/GAS3/GAS1/KTR5/VMA9",13
"GO:0009100","glycoprotein metabolic process","20/313","86/5135",1.25645481177847e-07,1.65573601229262e-05,1.47605473408565e-05,"PMT2/MNN2/KTR3/ALG7/PDI1/ANP1/MNN1/MNT3/KTR7/PSA1/MNN10/STT3/MNT2/OST1/PMT4/SWP1/KTR5/ALG8/ALG5/VMA9",20
"GO:0042546","cell wall biogenesis","23/313","111/5135",1.37717627923926e-07,1.65573601229262e-05,1.47605473408565e-05,"LDS1/MNN2/KTR3/RRT12/ANP1/KTR7/YVH1/KNH1/PSA1/MNN10/SPS2/SPS1/KAR2/CRR1/CDA1/SPO77/FKS1/GAS2/GAS3/GAS1/KTR5/OSW1/VMA9",23
