"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006091","generation of precursor metabolites and energy","81/689","214/5135",3.10671802526893e-20,4.54823518899371e-17,3.82289828583092e-17,"PSK1/ACS1/RIB1/ETR1/TKL2/GRX1/GLK1/CIT2/GLC3/RIP1/CYC7/GIP2/PDA1/COX6/PIG2/RGI2/RNR3/SGA1/KGD1/DAL7/MDH1/MBR1/HAP4/SDH3/SDH1/PET10/GLG1/DAK2/GSY1/IGD1/QCR6/YMR31/HXK1/GPM2/NDE2/KGD2/SDH4/EMI2/COX4/NQM1/SOL4/GND2/QCR10/TDH1/NCA3/GLG2/SDH2/COX12/SHH4/IDP2/GSY2/PIG1/ACO1/GRX8/NDI1/AAC1/ISF1/PGM2/SHH3/ERR3/IDH1/MLS1/MFA2/ZWF1/CIT1/SDH5/PFK27/CYT1/IDH2/GAC1/PYK2/GDS1/HAP5/ALD4/PRM4/PET20/FUM1/CIT3/GPH1/GDB1/QCR2",81
"GO:0015980","energy derivation by oxidation of organic compounds","63/689","157/5135",2.21989224174169e-17,1.62496112095492e-14,1.36581791084002e-14,"PSK1/ACS1/RIB1/ETR1/CIT2/GLC3/RIP1/CYC7/GIP2/COX6/PIG2/RGI2/RNR3/SGA1/KGD1/DAL7/MDH1/MBR1/HAP4/SDH3/SDH1/PET10/GLG1/DAK2/GSY1/IGD1/QCR6/YMR31/NDE2/KGD2/SDH4/COX4/QCR10/NCA3/GLG2/SDH2/COX12/SHH4/IDP2/GSY2/PIG1/ACO1/NDI1/AAC1/ISF1/PGM2/SHH3/IDH1/MLS1/MFA2/CIT1/SDH5/CYT1/IDH2/GAC1/GDS1/HAP5/PET20/FUM1/CIT3/GPH1/GDB1/QCR2",63
"GO:0005975","carbohydrate metabolic process","83/689","246/5135",4.12194016784504e-17,2.01150680190838e-14,1.69071861621434e-14,"PSK1/NTH2/GAL7/GAL10/GAL1/VID24/ARA1/MAL33/MAL31/MAL32/GID7/GLK1/CIT2/GLC3/UBC8/DSF1/GIP2/GPP2/PDA1/VID28/PIG2/FYV10/SGA1/PFK26/GUT2/EGH1/DAL7/MDH1/GLG1/PCK1/DAK2/GSY1/IGD1/HXK1/GPM2/GPD1/NTH1/GAL3/TPS2/RMD5/IPK1/EMI2/MIG1/PKP2/PYC1/AMS1/MIG2/VID30/GSC2/NQM1/XKS1/SOL4/GND2/BGL2/MAL12/TDH1/SIP4/GLG2/FBP26/HSP104/XYL2/IDP2/ATG26/GSY2/PIG1/FBP1/TSL1/PGM2/TPS3/CAT8/ERR3/MLS1/ZWF1/CIT1/MAN2/PFK27/GCY1/GAC1/PYK2/CIT3/ATH1/GPH1/GDB1",83
"GO:0044262","cellular carbohydrate metabolic process","58/689","157/5135",3.59523818269891e-14,1.3158571748678e-11,1.10600879883553e-11,"PSK1/NTH2/GAL1/VID24/ARA1/MAL33/MAL31/MAL32/GID7/GLK1/GLC3/UBC8/DSF1/GIP2/GPP2/VID28/PIG2/FYV10/SGA1/PFK26/GUT2/DAL7/GLG1/DAK2/GSY1/IGD1/HXK1/NTH1/GAL3/TPS2/RMD5/IPK1/EMI2/VID30/GSC2/XKS1/GND2/MAL12/SIP4/GLG2/FBP26/HSP104/XYL2/IDP2/GSY2/PIG1/FBP1/TSL1/PGM2/TPS3/MLS1/MAN2/PFK27/GCY1/GAC1/ATH1/GPH1/GDB1",58
"GO:0006082","organic acid metabolic process","108/689","409/5135",1.75046646965197e-13,5.12536582314097e-11,4.30799011162769e-11,"ACS1/GDH3/YAT1/ACH1/UGA2/ETR1/GLK1/CIT2/GCN4/UTR4/HPA3/DLD3/YAT2/HOM3/ARG5,6/PDA1/ARO9/SER33/XBP1/KGD1/POT1/MET28/DAL7/LYS1/MDH1/PXA2/DAL80/MET1/SNO3/SNZ3/AGX1/MET10/YMR31/HXK1/IRC7/GPM2/UGA3/GDH2/VTC5/KGD2/MET32/ARO10/EMI2/HSP31/PYC1/STR3/DSD1/POX1/UGA1/PDC6/GND2/TDH1/BNA3/ARG3/MET3/BNA2/CPA2/MET5/BAT2/MHT1/ALT1/PUT1/ASP3-3/IDP2/MET17/CAR2/CAT2/CYB2/PHO84/ADH3/SNO1/SNZ1/HFD1/ALD3/ALD2/GAD1/SNO4/ERR3/IDH1/LEU4/MLS1/DUG3/GOR1/MET2/SNO2/CIT1/BIO5/ARG1/PFK27/BDS1/GLO4/CRC1/IAH1/IDH2/MCT1/CPA1/PYK2/ALD4/GDH1/HSP33/FUM1/HSP32/CIT3/PDH1/ICL2/GLN1/ASN1/MET16",108
"GO:0043436","oxoacid metabolic process","107/689","405/5135",2.22964319692526e-13,5.44032940049763e-11,4.57272438106251e-11,"ACS1/GDH3/YAT1/ACH1/UGA2/ETR1/GLK1/CIT2/GCN4/UTR4/HPA3/DLD3/YAT2/HOM3/ARG5,6/PDA1/ARO9/SER33/XBP1/KGD1/POT1/MET28/DAL7/LYS1/MDH1/PXA2/DAL80/MET1/SNO3/SNZ3/AGX1/MET10/YMR31/HXK1/IRC7/GPM2/UGA3/GDH2/VTC5/KGD2/ARO10/EMI2/HSP31/PYC1/STR3/DSD1/POX1/UGA1/PDC6/GND2/TDH1/BNA3/ARG3/MET3/BNA2/CPA2/MET5/BAT2/MHT1/ALT1/PUT1/ASP3-3/IDP2/MET17/CAR2/CAT2/CYB2/PHO84/ADH3/SNO1/SNZ1/HFD1/ALD3/ALD2/GAD1/SNO4/ERR3/IDH1/LEU4/MLS1/DUG3/GOR1/MET2/SNO2/CIT1/BIO5/ARG1/PFK27/BDS1/GLO4/CRC1/IAH1/IDH2/MCT1/CPA1/PYK2/ALD4/GDH1/HSP33/FUM1/HSP32/CIT3/PDH1/ICL2/GLN1/ASN1/MET16",107
"GO:0019752","carboxylic acid metabolic process","103/689","387/5135",4.0852025189704e-13,8.54390926824667e-11,7.18135600703218e-11,"ACS1/GDH3/YAT1/ACH1/UGA2/ETR1/GLK1/CIT2/GCN4/UTR4/HPA3/DLD3/YAT2/HOM3/ARG5,6/PDA1/ARO9/SER33/XBP1/KGD1/POT1/MET28/DAL7/LYS1/MDH1/PXA2/MET1/SNO3/SNZ3/AGX1/MET10/YMR31/HXK1/IRC7/GPM2/UGA3/GDH2/KGD2/ARO10/EMI2/HSP31/PYC1/STR3/DSD1/POX1/UGA1/PDC6/GND2/TDH1/BNA3/ARG3/MET3/BNA2/CPA2/MET5/BAT2/MHT1/ALT1/PUT1/ASP3-3/IDP2/MET17/CAR2/CAT2/CYB2/ADH3/SNO1/SNZ1/HFD1/ALD3/ALD2/GAD1/SNO4/ERR3/IDH1/LEU4/MLS1/DUG3/GOR1/MET2/SNO2/CIT1/BIO5/ARG1/PFK27/GLO4/CRC1/IAH1/IDH2/MCT1/CPA1/PYK2/ALD4/GDH1/HSP33/FUM1/HSP32/CIT3/PDH1/ICL2/GLN1/ASN1/MET16",103
"GO:0006099","tricarboxylic acid cycle","21/689","29/5135",5.43914715223114e-13,9.95363928858298e-11,8.36626713283974e-11,"CIT2/KGD1/DAL7/MDH1/SDH3/SDH1/YMR31/KGD2/SDH4/SDH2/SHH4/IDP2/ACO1/SHH3/IDH1/MLS1/CIT1/SDH5/IDH2/FUM1/CIT3",21
"GO:0009060","aerobic respiration","40/689","92/5135",8.78625549707434e-13,1.42923089419076e-10,1.20130206737777e-10,"RIB1/ETR1/CIT2/RIP1/CYC7/COX6/KGD1/DAL7/MDH1/MBR1/SDH3/SDH1/PET10/QCR6/YMR31/KGD2/SDH4/COX4/QCR10/NCA3/SDH2/COX12/SHH4/IDP2/ACO1/NDI1/AAC1/ISF1/SHH3/IDH1/MLS1/CIT1/SDH5/CYT1/IDH2/GDS1/PET20/FUM1/CIT3/QCR2",40
"GO:0045333","cellular respiration","43/689","108/5135",4.5687448854931e-12,6.68864251236189e-10,5.62196081172782e-10,"RIB1/ETR1/CIT2/RIP1/CYC7/COX6/RNR3/KGD1/DAL7/MDH1/MBR1/HAP4/SDH3/SDH1/PET10/QCR6/YMR31/KGD2/SDH4/COX4/QCR10/NCA3/SDH2/COX12/SHH4/IDP2/ACO1/NDI1/AAC1/ISF1/SHH3/IDH1/MLS1/CIT1/SDH5/CYT1/IDH2/GDS1/HAP5/PET20/FUM1/CIT3/QCR2",43
