"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019752","carboxylic acid metabolic process","66/395","387/5135",1.48833691395304e-10,1.8886995438064e-07,1.59173716271188e-07,"BNA4/LYS2/ARO4/GLK1/HPA3/SAH1/ARG5,6/ARO9/LYS12/XBP1/MET28/LYS1/SRY1/AGX1/YMR31/HXK1/GPM2/IDP1/LYS21/GLT1/LYS20/HOM2/ARO10/SAM2/EMI2/HSP31/LEU1/POX1/ADH4/UGA1/PDC6/GND2/BIO2/TDH1/ARG3/BNA2/CPA2/AAT2/SHM2/PUT1/ARG7/SNO1/SNZ1/ALD3/GAD1/ADE4/SNO4/ERR3/MLS1/SPS19/GOR1/MET2/LYS9/IZH2/ARG1/MET22/ADH1/GLO4/CRC1/ORT1/HIS3/PYK2/HSP33/ALD6/EEB1/HSP32",66
"GO:0043436","oxoacid metabolic process","67/395","405/5135",4.17446479553678e-10,2.64869791276809e-07,2.23224012224493e-07,"BNA4/PHO5/LYS2/ARO4/GLK1/HPA3/SAH1/ARG5,6/ARO9/LYS12/XBP1/MET28/LYS1/SRY1/AGX1/YMR31/HXK1/GPM2/IDP1/LYS21/GLT1/LYS20/HOM2/ARO10/SAM2/EMI2/HSP31/LEU1/POX1/ADH4/UGA1/PDC6/GND2/BIO2/TDH1/ARG3/BNA2/CPA2/AAT2/SHM2/PUT1/ARG7/SNO1/SNZ1/ALD3/GAD1/ADE4/SNO4/ERR3/MLS1/SPS19/GOR1/MET2/LYS9/IZH2/ARG1/MET22/ADH1/GLO4/CRC1/ORT1/HIS3/PYK2/HSP33/ALD6/EEB1/HSP32",67
"GO:0006082","organic acid metabolic process","67/395","409/5135",6.47019860965726e-10,2.73689401188502e-07,2.30656904821466e-07,"BNA4/PHO5/LYS2/ARO4/GLK1/HPA3/SAH1/ARG5,6/ARO9/LYS12/XBP1/MET28/LYS1/SRY1/AGX1/YMR31/HXK1/GPM2/IDP1/LYS21/GLT1/LYS20/HOM2/ARO10/SAM2/EMI2/HSP31/LEU1/POX1/ADH4/UGA1/PDC6/GND2/BIO2/TDH1/ARG3/BNA2/CPA2/AAT2/SHM2/PUT1/ARG7/SNO1/SNZ1/ALD3/GAD1/ADE4/SNO4/ERR3/MLS1/SPS19/GOR1/MET2/LYS9/IZH2/ARG1/MET22/ADH1/GLO4/CRC1/ORT1/HIS3/PYK2/HSP33/ALD6/EEB1/HSP32",67
"GO:1901605","alpha-amino acid metabolic process","36/395","170/5135",1.15409692827828e-08,3.66137250496284e-06,3.08569073455456e-06,"BNA4/LYS2/HPA3/SAH1/ARG5,6/ARO9/LYS12/XBP1/MET28/LYS1/SRY1/AGX1/IDP1/LYS21/GLT1/LYS20/HOM2/ARO10/SAM2/LEU1/PDC6/ARG3/BNA2/CPA2/AAT2/SHM2/PUT1/ARG7/SNO1/GAD1/ADE4/MET2/LYS9/ARG1/MET22/ORT1",36
"GO:0070726","cell wall assembly","18/395","51/5135",1.58701802922064e-08,4.02785175816199e-06,3.39454803723826e-06,"LDS1/GIP1/DTR1/RRT12/SPS100/SSP1/YVH1/DIT2/SPS2/SPS1/GSC2/AMA1/LOH1/CRR1/CDA1/YGP1/LDS2/OSW1",18
"GO:0006520","cellular amino acid metabolic process","43/395","235/5135",4.21720754507259e-08,6.84495376660382e-06,5.76871388732901e-06,"BNA4/LYS2/ARO4/HPA3/SAH1/ARG5,6/ARO9/LYS12/XBP1/MET28/LYS1/SRY1/AGX1/IDP1/LYS21/GLT1/LYS20/HOM2/ARO10/SAM2/LEU1/ADH4/UGA1/PDC6/ARG3/BNA2/CPA2/AAT2/SHM2/PUT1/ARG7/SNO1/SNZ1/ALD3/GAD1/ADE4/MET2/LYS9/ARG1/MET22/ADH1/ORT1/HIS3",43
"GO:0044282","small molecule catabolic process","32/395","148/5135",4.66008219363055e-08,6.84495376660382e-06,5.76871388732901e-06,"BNA4/SAH1/GRE3/ARO9/XBP1/GUT2/YPR1/ARO10/HSP31/AMS1/POX1/ADH4/UGA1/PDC6/GND2/BNA2/AAT2/SHM2/PUT1/DAK1/PGM2/GAD1/SNO4/SPS19/GOR1/MET22/ADH1/GLO4/HSP33/ALD6/EEB1/HSP32",32
"GO:0006812","cation transport","41/395","220/5135",5.22859554008607e-08,6.84495376660382e-06,5.76871388732901e-06,"AAC3/PHO89/AGP1/SIT1/AVT6/DUR3/ARN1/ARN2/HXT1/HXT5/ZRT3/FRE2/GEX2/HXT10/ENA1/STL1/HNM1/AIM14/ZRT1/TPO1/GAL2/FRE1/ATR1/HXT2/RCH1/FET3/FET4/ATX1/HXT17/PHM7/FRE7/HXT11/ENB1/RSB1/NRT1/CRC1/ORT1/TPO4/FIT2/FRE5/COX1",41
"GO:0030476","ascospore wall assembly","17/395","49/5135",5.3939745993726e-08,6.84495376660382e-06,5.76871388732901e-06,"LDS1/GIP1/DTR1/RRT12/SPS100/SSP1/YVH1/DIT2/SPS2/SPS1/GSC2/AMA1/LOH1/CRR1/CDA1/LDS2/OSW1",17
"GO:0042244","spore wall assembly","17/395","49/5135",5.3939745993726e-08,6.84495376660382e-06,5.76871388732901e-06,"LDS1/GIP1/DTR1/RRT12/SPS100/SSP1/YVH1/DIT2/SPS2/SPS1/GSC2/AMA1/LOH1/CRR1/CDA1/LDS2/OSW1",17
"GO:0006091","generation of precursor metabolites and energy","40/395","214/5135",7.07540393403138e-08,6.8925347721848e-06,5.80881367719278e-06,"AAC3/TKL2/GRX1/GLK1/GLC3/CYC7/AAP1/RNR3/MBR1/SDH1/GSY1/YMR31/HXK1/GPM2/IDP1/NDE2/EMI2/ADH4/NQM1/SOL4/GND2/TDH1/NCA3/GLG2/GSY2/PIG1/DAK1/NDI1/ISF1/PGM2/ERR3/MLS1/PSD1/GAC1/PYK2/GDS1/ALD6/PRM4/GPH1/COX1",40
"GO:0070590","spore wall biogenesis","17/395","50/5135",7.60405727427795e-08,6.8925347721848e-06,5.80881367719278e-06,"LDS1/GIP1/DTR1/RRT12/SPS100/SSP1/YVH1/DIT2/SPS2/SPS1/GSC2/AMA1/LOH1/CRR1/CDA1/LDS2/OSW1",17
"GO:0070591","ascospore wall biogenesis","17/395","50/5135",7.60405727427795e-08,6.8925347721848e-06,5.80881367719278e-06,"LDS1/GIP1/DTR1/RRT12/SPS100/SSP1/YVH1/DIT2/SPS2/SPS1/GSC2/AMA1/LOH1/CRR1/CDA1/LDS2/OSW1",17
"GO:0071940","fungal-type cell wall assembly","17/395","50/5135",7.60405727427795e-08,6.8925347721848e-06,5.80881367719278e-06,"LDS1/GIP1/DTR1/RRT12/SPS100/SSP1/YVH1/DIT2/SPS2/SPS1/GSC2/AMA1/LOH1/CRR1/CDA1/LDS2/OSW1",17
"GO:0016053","organic acid biosynthetic process","36/395","189/5135",2.04170862103188e-07,1.61933015005591e-05,1.3647210256371e-05,"BNA4/LYS2/ARO4/ARG5,6/ARO9/LYS12/MET28/LYS1/SRY1/AGX1/IDP1/LYS21/GLT1/LYS20/HOM2/HSP31/LEU1/BIO2/ARG3/CPA2/AAT2/SHM2/PUT1/ARG7/ALD3/SNO4/MET2/LYS9/ARG1/MET22/ORT1/HIS3/HSP33/ALD6/EEB1/HSP32",36
"GO:0046394","carboxylic acid biosynthetic process","36/395","189/5135",2.04170862103188e-07,1.61933015005591e-05,1.3647210256371e-05,"BNA4/LYS2/ARO4/ARG5,6/ARO9/LYS12/MET28/LYS1/SRY1/AGX1/IDP1/LYS21/GLT1/LYS20/HOM2/HSP31/LEU1/BIO2/ARG3/CPA2/AAT2/SHM2/PUT1/ARG7/ALD3/SNO4/MET2/LYS9/ARG1/MET22/ORT1/HIS3/HSP33/ALD6/EEB1/HSP32",36
"GO:0008652","cellular amino acid biosynthetic process","28/395","128/5135",2.58167922673402e-07,1.92714761101498e-05,1.62413999650883e-05,"LYS2/ARO4/ARG5,6/ARO9/LYS12/MET28/LYS1/SRY1/AGX1/IDP1/LYS21/GLT1/LYS20/HOM2/LEU1/ARG3/CPA2/AAT2/SHM2/PUT1/ARG7/ALD3/MET2/LYS9/ARG1/MET22/ORT1/HIS3",28
"GO:0006811","ion transport","51/395","324/5135",3.52816846508381e-07,2.38280318084023e-05,2.00815232195568e-05,"SEO1/YRO2/AAC3/SUL1/PHO89/AGP1/HSP30/SIT1/AVT6/DUR3/ARN1/ARN2/HXT1/HXT5/ZRT3/JEN1/FRE2/GEX2/HXT10/ENA1/STL1/HNM1/AIM14/ZRT1/MPC3/TNA1/SFC1/TPO1/GAL2/FRE1/ATR1/HXT2/RCH1/FET3/FET4/ATX1/HXT17/PHM7/FRE7/HXT11/ENB1/RSB1/NRT1/CRC1/ORT1/TPO4/PUT4/FIT2/FRE5/COX1/ATP6",51
"GO:1904659","glucose transmembrane transport","12/395","28/5135",3.56763281607285e-07,2.38280318084023e-05,2.00815232195568e-05,"GLK1/HXT1/HXT5/HXT10/HXK1/MTH1/STL1/GAL2/HXT2/HXT17/HXT11/SKS1",12
"GO:0055085","transmembrane transport","60/395","411/5135",4.4670231291039e-07,2.76570377303623e-05,2.3308490177967e-05,"SEO1/YRO2/AAC3/RTC2/DTR1/SUL1/PHO89/AGP1/GLK1/HSP30/SIT1/HVG1/AVT6/DUR3/VMR1/ARN1/ARN2/HXT1/HXT5/ZRT3/JEN1/VBA5/GEX2/AQY3/HXT10/HXK1/GPD1/ENA1/MTH1/STL1/HNM1/VPS73/ZRT1/PEX21/MPC3/TNA1/YOR1/SFC1/TPO1/GAL2/ATR1/HXT2/FET3/FET4/ESBP6/HXT17/PHM7/MCH4/HXT11/ENB1/NRT1/CRC1/ORT1/PDR5/PNS1/TPO4/PUT4/SKS1/OPT2/COX1",60
"GO:0005975","carbohydrate metabolic process","42/395","246/5135",4.57681475443348e-07,2.76570377303623e-05,2.3308490177967e-05,"MAL33/MAL32/GLK1/GLC3/GPP2/AAP1/GRE3/GUT2/GSY1/HXK1/GPM2/GPD1/IDP1/YPR1/EMI2/PKP2/AMS1/GSC2/NQM1/SOL4/GND2/TDH1/SIP4/GLG2/INO1/PGU1/GAL2/CRR1/GSY2/PIG1/CDA1/DAK1/TSL1/PGM2/CAT8/ERR3/MLS1/MET22/GAC1/PYK2/ATH1/GPH1",42
"GO:0006826","iron ion transport","14/395","39/5135",5.13020972195385e-07,2.95919824416338e-05,2.49392013277757e-05,"AAC3/SIT1/ARN1/ARN2/FRE2/GEX2/AIM14/FRE1/FET3/FET4/FRE7/ENB1/FIT2/FRE5",14
"GO:0008645","hexose transmembrane transport","12/395","29/5135",5.66795685617974e-07,2.99693218770504e-05,2.52572112538536e-05,"GLK1/HXT1/HXT5/HXT10/HXK1/MTH1/STL1/GAL2/HXT2/HXT17/HXT11/SKS1",12
"GO:0015749","monosaccharide transmembrane transport","12/395","29/5135",5.66795685617974e-07,2.99693218770504e-05,2.52572112538536e-05,"GLK1/HXT1/HXT5/HXT10/HXK1/MTH1/STL1/GAL2/HXT2/HXT17/HXT11/SKS1",12
"GO:0034219","carbohydrate transmembrane transport","13/395","35/5135",8.39123573402318e-07,4.25939125859017e-05,3.58968231821792e-05,"GLK1/HXT1/HXT5/AQY3/HXT10/HXK1/MTH1/STL1/GAL2/HXT2/HXT17/HXT11/SKS1",13
"GO:1901607","alpha-amino acid biosynthetic process","25/395","113/5135",9.21881002275728e-07,4.49948843033807e-05,3.79202873810583e-05,"LYS2/ARG5,6/ARO9/LYS12/MET28/LYS1/SRY1/AGX1/IDP1/LYS21/GLT1/LYS20/HOM2/LEU1/ARG3/CPA2/AAT2/SHM2/PUT1/ARG7/MET2/LYS9/ARG1/MET22/ORT1",25
"GO:0008643","carbohydrate transport","14/395","42/5135",1.45028174296821e-06,6.81632419195059e-05,5.74458577331658e-05,"GLK1/HVG1/HXT1/HXT5/AQY3/HXT10/HXK1/MTH1/STL1/GAL2/HXT2/HXT17/HXT11/SKS1",14
