"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006091","generation of precursor metabolites and energy","37/287","214/5135",3.11221316496794e-10,3.33318029968066e-07,2.93858443050131e-07,"TKL2/GRX1/GLK1/GLC3/CYC7/AAP1/RNR3/MBR1/SDH1/GSY1/YMR31/HXK1/GPM2/IDP1/NDE2/EMI2/NQM1/SOL4/GND2/TDH1/NCA3/GLG2/GSY2/PIG1/DAK1/NDI1/ISF1/PGM2/ERR3/MLS1/GAC1/PYK2/GDS1/ALD6/PRM4/GPH1/COX1",37
"GO:0019752","carboxylic acid metabolic process","52/287","387/5135",9.3856168496609e-10,5.02599782299341e-07,4.43099911270833e-07,"LYS2/ARO4/GLK1/HPA3/ARG5,6/ARO9/LYS12/XBP1/MET28/LYS1/SRY1/AGX1/YMR31/HXK1/GPM2/IDP1/LYS21/LYS20/HOM2/ARO10/EMI2/HSP31/UGA1/PDC6/GND2/TDH1/ARG3/CPA2/AAT2/PUT1/ARG7/SNO1/SNZ1/ALD3/GAD1/SNO4/ERR3/MLS1/GOR1/MET2/LYS9/ARG1/MET22/ADH1/GLO4/CRC1/ORT1/HIS3/PYK2/HSP33/ALD6/HSP32",52
"GO:0043436","oxoacid metabolic process","52/287","405/5135",4.85496342999981e-09,1.3282284659368e-06,1.17098720718002e-06,"LYS2/ARO4/GLK1/HPA3/ARG5,6/ARO9/LYS12/XBP1/MET28/LYS1/SRY1/AGX1/YMR31/HXK1/GPM2/IDP1/LYS21/LYS20/HOM2/ARO10/EMI2/HSP31/UGA1/PDC6/GND2/TDH1/ARG3/CPA2/AAT2/PUT1/ARG7/SNO1/SNZ1/ALD3/GAD1/SNO4/ERR3/MLS1/GOR1/MET2/LYS9/ARG1/MET22/ADH1/GLO4/CRC1/ORT1/HIS3/PYK2/HSP33/ALD6/HSP32",52
"GO:0005975","carbohydrate metabolic process","38/287","246/5135",4.96070388771915e-09,1.3282284659368e-06,1.17098720718002e-06,"MAL33/MAL32/GLK1/GLC3/GPP2/AAP1/GRE3/GUT2/GSY1/HXK1/GPM2/GPD1/IDP1/YPR1/EMI2/PKP2/AMS1/GSC2/NQM1/SOL4/GND2/TDH1/SIP4/GLG2/GAL2/GSY2/PIG1/DAK1/TSL1/PGM2/CAT8/ERR3/MLS1/MET22/GAC1/PYK2/ATH1/GPH1",38
"GO:0006082","organic acid metabolic process","52/287","409/5135",6.87900078597884e-09,1.47348196835667e-06,1.29904499053116e-06,"LYS2/ARO4/GLK1/HPA3/ARG5,6/ARO9/LYS12/XBP1/MET28/LYS1/SRY1/AGX1/YMR31/HXK1/GPM2/IDP1/LYS21/LYS20/HOM2/ARO10/EMI2/HSP31/UGA1/PDC6/GND2/TDH1/ARG3/CPA2/AAT2/PUT1/ARG7/SNO1/SNZ1/ALD3/GAD1/SNO4/ERR3/MLS1/GOR1/MET2/LYS9/ARG1/MET22/ADH1/GLO4/CRC1/ORT1/HIS3/PYK2/HSP33/ALD6/HSP32",52
"GO:0008652","cellular amino acid biosynthetic process","25/287","128/5135",2.33306860553869e-08,4.16452746088656e-06,3.67151322661088e-06,"LYS2/ARO4/ARG5,6/ARO9/LYS12/MET28/LYS1/SRY1/AGX1/IDP1/LYS21/LYS20/HOM2/ARG3/CPA2/AAT2/PUT1/ARG7/ALD3/MET2/LYS9/ARG1/MET22/ORT1/HIS3",25
"GO:0016053","organic acid biosynthetic process","30/287","189/5135",1.27407175686239e-07,1.70566356449953e-05,1.5037399551389e-05,"LYS2/ARO4/ARG5,6/ARO9/LYS12/MET28/LYS1/SRY1/AGX1/IDP1/LYS21/LYS20/HOM2/HSP31/ARG3/CPA2/AAT2/PUT1/ARG7/ALD3/SNO4/MET2/LYS9/ARG1/MET22/ORT1/HIS3/HSP33/ALD6/HSP32",30
"GO:0046394","carboxylic acid biosynthetic process","30/287","189/5135",1.27407175686239e-07,1.70566356449953e-05,1.5037399551389e-05,"LYS2/ARO4/ARG5,6/ARO9/LYS12/MET28/LYS1/SRY1/AGX1/IDP1/LYS21/LYS20/HOM2/HSP31/ARG3/CPA2/AAT2/PUT1/ARG7/ALD3/SNO4/MET2/LYS9/ARG1/MET22/ORT1/HIS3/HSP33/ALD6/HSP32",30
"GO:1901605","alpha-amino acid metabolic process","28/287","170/5135",1.54985675972607e-07,1.72774800663579e-05,1.52320994835353e-05,"LYS2/HPA3/ARG5,6/ARO9/LYS12/XBP1/MET28/LYS1/SRY1/AGX1/IDP1/LYS21/LYS20/HOM2/ARO10/PDC6/ARG3/CPA2/AAT2/PUT1/ARG7/SNO1/GAD1/MET2/LYS9/ARG1/MET22/ORT1",28
"GO:1901607","alpha-amino acid biosynthetic process","22/287","113/5135",1.79050577962691e-07,1.72774800663579e-05,1.52320994835353e-05,"LYS2/ARG5,6/ARO9/LYS12/MET28/LYS1/SRY1/AGX1/IDP1/LYS21/LYS20/HOM2/ARG3/CPA2/AAT2/PUT1/ARG7/MET2/LYS9/ARG1/MET22/ORT1",22
"GO:0006520","cellular amino acid metabolic process","34/287","235/5135",1.80597776460822e-07,1.72774800663579e-05,1.52320994835353e-05,"LYS2/ARO4/HPA3/ARG5,6/ARO9/LYS12/XBP1/MET28/LYS1/SRY1/AGX1/IDP1/LYS21/LYS20/HOM2/ARO10/UGA1/PDC6/ARG3/CPA2/AAT2/PUT1/ARG7/SNO1/SNZ1/ALD3/GAD1/MET2/LYS9/ARG1/MET22/ADH1/ORT1/HIS3",34
"GO:0009085","lysine biosynthetic process","8/287","14/5135",1.93585210827539e-07,1.72774800663579e-05,1.52320994835353e-05,"LYS2/ARO9/LYS12/LYS1/LYS21/LYS20/HOM2/LYS9",8
"GO:0006553","lysine metabolic process","8/287","15/5135",3.94816995737796e-07,3.25268463411677e-05,2.86761817956926e-05,"LYS2/ARO9/LYS12/LYS1/LYS21/LYS20/HOM2/LYS9",8
"GO:0044283","small molecule biosynthetic process","41/287","333/5135",8.29120232288169e-07,6.34276977700449e-05,5.59188607791344e-05,"BDH2/LYS2/ARO4/RIB5/GPP2/ARG5,6/ARO9/LYS12/MET28/LYS1/SRY1/AGX1/IDP1/LYS21/LYS20/HOM2/ARO10/HSP31/PDC6/THI4/TDH1/ARG3/SIP4/CPA2/AAT2/PUT1/ARG7/SNO1/SNZ1/ALD3/SNO4/MET2/LYS9/ARG1/MET22/ADH1/ORT1/HIS3/HSP33/ALD6/HSP32",41
"GO:0019878","lysine biosynthetic process via aminoadipic acid","7/287","12/5135",9.85605410042368e-07,7.03722262770251e-05,6.20412668637196e-05,"LYS2/ARO9/LYS12/LYS1/LYS21/LYS20/LYS9",7
"GO:0016052","carbohydrate catabolic process","17/287","80/5135",1.30157962189591e-06,8.49685361738721e-05,7.49096043520205e-05,"MAL32/GLK1/GRE3/GUT2/HXK1/GPM2/YPR1/EMI2/AMS1/GND2/TDH1/DAK1/PGM2/ERR3/PYK2/ATH1/GPH1",17
"GO:1904659","glucose transmembrane transport","10/287","28/5135",1.35978616808199e-06,8.49685361738721e-05,7.49096043520205e-05,"GLK1/HXT1/HXT5/HXK1/MTH1/STL1/GAL2/HXT2/HXT11/SKS1",10
"GO:0044262","cellular carbohydrate metabolic process","25/287","157/5135",1.42804262477096e-06,8.49685361738721e-05,7.49096043520205e-05,"MAL33/MAL32/GLK1/GLC3/GPP2/AAP1/GUT2/GSY1/HXK1/IDP1/EMI2/GSC2/GND2/SIP4/GLG2/GSY2/PIG1/DAK1/TSL1/PGM2/MLS1/MET22/GAC1/ATH1/GPH1",25
"GO:0044282","small molecule catabolic process","24/287","148/5135",1.67396685120862e-06,9.18483211733191e-05,8.0974931537144e-05,"GRE3/ARO9/XBP1/GUT2/YPR1/ARO10/HSP31/AMS1/UGA1/PDC6/GND2/AAT2/PUT1/DAK1/PGM2/GAD1/SNO4/GOR1/MET22/ADH1/GLO4/HSP33/ALD6/HSP32",24
"GO:0034219","carbohydrate transmembrane transport","11/287","35/5135",1.71796207142663e-06,9.18483211733191e-05,8.0974931537144e-05,"GLK1/HXT1/HXT5/AQY3/HXK1/MTH1/STL1/GAL2/HXT2/HXT11/SKS1",11
"GO:0008643","carbohydrate transport","12/287","42/5135",1.80094747398665e-06,9.18483211733191e-05,8.0974931537144e-05,"GLK1/HVG1/HXT1/HXT5/AQY3/HXK1/MTH1/STL1/GAL2/HXT2/HXT11/SKS1",12
"GO:0008645","hexose transmembrane transport","10/287","29/5135",1.9740048707781e-06,9.19199659392761e-05,8.10380946951012e-05,"GLK1/HXT1/HXT5/HXK1/MTH1/STL1/GAL2/HXT2/HXT11/SKS1",10
"GO:0015749","monosaccharide transmembrane transport","10/287","29/5135",1.9740048707781e-06,9.19199659392761e-05,8.10380946951012e-05,"GLK1/HXT1/HXT5/HXK1/MTH1/STL1/GAL2/HXT2/HXT11/SKS1",10
"GO:0042182","ketone catabolic process","6/287","10/5135",5.02629609129578e-06,0.000215326524551111,0.000189835267111255,"ARO9/HSP31/SNO4/GLO4/HSP33/HSP32",6
"GO:0046185","aldehyde catabolic process","6/287","10/5135",5.02629609129578e-06,0.000215326524551111,0.000189835267111255,"HSP31/SNO4/GOR1/GLO4/HSP33/HSP32",6
"GO:0051156","glucose 6-phosphate metabolic process","8/287","20/5135",6.03856056618628e-06,0.000248742244860981,0.000219295094245712,"TKL2/GLK1/HXK1/EMI2/NQM1/SOL4/GND2/PGM2",8
"GO:0009066","aspartate family amino acid metabolic process","14/287","65/5135",9.7212840286145e-06,0.000385610933135042,0.000339960692930495,"LYS2/ARO9/LYS12/XBP1/MET28/LYS1/LYS21/LYS20/HOM2/ARO10/AAT2/MET2/LYS9/MET22",14
"GO:0006526","arginine biosynthetic process","6/287","11/5135",1.05403887853548e-05,0.00040316987103982,0.000355440930092603,"ARG5,6/ARG3/CPA2/ARG7/ARG1/ORT1",6
"GO:0006081","cellular aldehyde metabolic process","10/287","35/5135",1.33981259475649e-05,0.000494806651373861,0.000436229363882602,"IDP1/HSP31/SNO1/SNZ1/SNO4/MLS1/GOR1/GLO4/HSP33/HSP32",10
"GO:0015980","energy derivation by oxidation of organic compounds","23/287","157/5135",1.60394452776377e-05,0.000549194641571955,0.00048417867560081,"GLC3/CYC7/AAP1/RNR3/MBR1/SDH1/GSY1/YMR31/IDP1/NDE2/NCA3/GLG2/GSY2/PIG1/DAK1/NDI1/ISF1/PGM2/MLS1/GAC1/GDS1/GPH1/COX1",23
"GO:0009067","aspartate family amino acid biosynthetic process","12/287","51/5135",1.64091769657354e-05,0.000549194641571955,0.00048417867560081,"LYS2/ARO9/LYS12/MET28/LYS1/LYS21/LYS20/HOM2/AAT2/MET2/LYS9/MET22",12
"GO:0072524","pyridine-containing compound metabolic process","12/287","51/5135",1.64091769657354e-05,0.000549194641571955,0.00048417867560081,"TKL2/YEF1/NNR2/IDP1/PNC1/NQM1/SOL4/GND2/SNO1/SNZ1/NNR1/ALD6",12
"GO:0006826","iron ion transport","10/287","39/5135",3.79919962555326e-05,0.0012330129693841,0.00108704372061285,"SIT1/ARN1/ARN2/FRE2/AIM14/FRE1/FET3/ENB1/FIT2/FRE5",10
"GO:0009084","glutamine family amino acid biosynthetic process","8/287","25/5135",4.05352060738863e-05,0.00127685899132742,0.00112569906651009,"ARG5,6/IDP1/ARG3/CPA2/PUT1/ARG7/ARG1/ORT1",8
"GO:0019362","pyridine nucleotide metabolic process","10/287","40/5135",4.818902069896e-05,0.00147458403338818,0.00130001658848021,"TKL2/YEF1/NNR2/IDP1/PNC1/NQM1/SOL4/GND2/NNR1/ALD6",10
"GO:0046323","glucose import","8/287","26/5135",5.57431502427895e-05,0.00165835871972299,0.0014620352563679,"GLK1/HXT1/HXT5/HXK1/STL1/GAL2/HXT2/HXT11",8
"GO:0005977","glycogen metabolic process","9/287","34/5135",7.12947655925953e-05,0.00206369443107215,0.00181938562550663,"GLC3/AAP1/GSY1/GLG2/GSY2/PIG1/PGM2/GAC1/GPH1",9
"GO:0055072","iron ion homeostasis","12/287","60/5135",9.18879655765112e-05,0.00258978976664325,0.00228319958787065,"SIT1/ARN1/ARN2/FRE2/AIM14/FRE1/FET3/ATX1/ENB1/FIT2/FRE5/LSO1",12
"GO:0006116","NADH oxidation","5/287","10/5135",0.000105238087073751,0.00281774978139967,0.00248417273960933,"GUT2/GPD1/NDE2/NDI1/ADH1",5
"GO:0015891","siderophore transport","5/287","10/5135",0.000105238087073751,0.00281774978139967,0.00248417273960933,"SIT1/ARN1/ARN2/ENB1/FIT2",5
"GO:0006112","energy reserve metabolic process","9/287","36/5135",0.00011589904702048,0.00302750925265693,0.0026691000045538,"GLC3/AAP1/GSY1/GLG2/GSY2/PIG1/PGM2/GAC1/GPH1",9
"GO:0055086","nucleobase-containing small molecule metabolic process","27/287","226/5135",0.00012206235283362,0.00311258999725731,0.002744108533628,"TKL2/GLK1/YEF1/PHM8/RNR1/RNR3/DAL1/DAL3/NNR2/HXK1/GPM2/IDP1/EMI2/PNC1/SDT1/NQM1/SOL4/GND2/TDH1/NCA3/CPA2/PGM2/ERR3/NNR1/PYK2/ALD6/ATP6",27
"GO:0006739","NADP metabolic process","7/287","22/5135",0.000130487333938812,0.00325004499182483,0.0028652910292072,"TKL2/YEF1/IDP1/NQM1/SOL4/GND2/ALD6",7
"GO:0032787","monocarboxylic acid metabolic process","21/287","156/5135",0.000133533897237732,0.00325033645321844,0.00286554798617813,"GLK1/SRY1/HXK1/GPM2/IDP1/EMI2/HSP31/UGA1/GND2/TDH1/ALD3/SNO4/ERR3/MLS1/GOR1/GLO4/CRC1/PYK2/HSP33/ALD6/HSP32",21
"GO:0006525","arginine metabolic process","6/287","16/5135",0.000143866944348735,0.00342403327549989,0.00301868184984363,"ARG5,6/ARG3/CPA2/ARG7/ARG1/ORT1",6
