"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006188","IMP biosynthetic process","5/67","12/5135",2.39971712987353e-07,0.000114264907576108,0.000100977345421988,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0046040","IMP metabolic process","5/67","13/5135",3.86030093162528e-07,0.000114264907576108,0.000100977345421988,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0055086","nucleobase-containing small molecule metabolic process","14/67","226/5135",8.37803019334153e-07,0.00012562280247778,0.000111014460937867,"ADE1/TKL2/RNR3/UGP1/MTD1/HXK1/ADE5,7/RNR4/TDH1/ADE13/ADE17/SOL1/CYT1/ADE2",14
"GO:0009117","nucleotide metabolic process","13/67","193/5135",8.48802719444458e-07,0.00012562280247778,0.000111014460937867,"ADE1/TKL2/RNR3/MTD1/HXK1/ADE5,7/RNR4/TDH1/ADE13/ADE17/SOL1/CYT1/ADE2",13
"GO:0006753","nucleoside phosphate metabolic process","13/67","198/5135",1.13758584403247e-06,0.000134690163933445,0.000119027403049293,"ADE1/TKL2/RNR3/MTD1/HXK1/ADE5,7/RNR4/TDH1/ADE13/ADE17/SOL1/CYT1/ADE2",13
"GO:0006091","generation of precursor metabolites and energy","13/67","214/5135",2.74173807948674e-06,0.000270518157176025,0.00023906032026402,"TKL2/GRX1/RGI1/RNR3/UGP1/GSY1/HXK1/TDH1/SDH2/DAK1/SHH3/SOL1/CYT1",13
"GO:0009127","purine nucleoside monophosphate biosynthetic process","5/67","22/5135",7.21199340020236e-06,0.000533687511614975,0.000471626410513233,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0009168","purine ribonucleoside monophosphate biosynthetic process","5/67","22/5135",7.21199340020236e-06,0.000533687511614975,0.000471626410513233,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0006089","lactate metabolic process","4/67","11/5135",8.15803606893884e-06,0.000536617483645754,0.000474215663890363,"HSP31/GLO1/CYB2/HSP33",4
"GO:1901135","carbohydrate derivative metabolic process","15/67","327/5135",1.38278916796083e-05,0.00064283478237368,0.000568081235490254,"ADE1/TKL2/SHC1/RNR3/UGP1/HXK1/GPD1/ADE5,7/RNR4/TDH1/ADE13/ADE17/SOL1/CYT1/ADE2",15
"GO:0006163","purine nucleotide metabolic process","9/67","114/5135",1.38769335284213e-05,0.00064283478237368,0.000568081235490254,"ADE1/MTD1/HXK1/ADE5,7/TDH1/ADE13/ADE17/CYT1/ADE2",9
"GO:0009126","purine nucleoside monophosphate metabolic process","5/67","25/5135",1.41163043426653e-05,0.00064283478237368,0.000568081235490254,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0009167","purine ribonucleoside monophosphate metabolic process","5/67","25/5135",1.41163043426653e-05,0.00064283478237368,0.000568081235490254,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0009165","nucleotide biosynthetic process","9/67","119/5135",1.96679065691292e-05,0.00083167147778032,0.000734958613899038,"ADE1/RNR3/MTD1/ADE5,7/RNR4/ADE13/ADE17/CYT1/ADE2",9
"GO:1901293","nucleoside phosphate biosynthetic process","9/67","121/5135",2.25026088443684e-05,0.000888102962391072,0.000784827831273761,"ADE1/RNR3/MTD1/ADE5,7/RNR4/ADE13/ADE17/CYT1/ADE2",9
"GO:0006164","purine nucleotide biosynthetic process","7/67","69/5135",2.66471609755897e-05,0.00098594495609682,0.000871292039793954,"ADE1/MTD1/ADE5,7/ADE13/ADE17/CYT1/ADE2",7
"GO:0072521","purine-containing compound metabolic process","9/67","130/5135",3.99702619283068e-05,0.00138851564951149,0.00122704885812093,"ADE1/MTD1/HXK1/ADE5,7/TDH1/ADE13/ADE17/CYT1/ADE2",9
"GO:0072522","purine-containing compound biosynthetic process","7/67","74/5135",4.22183812351467e-05,0.00138851564951149,0.00122704885812093,"ADE1/MTD1/ADE5,7/ADE13/ADE17/CYT1/ADE2",7
"GO:0009150","purine ribonucleotide metabolic process","8/67","104/5135",5.24144185886883e-05,0.00163312293707913,0.00144321141487967,"ADE1/HXK1/ADE5,7/TDH1/ADE13/ADE17/CYT1/ADE2",8
"GO:0019637","organophosphate metabolic process","15/67","379/5135",7.85938831986728e-05,0.00232637894268071,0.00205585052367055,"ADE1/TKL2/RNR3/MTD1/HXK1/GPD1/ADE5,7/GPC1/RNR4/TDH1/ADE13/ADE17/SOL1/CYT1/ADE2",15
"GO:0009156","ribonucleoside monophosphate biosynthetic process","5/67","38/5135",0.000116972851859435,0.00329752039527551,0.00291406052000699,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0009152","purine ribonucleotide biosynthetic process","6/67","61/5135",0.00012432936230423,0.00334559011291383,0.00295654033804796,"ADE1/ADE5,7/ADE13/ADE17/CYT1/ADE2",6
"GO:0009259","ribonucleotide metabolic process","8/67","119/5135",0.000136711805638707,0.00351884299730932,0.0031096461053747,"ADE1/HXK1/ADE5,7/TDH1/ADE13/ADE17/CYT1/ADE2",8
"GO:0009124","nucleoside monophosphate biosynthetic process","5/67","41/5135",0.000169440597058029,0.00401235333833412,0.00354576744159327,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
