"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006826","iron ion transport","4/23","39/5135",2.26862279433595e-05,0.00552431960786447,0.00479019445731341,"FTR1/ARN2/FRE1/FET3",4
"GO:0034755","iron ion transmembrane transport","3/23","16/5135",4.23319510181186e-05,0.00552431960786447,0.00479019445731341,"FTR1/ARN2/FET3",3
"GO:0055072","iron ion homeostasis","4/23","60/5135",0.000126361561865867,0.0109934558823305,0.00953253887760053,"FTR1/ARN2/FRE1/FET3",4
"GO:0000041","transition metal ion transport","4/23","65/5135",0.000172853887391495,0.0112787161522951,0.00977989099715039,"FTR1/ARN2/FRE1/FET3",4
"GO:0055076","transition metal ion homeostasis","4/23","91/5135",0.000631578464304343,0.0329683958366867,0.0285872357527229,"FTR1/ARN2/FRE1/FET3",4
"GO:0030001","metal ion transport","4/23","98/5135",0.000836022030909303,0.0363669583445547,0.031534164323772,"FTR1/ARN2/FRE1/FET3",4
"GO:0043414","macromolecule methylation","4/23","114/5135",0.001472541624181,0.0419856250821391,0.0364061681494652,"HMT1/BMT2/EFM6/SET6",4
"GO:0006879","cellular iron ion homeostasis","3/23","52/5135",0.00150372711883962,0.0419856250821391,0.0364061681494652,"ARN2/FRE1/FET3",3
"GO:0055065","metal ion homeostasis","4/23","115/5135",0.00152107127677507,0.0419856250821391,0.0364061681494652,"FTR1/ARN2/FRE1/FET3",4
"GO:0006479","protein methylation","3/23","55/5135",0.00176950910307866,0.0419856250821391,0.0364061681494652,"HMT1/EFM6/SET6",3
"GO:0008213","protein alkylation","3/23","55/5135",0.00176950910307866,0.0419856250821391,0.0364061681494652,"HMT1/EFM6/SET6",3
"GO:0032259","methylation","4/23","131/5135",0.00245795986347979,0.0534606270306855,0.0463562605831715,"HMT1/BMT2/EFM6/SET6",4
"GO:0098771","inorganic ion homeostasis","4/23","147/5135",0.00373477421269183,0.0749827745778898,0.0650183364962545,"FTR1/ARN2/FRE1/FET3",4
"GO:0055080","cation homeostasis","4/23","154/5135",0.00441407355401249,0.0822909426855185,0.0713553243693748,"FTR1/ARN2/FRE1/FET3",4
"GO:0046916","cellular transition metal ion homeostasis","3/23","82/5135",0.00552066970748282,0.0943209266773667,0.0817866474516388,"ARN2/FRE1/FET3",3
"GO:0042398","cellular modified amino acid biosynthetic process","2/23","26/5135",0.00584299449187835,0.0943209266773667,0.0817866474516388,"HMT1/PAN6",2
"GO:0050801","ion homeostasis","4/23","169/5135",0.00614350863415798,0.0943209266773667,0.0817866474516388,"FTR1/ARN2/FRE1/FET3",4
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0008757","S-adenosylmethionine-dependent methyltransferase activity","4/23","76/5104",0.000324365064040669,0.0113716042730845,0.00935164825089187,"HMT1/BMT2/EFM6/SET6",4
"GO:0008276","protein methyltransferase activity","3/23","36/5104",0.000518100518117802,0.0113716042730845,0.00935164825089187,"HMT1/EFM6/SET6",3
"GO:0008168","methyltransferase activity","4/23","88/5104",0.000568758354133928,0.0113716042730845,0.00935164825089187,"HMT1/BMT2/EFM6/SET6",4
"GO:0008170","N-methyltransferase activity","3/23","41/5104",0.00076223348478477,0.0113716042730845,0.00935164825089187,"HMT1/EFM6/SET6",3
"GO:0016741","transferase activity, transferring one-carbon groups","4/23","99/5104",0.000888406583834728,0.0113716042730845,0.00935164825089187,"HMT1/BMT2/EFM6/SET6",4
"GO:0016722","oxidoreductase activity, acting on metal ions","2/23","14/5104",0.00171061038240613,0.0182465107456654,0.0150053542316327,"FRE1/FET3",2
"GO:0001046","core promoter sequence-specific DNA binding","2/23","16/5104",0.00224341804795964,0.0205112507242024,0.016867804871877,"BDF2/RRN11",2
"GO:0016278","lysine N-methyltransferase activity","2/23","25/5104",0.0054720349527913,0.0389122485531826,0.0320002044022883,"EFM6/SET6",2
"GO:0016279","protein-lysine N-methyltransferase activity","2/23","25/5104",0.0054720349527913,0.0389122485531826,0.0320002044022883,"EFM6/SET6",2
"GO:0046915","transition metal ion transmembrane transporter activity","2/23","32/5104",0.00887564148940441,0.054821788843838,0.0450837079307878,"FTR1/FET3",2
"GO:0140296","general transcription initiation factor binding","2/23","33/5104",0.00942249495753466,0.054821788843838,0.0450837079307878,"BDF2/RRN11",2
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:1902495","transmembrane transporter complex","2/23","15/5142",0.00193990135919993,0.0235476689010251,0.0182257499233941,"FTR1/FET3",2
"GO:0005628","prospore membrane","3/23","69/5142",0.00337942915360345,0.0235476689010251,0.0182257499233941,"RRT5/LDS2/SPO19",3
"GO:0042763","intracellular immature spore","3/23","69/5142",0.00337942915360345,0.0235476689010251,0.0182257499233941,"RRT5/LDS2/SPO19",3
"GO:0042764","ascospore-type prospore","3/23","69/5142",0.00337942915360345,0.0235476689010251,0.0182257499233941,"RRT5/LDS2/SPO19",3
"GO:0098797","plasma membrane protein complex","2/23","20/5142",0.00346289248544487,0.0235476689010251,0.0182257499233941,"FTR1/FET3",2
"GO:1990351","transporter complex","2/23","33/5142",0.00928954995543193,0.0526407830807809,0.0407436401554032,"FTR1/FET3",2
"GO:1990204","oxidoreductase complex","2/23","42/5142",0.0147835517637705,0.0718058228525996,0.0555772622698139,"FTR1/FET3",2
