"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006188","IMP biosynthetic process","5/34","12/5135",7.18022832876614e-09,2.19483686074099e-06,2.00475213122541e-06,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0046040","IMP metabolic process","5/34","13/5135",1.1612893443074e-08,2.19483686074099e-06,2.00475213122541e-06,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0009127","purine nucleoside monophosphate biosynthetic process","5/34","22/5135",2.27727432700293e-07,1.7699696705023e-05,1.61668073496172e-05,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0009168","purine ribonucleoside monophosphate biosynthetic process","5/34","22/5135",2.27727432700293e-07,1.7699696705023e-05,1.61668073496172e-05,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0006164","purine nucleotide biosynthetic process","7/34","69/5135",2.34122972288664e-07,1.7699696705023e-05,1.61668073496172e-05,"ADE1/MTD1/ADE5,7/ADE13/ADE17/CYT1/ADE2",7
"GO:0072522","purine-containing compound biosynthetic process","7/34","74/5135",3.81544231956297e-07,2.14034910323494e-05,1.95498330788376e-05,"ADE1/MTD1/ADE5,7/ADE13/ADE17/CYT1/ADE2",7
"GO:0009126","purine nucleoside monophosphate metabolic process","5/34","25/5135",4.5298393719258e-07,2.14034910323494e-05,1.95498330788376e-05,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0009167","purine ribonucleoside monophosphate metabolic process","5/34","25/5135",4.5298393719258e-07,2.14034910323494e-05,1.95498330788376e-05,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0009165","nucleotide biosynthetic process","8/34","119/5135",7.20837877817648e-07,3.02751908683412e-05,2.76531957806068e-05,"ADE1/MTD1/ADE5,7/RNR4/ADE13/ADE17/CYT1/ADE2",8
"GO:1901293","nucleoside phosphate biosynthetic process","8/34","121/5135",8.19468600696559e-07,3.09759131063299e-05,2.82932316872075e-05,"ADE1/MTD1/ADE5,7/RNR4/ADE13/ADE17/CYT1/ADE2",8
"GO:0055086","nucleobase-containing small molecule metabolic process","10/34","226/5135",1.15630524824322e-06,3.97348530759942e-05,3.62936001362464e-05,"ADE1/UGP1/MTD1/ADE5,7/RNR4/ADE13/ADE17/SOL1/CYT1/ADE2",10
"GO:0009152","purine ribonucleotide biosynthetic process","6/34","61/5135",2.27141059145537e-06,7.15494336308442e-05,6.53528661401194e-05,"ADE1/ADE5,7/ADE13/ADE17/CYT1/ADE2",6
"GO:0009117","nucleotide metabolic process","9/34","193/5135",2.88367974993158e-06,8.38485342672412e-05,7.65867982168062e-05,"ADE1/MTD1/ADE5,7/RNR4/ADE13/ADE17/SOL1/CYT1/ADE2",9
