"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","ribosome biogenesis","168/502","329/4568",3.34677165540702e-82,4.42777890010349e-79,4.06192391440452e-79,"MAK16/POP5/ECM1/UTP20/LSM2/BMT2/MAK5/RPB5/ENP1/REI1/RRP7/SPB1/KRR1/BUD23/NOP16/NUG1/ARB1/UTP7/NSA2/LCP5/BCD1/CIC1/SSF1/RRP4/LRP1/IPI1/RPF1/RPC10/DBP8/NMD3/UTP9/RIX1/FAF1/BMT5/HPM1/SQT1/YVH1/URB1/MAK11/DHR2/RRP14/UTP11/LTV1/EBP2/DBP7/UTP30/RPF2/SPB4/LOC1/DBP10/TSR1/SYO1/RRP42/NOP14/SAS10/FAP7/NHP2/NOP6/SSB1/FAL1/MAK21/RRP1/ACL4/MSS116/RRP45/BFR2/BCP1/ESF1/UTP5/RRP17/PUF6/CGR1/DBP3/LSG1/NSA1/PRP43/ROK1/RAI1/RRP46/NOP7/ENP2/MTR3/NSR1/SKI6/SDA1/PXR1/NOP9/HCA4/MTR4/UTP18/UTP10/ALB1/MPP10/HIT1/DRS1/SOF1/RIX7/GRC3/NOC3/FCF2/FYV7/BUD20/MDN1/DIP2/PWP1/RSA3/UTP13/DBP9/SGD1/AFG2/UTP21/TSR2/BUD22/ERB1/ECM16/RRB1/RRP5/RNT1/TMA23/RLP7/RCM1/NOP2/IMP4/NOP15/DBP2/RPC19/NAF1/KRE33/IPI3/RIO2/KRI1/MPP6/NOG2/ESF2/DIS3/TSR4/NOP12/NOP8/RRP6/RAT1/NOB1/BUD21/PNO1/NOC2/PUS7/YTM1/RRP36/RRS1/RPA190/RRP12/NOP4/NOG1/NAN1/NOP53/RSA1/NIP7/BMS1/RPL1A/NEW1/YAR1/DIM1/TIF6/MRD1/RRP9/RRP15/RPO26/NOP10/EFG1",168
"GO:0034470","ncRNA processing","168/502","348/4568",3.16749129120997e-77,2.0952954891354e-74,1.92216708356058e-74,"MAK16/POP5/UTP20/LSM2/BMT2/MAK5/ENP1/RRP7/SPB1/KRR1/BUD23/NOP16/NUG1/UTP7/NSA2/LCP5/BCD1/CIC1/SSF1/RRP4/TRM5/LRP1/IPI1/RPF1/DBP8/UTP9/RIX1/URM1/FAF1/BMT5/URB1/MAK11/DHR2/RRP14/UTP11/KTI12/EBP2/DBP7/TRM2/UTP30/RPF2/SPB4/LOC1/DBP10/LHP1/TSR1/RRP42/TRM3/NOP14/SAS10/FAP7/TRM8/NHP2/NOP6/SSB1/FAL1/RPC11/RRP1/TRM1/MSS116/RRP45/BFR2/ESF1/UTP5/RRP17/CGR1/PUS2/DBP3/NSA1/PRP43/SUA5/ROK1/NCS6/RAI1/RRP46/NOP7/ENP2/MTR3/NSR1/SKI6/PXR1/NOP9/HCA4/TAD2/MTR4/UTP18/SAP185/UTP10/MPP10/HIT1/DRS1/SOF1/GRC3/NOC3/FCF2/FYV7/MDN1/DIP2/PWP1/UTP13/DBP9/TAD3/IKI3/UTP21/TSR2/DUS1/BUD22/ERB1/ECM16/RRB1/RRP5/RNT1/TRM732/RLP7/RCM1/NOP2/GCD10/IMP4/NOP15/DBP2/NCS2/NAF1/KRE33/IPI3/RIO2/NRD1/PUS4/TRF5/KRI1/SMM1/MPP6/ESF2/DIS3/TSR4/NOP12/TRM10/PAP2/TRM13/NOP8/RRP6/RAT1/NOB1/BUD21/PNO1/PUS7/YTM1/RRP36/RRS1/RRP12/NOP4/ELP3/NOG1/NAN1/NOP53/TGS1/RTT10/TYW1/NIP7/BMS1/RPL1A/DIM1/TIF6/FCY1/MRD1/RRP9/RRP15/NOP10/EFG1",168
"GO:0006364","rRNA processing","136/502","234/4568",6.58971603676162e-75,2.90606477221187e-72,2.66594476855654e-72,"MAK16/POP5/UTP20/LSM2/BMT2/MAK5/ENP1/RRP7/SPB1/KRR1/BUD23/NOP16/NUG1/UTP7/NSA2/LCP5/BCD1/CIC1/SSF1/RRP4/LRP1/IPI1/RPF1/DBP8/UTP9/RIX1/FAF1/BMT5/URB1/MAK11/DHR2/RRP14/UTP11/EBP2/DBP7/UTP30/RPF2/SPB4/LOC1/DBP10/TSR1/RRP42/NOP14/SAS10/FAP7/NHP2/NOP6/SSB1/FAL1/RRP1/MSS116/RRP45/BFR2/ESF1/UTP5/RRP17/CGR1/DBP3/NSA1/PRP43/ROK1/RAI1/RRP46/NOP7/ENP2/MTR3/NSR1/SKI6/PXR1/NOP9/HCA4/MTR4/UTP18/UTP10/MPP10/HIT1/DRS1/SOF1/GRC3/NOC3/FCF2/FYV7/MDN1/DIP2/PWP1/UTP13/DBP9/UTP21/TSR2/BUD22/ERB1/ECM16/RRB1/RRP5/RNT1/RLP7/RCM1/NOP2/IMP4/NOP15/DBP2/NAF1/KRE33/IPI3/RIO2/KRI1/MPP6/ESF2/DIS3/TSR4/NOP12/NOP8/RRP6/RAT1/NOB1/BUD21/PNO1/PUS7/YTM1/RRP36/RRS1/RRP12/NOP4/NOG1/NAN1/NOP53/NIP7/BMS1/RPL1A/DIM1/TIF6/MRD1/RRP9/RRP15/NOP10/EFG1",136
"GO:0022613","ribonucleoprotein complex biogenesis","180/502","411/4568",1.20011297941739e-74,3.96937367942301e-72,3.64139543491645e-72,"MAK16/POP5/ECM1/UTP20/LSM2/RPG1/BMT2/MAK5/RPB5/ENP1/REI1/RRP7/SPB1/KRR1/BUD23/NOP16/NUG1/ARB1/UTP7/NSA2/LCP5/BCD1/CIC1/SSF1/RRP4/LRP1/IPI1/RPF1/RPC10/PRP8/DBP8/NMD3/UTP9/RIX1/FAF1/BMT5/HPM1/SQT1/YVH1/URB1/MAK11/DHR2/RRP14/UTP11/LTV1/EBP2/DBP7/UTP30/RPF2/BUD27/SPB4/LOC1/DBP10/TSR1/SYO1/RRP42/NOP14/SAS10/FAP7/NHP2/NOP6/SSB1/FAL1/MAK21/RRP1/ACL4/MSS116/RRP45/BFR2/BCP1/ESF1/UTP5/RRP17/TIF35/PUF6/CGR1/DBP3/LSG1/NSA1/PRP43/ROK1/RAI1/RRP46/NOP7/ENP2/MTR3/NSR1/SKI6/SDA1/PXR1/NOP9/HCA4/MTR4/UTP18/UTP10/ALB1/TIF2/MPP10/HIT1/DRS1/SOF1/RIX7/GRC3/PRP19/NOC3/FCF2/FYV7/BUD20/MDN1/DIP2/PWP1/RSA3/UTP13/DBP9/SGD1/AFG2/UTP21/TSR2/BUD22/ERB1/ECM16/RRB1/TIF34/RRP5/RNT1/TIF11/PRP24/TMA23/RLP7/RCM1/NOP2/IMP4/NOP15/DBP2/RPC19/NAF1/KRE33/NOP13/IPI3/RIO2/KRI1/MPP6/NOG2/ESF2/DIS3/TSR4/NOP12/NOP8/RRP6/RAT1/NOB1/BUD21/PNO1/SME1/DED1/NOC2/PUS7/YTM1/RRP36/RRS1/RPA190/RRP12/NOP4/NOG1/NAN1/NOP53/RSA1/NIP7/BMS1/RPL1A/NEW1/YAR1/DIM1/TIF6/MRD1/RRP9/RRP15/RPO26/NOP10/EFG1",180
"GO:0034660","ncRNA metabolic process","184/502","447/4568",4.72814023696232e-71,1.25106590670023e-68,1.14769383015106e-68,"MAK16/POP5/UTP20/RRN6/LSM2/HHT1/BMT2/MAK5/RPB5/ENP1/RRP7/SPB1/KRR1/BUD23/NOP16/NUG1/UTP7/NSA2/LCP5/BCD1/CIC1/SSF1/RRP4/TRM5/LRP1/IPI1/RPF1/RPC10/DBP8/UTP9/RIX1/URM1/FAF1/BMT5/URB1/MAK11/DHR2/RRP14/UTP11/KTI12/EBP2/DBP7/TRM2/UTP30/RPF2/SPB4/LOC1/DBP10/LHP1/TSR1/RRP42/TRM3/NOP14/RPC53/SAS10/FAP7/TRM8/NHP2/NOP6/SSB1/FAL1/RPC11/RRP1/TRM1/MSS116/RRP45/BFR2/ESF1/UTP5/RRP17/CGR1/PUS2/DBP3/NSA1/PRP43/SUA5/ROK1/NCS6/RAI1/RRP46/NOP7/ENP2/MTR3/NSR1/SKI6/PXR1/NOP9/RPC17/RRN7/HCA4/TAD2/MTR4/UTP18/SAP185/UTP10/MPP10/HIT1/DRS1/SOF1/GRC3/NOC3/FCF2/FYV7/MDN1/DIP2/PWP1/UTP13/DBP9/TAD3/IKI3/UTP21/TSR2/RRN11/DUS1/BUD22/ERB1/ECM16/RRB1/RRP5/RNT1/TRM732/RLP7/RCM1/NOP2/GCD10/IMP4/NOP15/DBP2/RPC19/NCS2/NAF1/KRE33/RPC31/IPI3/RIO2/NRD1/PUS4/TRF5/KRI1/RPC34/SMM1/MPP6/ESF2/DIS3/TSR4/NOP12/TRM10/PAP2/TRM13/NOP8/RRP6/RAT1/NOB1/BUD21/RPO31/PNO1/RET1/PUS7/YTM1/RRP36/RRS1/RPA190/RRP12/NOP4/ELP3/NOG1/NAN1/NOP53/TGS1/RTT10/TYW1/NIP7/BMS1/RPL1A/DIM1/TIF6/FCY1/MRD1/RRP9/RRP15/RPO26/RPC82/NOP10/EFG1",184
"GO:0016072","rRNA metabolic process","143/502","277/4568",1.30514784085453e-69,2.87785098908423e-67,2.64006221141275e-67,"MAK16/POP5/UTP20/RRN6/LSM2/HHT1/BMT2/MAK5/ENP1/RRP7/SPB1/KRR1/BUD23/NOP16/NUG1/UTP7/NSA2/LCP5/BCD1/CIC1/SSF1/RRP4/LRP1/IPI1/RPF1/DBP8/UTP9/RIX1/FAF1/BMT5/URB1/MAK11/DHR2/RRP14/UTP11/EBP2/DBP7/UTP30/RPF2/SPB4/LOC1/DBP10/TSR1/RRP42/NOP14/SAS10/FAP7/NHP2/NOP6/SSB1/FAL1/RRP1/MSS116/RRP45/BFR2/ESF1/UTP5/RRP17/CGR1/DBP3/NSA1/PRP43/ROK1/RAI1/RRP46/NOP7/ENP2/MTR3/NSR1/SKI6/PXR1/NOP9/RRN7/HCA4/MTR4/UTP18/UTP10/MPP10/HIT1/DRS1/SOF1/GRC3/NOC3/FCF2/FYV7/MDN1/DIP2/PWP1/UTP13/DBP9/UTP21/TSR2/RRN11/BUD22/ERB1/ECM16/RRB1/RRP5/RNT1/RLP7/RCM1/NOP2/IMP4/NOP15/DBP2/NAF1/KRE33/IPI3/RIO2/TRF5/KRI1/MPP6/ESF2/DIS3/TSR4/NOP12/PAP2/NOP8/RRP6/RAT1/NOB1/BUD21/PNO1/PUS7/YTM1/RRP36/RRS1/RPA190/RRP12/NOP4/NOG1/NAN1/NOP53/NIP7/BMS1/RPL1A/DIM1/TIF6/MRD1/RRP9/RRP15/NOP10/EFG1",143
"GO:0000460","maturation of 5.8S rRNA","59/502","77/4568",2.86865484079026e-42,4.74403794295689e-40,4.35205135714628e-40,"MAK16/UTP20/MAK5/ENP1/SPB1/KRR1/BUD23/UTP7/NSA2/LCP5/CIC1/RRP4/LRP1/RPF1/DBP8/URB1/MAK11/UTP11/RPF2/LOC1/DBP10/RRP42/NOP14/SAS10/RRP45/DBP3/PRP43/ROK1/RAI1/RRP46/NOP7/MTR3/SKI6/NOP9/MTR4/UTP18/UTP10/MPP10/GRC3/FCF2/DIP2/UTP13/ERB1/RRP5/RLP7/KRI1/MPP6/ESF2/DIS3/RRP6/RAT1/BUD21/PNO1/YTM1/RRS1/TIF6/MRD1/RRP9/RRP15",59
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","59/502","77/4568",2.86865484079026e-42,4.74403794295689e-40,4.35205135714628e-40,"MAK16/UTP20/MAK5/ENP1/SPB1/KRR1/BUD23/UTP7/NSA2/LCP5/CIC1/RRP4/LRP1/RPF1/DBP8/URB1/MAK11/UTP11/RPF2/LOC1/DBP10/RRP42/NOP14/SAS10/RRP45/DBP3/PRP43/ROK1/RAI1/RRP46/NOP7/MTR3/SKI6/NOP9/MTR4/UTP18/UTP10/MPP10/GRC3/FCF2/DIP2/UTP13/ERB1/RRP5/RLP7/KRI1/MPP6/ESF2/DIS3/RRP6/RAT1/BUD21/PNO1/YTM1/RRS1/TIF6/MRD1/RRP9/RRP15",59
"GO:0042273","ribosomal large subunit biogenesis","69/502","106/4568",1.0056250167209e-41,1.47826877457973e-39,1.35612356056047e-39,"MAK16/MAK5/REI1/SPB1/NOP16/NUG1/NSA2/BCD1/CIC1/SSF1/IPI1/RPF1/RIX1/HPM1/SQT1/YVH1/URB1/MAK11/RRP14/EBP2/DBP7/UTP30/RPF2/SPB4/LOC1/DBP10/SYO1/NHP2/MAK21/ACL4/PUF6/DBP3/LSG1/NSA1/PRP43/RAI1/NOP7/SDA1/ALB1/HIT1/DRS1/RIX7/GRC3/NOC3/MDN1/RSA3/DBP9/AFG2/TSR2/ERB1/RRP5/RLP7/NOP2/NOP15/IPI3/NOP12/NOP8/RAT1/NOC2/YTM1/RRS1/NOP4/NOG1/NOP53/RSA1/NIP7/RPL1A/TIF6/RRP15",69
"GO:0042274","ribosomal small subunit biogenesis","65/502","113/4568",1.63850128213556e-34,2.16773719626535e-32,1.98862313505505e-32,"UTP20/ENP1/RRP7/KRR1/BUD23/UTP7/LCP5/DBP8/UTP9/FAF1/DHR2/RRP14/UTP11/LTV1/UTP30/LOC1/TSR1/NOP14/SAS10/FAP7/NOP6/FAL1/BFR2/UTP5/PRP43/ROK1/NOP7/ENP2/NSR1/NOP9/UTP18/UTP10/MPP10/SOF1/FCF2/FYV7/DIP2/UTP13/SGD1/UTP21/TSR2/BUD22/ECM16/RRP5/TMA23/IMP4/KRE33/RIO2/KRI1/ESF2/TSR4/NOB1/BUD21/PNO1/RRP36/RRS1/RRP12/NAN1/BMS1/NEW1/YAR1/DIM1/MRD1/RRP9/EFG1",65
