"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044283","small molecule biosynthetic process","93/535","289/4568",5.07040411826426e-22,5.3307382068313e-19,4.62325289127818e-19,"BDH1/PDX3/VID24/LYS2/ADH5/THI2/HIS7/RIB5/HIS4/PGK1/UBC8/DLD3/CEM1/GPP2/ARG5,6/TRP2/ARG4/PUT2/VID28/MMF1/LYS12/HIS5/MET28/LYS1/TRP3/SRY1/MET1/PCK1/SNO3/THI5/LPD1/MET10/IDP1/LYS21/LYS20/THI13/HOM2/COQ4/RMD5/INM2/IPK1/ARO10/SDH7/HSP31/TRP5/STR3/VID30/ADE3/COQ6/TDH1/BNA3/ARG3/SIP4/BNA1/CPA2/STR2/MET5/BAT2/THI11/AAT2/XYL2/ALT1/PUT1/COQ11/MET17/TSA1/COQ5/ADI1/FMS1/ARG7/ADH3/SNO1/HFD1/ALD2/IDH1/LEU4/MET2/THI12/SNO2/LYS9/THI20/ARG1/MET22/IDH2/SER1/HIS3/MCT1/GDH1/HSP33/ALD6/GLN1/ISA2/ASN1",93
"GO:0006082","organic acid metabolic process","103/535","343/4568",8.41301129607554e-22,5.3307382068313e-19,4.62325289127818e-19,"GCV3/ACS1/YAT1/ACH1/PET112/UGA2/LYS2/ADH5/HIS7/HIS4/CIT2/PGK1/PXP1/HPA3/DLD3/CEM1/ARG5,6/TRP2/ARG4/PUT2/MMF1/LYS12/XBP1/HIS5/KGD1/MET28/LYS1/MDH1/TRP3/SRY1/DAL80/MET1/SNO3/LPD1/MET10/HXK1/IDP1/LYS21/LYS20/GCV1/VTC5/HOM2/MET32/GLO2/ARO10/ARO80/SDH7/EMI2/HSP31/TRP5/STR3/UGA1/ADE3/ENO1/TDH1/BNA3/ARG3/BNA1/CPA2/STR2/MET5/BAT2/AAT2/ALT1/PUT1/MET17/GLO1/CYB2/PHO84/ADI1/FMS1/ARG7/ADH3/SNO1/HFD1/ALD2/IDH1/LEU4/GOR1/MET2/SNO2/CIT1/LYS9/ARG1/MET22/GLO4/IDH2/DDP1/SER1/HIS3/MCT1/FAA1/PYK2/GDH1/HSP33/ALD6/CAR1/FUM1/PDH1/ICL2/GLN1/ISA2/ASN1",103
"GO:0043436","oxoacid metabolic process","102/535","339/4568",1.17330995014629e-21,5.3307382068313e-19,4.62325289127818e-19,"GCV3/ACS1/YAT1/ACH1/PET112/UGA2/LYS2/ADH5/HIS7/HIS4/CIT2/PGK1/PXP1/HPA3/DLD3/CEM1/ARG5,6/TRP2/ARG4/PUT2/MMF1/LYS12/XBP1/HIS5/KGD1/MET28/LYS1/MDH1/TRP3/SRY1/DAL80/MET1/SNO3/LPD1/MET10/HXK1/IDP1/LYS21/LYS20/GCV1/VTC5/HOM2/GLO2/ARO10/ARO80/SDH7/EMI2/HSP31/TRP5/STR3/UGA1/ADE3/ENO1/TDH1/BNA3/ARG3/BNA1/CPA2/STR2/MET5/BAT2/AAT2/ALT1/PUT1/MET17/GLO1/CYB2/PHO84/ADI1/FMS1/ARG7/ADH3/SNO1/HFD1/ALD2/IDH1/LEU4/GOR1/MET2/SNO2/CIT1/LYS9/ARG1/MET22/GLO4/IDH2/DDP1/SER1/HIS3/MCT1/FAA1/PYK2/GDH1/HSP33/ALD6/CAR1/FUM1/PDH1/ICL2/GLN1/ISA2/ASN1",102
"GO:0019752","carboxylic acid metabolic process","98/535","321/4568",2.6254679733302e-21,8.94628211912266e-19,7.75894877381531e-19,"GCV3/ACS1/YAT1/ACH1/PET112/UGA2/LYS2/ADH5/HIS7/HIS4/CIT2/PGK1/PXP1/HPA3/DLD3/CEM1/ARG5,6/TRP2/ARG4/PUT2/MMF1/LYS12/XBP1/HIS5/KGD1/MET28/LYS1/MDH1/TRP3/SRY1/MET1/SNO3/LPD1/MET10/HXK1/IDP1/LYS21/LYS20/GCV1/HOM2/GLO2/ARO10/ARO80/SDH7/EMI2/HSP31/TRP5/STR3/UGA1/ADE3/ENO1/TDH1/BNA3/ARG3/BNA1/CPA2/STR2/MET5/BAT2/AAT2/ALT1/PUT1/MET17/GLO1/CYB2/ADI1/FMS1/ARG7/ADH3/SNO1/HFD1/ALD2/IDH1/LEU4/GOR1/MET2/SNO2/CIT1/LYS9/ARG1/MET22/GLO4/IDH2/SER1/HIS3/MCT1/FAA1/PYK2/GDH1/HSP33/ALD6/CAR1/FUM1/PDH1/ICL2/GLN1/ISA2/ASN1",98
"GO:1901605","alpha-amino acid metabolic process","58/535","146/4568",8.81806026540739e-19,2.40380322835005e-16,2.08477509011632e-16,"GCV3/UGA2/LYS2/HIS7/HPA3/ARG5,6/TRP2/ARG4/PUT2/MMF1/LYS12/XBP1/MET28/LYS1/TRP3/SRY1/MET1/SNO3/LPD1/MET10/IDP1/LYS21/LYS20/GCV1/HOM2/ARO10/ARO80/TRP5/STR3/ADE3/BNA3/ARG3/BNA1/CPA2/STR2/MET5/BAT2/AAT2/ALT1/PUT1/MET17/ADI1/ARG7/SNO1/HFD1/IDH1/LEU4/MET2/SNO2/LYS9/ARG1/MET22/IDH2/SER1/GDH1/CAR1/GLN1/ASN1",58
"GO:0008652","cellular amino acid biosynthetic process","48/535","114/4568",6.58269460215599e-17,1.49536879045644e-14,1.29690632249494e-14,"LYS2/HIS7/HIS4/ARG5,6/TRP2/ARG4/PUT2/MMF1/LYS12/HIS5/MET28/LYS1/TRP3/SRY1/MET1/LPD1/MET10/IDP1/LYS21/LYS20/HOM2/TRP5/STR3/ADE3/ARG3/CPA2/STR2/MET5/BAT2/AAT2/ALT1/PUT1/MET17/ADI1/ARG7/ALD2/IDH1/LEU4/MET2/LYS9/ARG1/MET22/IDH2/SER1/HIS3/GDH1/GLN1/ASN1",48
"GO:0016053","organic acid biosynthetic process","58/535","166/4568",1.01114996616533e-15,1.53367554196976e-13,1.33012907567058e-13,"LYS2/HIS7/HIS4/DLD3/CEM1/ARG5,6/TRP2/ARG4/PUT2/MMF1/LYS12/HIS5/MET28/LYS1/TRP3/SRY1/MET1/LPD1/MET10/IDP1/LYS21/LYS20/HOM2/HSP31/TRP5/STR3/ADE3/BNA3/ARG3/BNA1/CPA2/STR2/MET5/BAT2/AAT2/ALT1/PUT1/MET17/ADI1/FMS1/ARG7/ALD2/IDH1/LEU4/MET2/LYS9/ARG1/MET22/IDH2/SER1/HIS3/MCT1/GDH1/HSP33/ALD6/GLN1/ISA2/ASN1",58
"GO:0046394","carboxylic acid biosynthetic process","58/535","166/4568",1.01114996616533e-15,1.53367554196976e-13,1.33012907567058e-13,"LYS2/HIS7/HIS4/DLD3/CEM1/ARG5,6/TRP2/ARG4/PUT2/MMF1/LYS12/HIS5/MET28/LYS1/TRP3/SRY1/MET1/LPD1/MET10/IDP1/LYS21/LYS20/HOM2/HSP31/TRP5/STR3/ADE3/BNA3/ARG3/BNA1/CPA2/STR2/MET5/BAT2/AAT2/ALT1/PUT1/MET17/ADI1/FMS1/ARG7/ALD2/IDH1/LEU4/MET2/LYS9/ARG1/MET22/IDH2/SER1/HIS3/MCT1/GDH1/HSP33/ALD6/GLN1/ISA2/ASN1",58
"GO:0006520","cellular amino acid metabolic process","66/535","205/4568",1.01269845031019e-15,1.53367554196976e-13,1.33012907567058e-13,"GCV3/PET112/UGA2/LYS2/ADH5/HIS7/HIS4/HPA3/ARG5,6/TRP2/ARG4/PUT2/MMF1/LYS12/XBP1/HIS5/MET28/LYS1/TRP3/SRY1/MET1/SNO3/LPD1/MET10/IDP1/LYS21/LYS20/GCV1/HOM2/ARO10/ARO80/TRP5/STR3/UGA1/ADE3/BNA3/ARG3/BNA1/CPA2/STR2/MET5/BAT2/AAT2/ALT1/PUT1/MET17/ADI1/ARG7/ADH3/SNO1/HFD1/ALD2/IDH1/LEU4/MET2/SNO2/LYS9/ARG1/MET22/IDH2/SER1/HIS3/GDH1/CAR1/GLN1/ASN1",66
"GO:1901607","alpha-amino acid biosynthetic process","43/535","101/4568",1.83473201326236e-15,2.5007397340766e-13,2.16884636936172e-13,"LYS2/ARG5,6/TRP2/ARG4/PUT2/MMF1/LYS12/MET28/LYS1/TRP3/SRY1/MET1/LPD1/MET10/IDP1/LYS21/LYS20/HOM2/TRP5/STR3/ADE3/ARG3/CPA2/STR2/MET5/BAT2/AAT2/ALT1/PUT1/MET17/ADI1/ARG7/IDH1/LEU4/MET2/LYS9/ARG1/MET22/IDH2/SER1/GDH1/GLN1/ASN1",43
"GO:0005975","carbohydrate metabolic process","60/535","192/4568",1.05486029756532e-13,1.30706780507411e-11,1.13359628149842e-11,"PSK1/GAL7/GAL10/VID24/TPS1/ARA1/MAL33/MAL31/MAL32/CIT2/PGK1/UBC8/DSF1/GPP2/AAP1/GRE3/INP51/VID28/SGA1/UGP1/MDH1/GLG1/PCK1/YPI1/GSY1/HXK1/GPD1/IDP1/GAL3/RMD5/INM2/IPK1/YPR1/SDH7/EMI2/MIG1/PKP2/VID30/XKS1/ENO1/MAL13/MAL11/MAL12/TDH1/SIP4/GLG2/XYL2/GAL2/ATG26/PIG1/TSA1/DAK1/TPS3/ZWF1/CIT1/SOL1/MAN2/MET22/DDP1/PYK2",60
"GO:0006091","generation of precursor metabolites and energy","51/535","164/4568",1.06585210716354e-11,1.21063035171992e-09,1.04995782135496e-09,"PSK1/ACS1/TKL2/GRX1/CIT2/PGK1/RIP1/RGI1/AAP1/RGI2/RNR3/SGA1/KGD1/UGP1/MDH1/GLG1/YPI1/GSY1/HXK1/IDP1/GRX2/EMI2/LSC2/ENO1/QCR10/TDH1/GLG2/SOD1/SDH2/COX12/SHH4/PIG1/ACO1/DAK1/COQ5/NDI1/SHH3/IDH1/ZWF1/CIT1/SOL1/CYT1/IDH2/PYK2/GDS1/HAP5/ALD6/RAD53/FUM1/NCA2/QCR2",51
