"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055072","iron ion homeostasis","18/117","57/4568",8.05938348125452e-16,5.41590569940304e-13,4.50477118794332e-13,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE5/ISU1/LSO1",18
"GO:0055076","transition metal ion homeostasis","18/117","85/4568",1.7407539873021e-12,5.84893339733504e-10,4.8649493013548e-10,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE5/ISU1/LSO1",18
"GO:0006879","cellular iron ion homeostasis","14/117","50/4568",1.03144468107604e-11,2.31043608561034e-09,1.92174430053116e-09,"SIT1/ARN1/ARN2/GEX2/FET5/CCC2/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE5/ISU1",14
"GO:0006826","iron ion transport","12/117","34/4568",1.54105646631387e-11,2.58897486340731e-09,2.15342364108597e-09,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/FIT1/FRE1/FET3/ENB1/FRE5",12
"GO:0034755","iron ion transmembrane transport","9/117","16/4568",3.4315404843563e-11,4.61199041097486e-09,3.83610104672251e-09,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/FET3/ENB1",9
"GO:0055065","metal ion homeostasis","18/117","106/4568",8.94858298183403e-11,1.00224129396541e-08,8.33631151465591e-09,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE5/ISU1/LSO1",18
"GO:0000041","transition metal ion transport","13/117","56/4568",7.80684116934545e-10,7.49456752257164e-08,6.23373332469539e-08,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/CCC2/FIT1/FRE1/FET3/ENB1/FRE5",13
"GO:0055080","cation homeostasis","19/117","142/4568",1.7862156581375e-09,1.5004211528355e-07,1.24800067693555e-07,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/PDR5/ISU2/FRE5/ISU1/LSO1",19
"GO:0046916","cellular transition metal ion homeostasis","14/117","77/4568",5.17767312822709e-09,3.86599593574289e-07,3.21560752174103e-07,"SIT1/ARN1/ARN2/GEX2/FET5/CCC2/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE5/ISU1",14
"GO:0098771","inorganic ion homeostasis","18/117","136/4568",5.99850838487504e-09,4.03099763463603e-07,3.35285047617752e-07,"FTH1/SIT1/FTR1/ARN1/ARN2/GEX2/FET5/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE5/ISU1/LSO1",18
