"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009117","nucleotide metabolic process","21/136","161/4568",6.36479732580335e-09,4.06781385628812e-06,3.60941313434929e-06,"ADE1/TKL2/RNR1/RNR3/YNK1/MTD1/HXK1/SDT1/ADE5,7/RNR4/RNR2/TDH1/CPA2/TRX1/ADE13/ADE17/NRK1/SOL1/CYT1/ADE2/ATP6",21
"GO:0006753","nucleoside phosphate metabolic process","21/136","165/4568",9.98236529150458e-09,4.06781385628812e-06,3.60941313434929e-06,"ADE1/TKL2/RNR1/RNR3/YNK1/MTD1/HXK1/SDT1/ADE5,7/RNR4/RNR2/TDH1/CPA2/TRX1/ADE13/ADE17/NRK1/SOL1/CYT1/ADE2/ATP6",21
"GO:0055086","nucleobase-containing small molecule metabolic process","22/136","190/4568",2.53080644273369e-08,6.10604057420081e-06,5.41795269548073e-06,"ADE1/TKL2/RNR1/RNR3/UGP1/YNK1/MTD1/HXK1/SDT1/ADE5,7/RNR4/RNR2/TDH1/CPA2/TRX1/ADE13/ADE17/NRK1/SOL1/CYT1/ADE2/ATP6",22
"GO:0043436","oxoacid metabolic process","30/136","339/4568",3.17915905838764e-08,6.10604057420081e-06,5.41795269548073e-06,"UGA2/ADH5/EHT1/PYC2/ARO4/HIS4/HIS1/TRP2/ARG4/LYS1/FAS1/HXK1/ARO3/HOM2/SAM2/HSP31/ARO8/VTC4/TDH1/CPA2/GLO1/CYB2/PHO84/ARG7/LYS9/HIS3/HSP33/VTC3/EEB1/FAS2",30
"GO:0006082","organic acid metabolic process","30/136","343/4568",4.16815717371103e-08,6.10604057420081e-06,5.41795269548073e-06,"UGA2/ADH5/EHT1/PYC2/ARO4/HIS4/HIS1/TRP2/ARG4/LYS1/FAS1/HXK1/ARO3/HOM2/SAM2/HSP31/ARO8/VTC4/TDH1/CPA2/GLO1/CYB2/PHO84/ARG7/LYS9/HIS3/HSP33/VTC3/EEB1/FAS2",30
"GO:0009165","nucleotide biosynthetic process","16/136","104/4568",4.49524459450366e-08,6.10604057420081e-06,5.41795269548073e-06,"ADE1/RNR1/RNR3/YNK1/MTD1/ADE5,7/RNR4/RNR2/CPA2/TRX1/ADE13/ADE17/NRK1/CYT1/ADE2/ATP6",16
"GO:1901293","nucleoside phosphate biosynthetic process","16/136","106/4568",5.9372459118791e-08,6.91265059740209e-06,6.13366607738487e-06,"ADE1/RNR1/RNR3/YNK1/MTD1/ADE5,7/RNR4/RNR2/CPA2/TRX1/ADE13/ADE17/NRK1/CYT1/ADE2/ATP6",16
"GO:0019637","organophosphate metabolic process","28/136","326/4568",1.91375701832411e-07,1.94963996241769e-05,1.7299356205114e-05,"ADE1/CDS1/TKL2/RNR1/RNR3/YNK1/MTD1/HXK1/GPD1/SDT1/ADE5,7/GPC1/CHO2/RNR4/RNR2/TDH1/OPI3/CPA2/TRX1/ADE13/ADE17/NRK1/CPT1/PSD1/SOL1/CYT1/ADE2/ATP6",28
"GO:0016053","organic acid biosynthetic process","19/136","166/4568",3.03780312630577e-07,2.4758095479392e-05,2.19681131344428e-05,"EHT1/ARO4/HIS4/HIS1/TRP2/ARG4/LYS1/FAS1/ARO3/HOM2/HSP31/ARO8/CPA2/ARG7/LYS9/HIS3/HSP33/EEB1/FAS2",19
"GO:0046394","carboxylic acid biosynthetic process","19/136","166/4568",3.03780312630577e-07,2.4758095479392e-05,2.19681131344428e-05,"EHT1/ARO4/HIS4/HIS1/TRP2/ARG4/LYS1/FAS1/ARO3/HOM2/HSP31/ARO8/CPA2/ARG7/LYS9/HIS3/HSP33/EEB1/FAS2",19
"GO:0019752","carboxylic acid metabolic process","27/136","321/4568",5.06339490813699e-07,3.7515153183015e-05,3.3287581836269e-05,"UGA2/ADH5/EHT1/PYC2/ARO4/HIS4/HIS1/TRP2/ARG4/LYS1/FAS1/HXK1/ARO3/HOM2/SAM2/HSP31/ARO8/TDH1/CPA2/GLO1/CYB2/ARG7/LYS9/HIS3/HSP33/EEB1/FAS2",27
"GO:0090407","organophosphate biosynthetic process","22/136","239/4568",1.51133946320921e-06,0.000102645138542959,9.10780887039232e-05,"ADE1/CDS1/RNR1/RNR3/YNK1/MTD1/ADE5,7/GPC1/CHO2/RNR4/RNR2/OPI3/CPA2/TRX1/ADE13/ADE17/NRK1/CPT1/PSD1/CYT1/ADE2/ATP6",22
"GO:0044283","small molecule biosynthetic process","24/136","289/4568",3.05709940115705e-06,0.000191656616303307,0.000170058889764769,"ADH5/EHT1/PYC2/ARO4/HIS4/HIS1/TRP2/ARG4/LYS1/FAS1/ARO3/HOM2/HSP31/ARO8/TDH1/CPA2/COQ11/ARG7/LYS9/RIB4/HIS3/HSP33/EEB1/FAS2",24
"GO:0006188","IMP biosynthetic process","5/136","12/4568",1.45528987243123e-05,0.000847186604308181,0.000751717400270869,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0046040","IMP metabolic process","5/136","13/4568",2.30847685406072e-05,0.00125427242403966,0.00111292884122085,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:1901135","carbohydrate derivative metabolic process","22/136","284/4568",2.54753991686433e-05,0.00128958943559696,0.00114426598935113,"ADE1/TKL2/RNR1/SHC1/RNR3/UGP1/YNK1/HXK1/GPD1/ADE5,7/RNR4/RNR2/TDH1/CPA2/TRX1/ADE13/ADE17/NRK1/SOL1/CYT1/ADE2/ATP6",22
"GO:0008652","cellular amino acid biosynthetic process","13/136","114/4568",2.68994115400593e-05,0.00128958943559696,0.00114426598935113,"ARO4/HIS4/HIS1/TRP2/ARG4/LYS1/ARO3/HOM2/ARO8/CPA2/ARG7/LYS9/HIS3",13
"GO:0006164","purine nucleotide biosynthetic process","9/136","61/4568",6.56458237784976e-05,0.00297229702108197,0.00263734976232911,"ADE1/YNK1/MTD1/ADE5,7/ADE13/ADE17/CYT1/ADE2/ATP6",9
"GO:0006656","phosphatidylcholine biosynthetic process","5/136","16/4568",7.28840265172309e-05,0.00312634113744964,0.00277403469348131,"GPC1/CHO2/OPI3/CPT1/PSD1",5
"GO:0006091","generation of precursor metabolites and energy","15/136","164/4568",8.8177211705672e-05,0.00359322137700613,0.00318830233904193,"TKL2/GRX1/RGI1/RNR3/UGP1/SDH3/GSY1/HXK1/TDH1/SDH2/DAK1/SHH3/PSD1/SOL1/CYT1",15
"GO:0009260","ribonucleotide biosynthetic process","9/136","65/4568",0.000109378498747506,0.0042449274513913,0.00376656785160584,"ADE1/YNK1/ADE5,7/CPA2/ADE13/ADE17/CYT1/ADE2/ATP6",9
"GO:0006163","purine nucleotide metabolic process","11/136","97/4568",0.000121179909587524,0.0043758710022399,0.00388275541303043,"ADE1/YNK1/MTD1/HXK1/ADE5,7/TDH1/ADE13/ADE17/CYT1/ADE2/ATP6",11
"GO:0072522","purine-containing compound biosynthetic process","9/136","66/4568",0.000123490838100022,0.0043758710022399,0.00388275541303043,"ADE1/YNK1/MTD1/ADE5,7/ADE13/ADE17/CYT1/ADE2/ATP6",9
"GO:0046470","phosphatidylcholine metabolic process","5/136","18/4568",0.000136247056204446,0.00462672295027599,0.00410533893037082,"GPC1/CHO2/OPI3/CPT1/PSD1",5
"GO:0009152","purine ribonucleotide biosynthetic process","8/136","53/4568",0.000143699497480823,0.00468460361787482,0.00415669704291895,"ADE1/YNK1/ADE5,7/ADE13/ADE17/CYT1/ADE2/ATP6",8
"GO:0009259","ribonucleotide metabolic process","11/136","100/4568",0.000159869006496889,0.00501127847288326,0.00444655900661389,"ADE1/YNK1/HXK1/ADE5,7/TDH1/CPA2/ADE13/ADE17/CYT1/ADE2/ATP6",11
"GO:0009127","purine nucleoside monophosphate biosynthetic process","5/136","19/4568",0.000180513892647626,0.00525424366099341,0.00466214452063606,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0009168","purine ribonucleoside monophosphate biosynthetic process","5/136","19/4568",0.000180513892647626,0.00525424366099341,0.00466214452063606,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0032787","monocarboxylic acid metabolic process","12/136","121/4568",0.00021736024652767,0.00594976290638932,0.0052792859111262,"UGA2/EHT1/PYC2/FAS1/HXK1/HSP31/TDH1/GLO1/CYB2/HSP33/EEB1/FAS2",12
"GO:0046390","ribose phosphate biosynthetic process","9/136","71/4568",0.000219009677535803,0.00594976290638932,0.0052792859111262,"ADE1/YNK1/ADE5,7/CPA2/ADE13/ADE17/CYT1/ADE2/ATP6",9
