"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","ribosome biogenesis","91/283","329/4568",5.3879810706213e-39,5.58733637023429e-36,5.1327609146445e-36,"MAK16/POP5/ECM1/UTP20/POP8/LSM2/BMT2/MAK5/ENP1/REI1/SPB1/KRR1/BUD23/NOP16/NUG1/NSA2/LCP5/CIC1/SSF1/RRP4/IPI1/RPF1/DBP8/NMD3/UTP9/RIX1/FAF1/BMT5/YVH1/DHR2/RRP14/UTP11/DBP7/RPF2/TSR1/SYO1/FAL1/RRP1/BFR2/BCP1/UTP5/RPS17B/PUF6/CGR1/DBP3/ROK1/RAI1/NOP7/ENP2/NSR1/SDA1/HCA4/UTP18/UTP10/ALB1/RIX7/FCF2/FYV7/BUD20/MDN1/DIP2/RPS31/PWP1/TSR2/ERB1/RRB1/RNT1/RLP7/IMP4/NOP15/DBP2/RPC19/NAF1/IPI3/NOG2/NOP12/NOP8/BUD21/YTM1/RRP36/RRS1/RRP12/NOP4/NOG1/NAN1/NIP7/DIM1/MRD1/RRP15/NOP10/EFG1",91
"GO:0006364","rRNA processing","77/283","234/4568",1.65263653393542e-38,8.56892042845517e-36,7.87176875374504e-36,"MAK16/POP5/UTP20/POP8/LSM2/BMT2/MAK5/ENP1/SPB1/KRR1/BUD23/NOP16/NUG1/NSA2/LCP5/CIC1/SSF1/RRP4/IPI1/RPF1/DBP8/UTP9/RIX1/FAF1/BMT5/DHR2/RRP14/UTP11/DBP7/RPF2/TSR1/FAL1/RRP1/BFR2/UTP5/CGR1/DBP3/ROK1/RAI1/NOP7/ENP2/NSR1/HCA4/UTP18/UTP10/FCF2/FYV7/MDN1/DIP2/RPS31/PWP1/TSR2/ERB1/RRB1/RNT1/RLP7/IMP4/NOP15/DBP2/NAF1/IPI3/NOP12/NOP8/BUD21/YTM1/RRP36/RRS1/RRP12/NOP4/NOG1/NAN1/NIP7/DIM1/MRD1/RRP15/NOP10/EFG1",77
"GO:0016072","rRNA metabolic process","78/283","277/4568",1.3585358777969e-33,4.6960056842513e-31,4.31394726107438e-31,"MAK16/POP5/UTP20/POP8/LSM2/BMT2/MAK5/ENP1/SPB1/KRR1/BUD23/NOP16/NUG1/NSA2/LCP5/CIC1/SSF1/RRP4/IPI1/RPF1/DBP8/UTP9/RIX1/FAF1/BMT5/DHR2/RRP14/UTP11/DBP7/RPF2/TSR1/FAL1/RRP1/BFR2/UTP5/CGR1/DBP3/ROK1/RAI1/NOP7/ENP2/NSR1/HCA4/UTP18/UTP10/FCF2/FYV7/MDN1/DIP2/RPS31/PWP1/TSR2/RRN11/ERB1/RRB1/RNT1/RLP7/IMP4/NOP15/DBP2/NAF1/IPI3/NOP12/NOP8/BUD21/YTM1/RRP36/RRS1/RRP12/NOP4/NOG1/NAN1/NIP7/DIM1/MRD1/RRP15/NOP10/EFG1",78
"GO:0022613","ribonucleoprotein complex biogenesis","94/283","411/4568",6.74769029108463e-33,1.74933870796369e-30,1.60701571406095e-30,"MAK16/POP5/ECM1/UTP20/POP8/LSM2/BMT2/MAK5/ENP1/REI1/SPB1/KRR1/BUD23/NOP16/NUG1/NSA2/LCP5/CIC1/SSF1/RRP4/IPI1/RPF1/DBP8/NMD3/UTP9/RIX1/FAF1/BMT5/IST3/YVH1/DHR2/RRP14/UTP11/DBP7/RPF2/TSR1/SYO1/FAL1/RRP1/BFR2/BCP1/UTP5/RPS17B/PUF6/CGR1/DBP3/ROK1/RAI1/NOP7/ENP2/NSR1/SDA1/HCA4/UTP18/UTP10/ALB1/RIX7/FCF2/FYV7/BUD20/MDN1/DIP2/RPS31/PWP1/TSR2/ERB1/RRB1/RNT1/RLP7/IMP4/NOP15/DBP2/RPC19/NAF1/NOP13/IPI3/NOG2/NOP12/NOP8/BUD21/DED1/YTM1/RRP36/RRS1/RRP12/NOP4/NOG1/NAN1/NIP7/DIM1/MRD1/RRP15/NOP10/EFG1",94
"GO:0034470","ncRNA processing","83/283","348/4568",4.28222540621926e-30,8.88133549249874e-28,8.15876630027037e-28,"MAK16/POP5/UTP20/POP8/LSM2/BMT2/MAK5/ENP1/SPB1/KRR1/BUD23/NOP16/NUG1/NSA2/LCP5/CIC1/SSF1/RRP4/IPI1/RPF1/DBP8/UTP9/RIX1/FAF1/BMT5/DHR2/RRP14/UTP11/DBP7/RPF2/TSR1/FAL1/RRP1/BFR2/UTP5/CGR1/PUS2/DBP3/SUA5/ROK1/RAI1/NOP7/ENP2/NSR1/HCA4/TAD2/UTP18/UTP10/FCF2/FYV7/MDN1/DIP2/RPS31/PWP1/TSR2/ERB1/RRB1/RNT1/RLP7/IMP4/NOP15/DBP2/NCS2/NAF1/IPI3/NRD1/NOP12/NOP8/BUD21/YTM1/RRP36/RRS1/RRP12/NOP4/NOG1/NAN1/TYW1/NIP7/DIM1/MRD1/RRP15/NOP10/EFG1",83
"GO:0034660","ncRNA metabolic process","87/283","447/4568",9.82073262617953e-25,1.69734995555803e-22,1.55925667134956e-22,"MAK16/POP5/UTP20/POP8/LSM2/BMT2/MAK5/ENP1/SPB1/KRR1/BUD23/NOP16/NUG1/NSA2/LCP5/CIC1/SSF1/RRP4/IPI1/RPF1/DBP8/UTP9/RIX1/FAF1/BMT5/DHR2/RRP14/UTP11/DBP7/RPF2/TSR1/FAL1/RRP1/BFR2/UTP5/CGR1/PUS2/DBP3/SUA5/ROK1/RAI1/NOP7/ENP2/NSR1/RPC17/HCA4/TAD2/UTP18/UTP10/FCF2/FYV7/MDN1/DIP2/RPS31/PWP1/TSR2/RRN11/ERB1/RRB1/RNT1/RLP7/IMP4/NOP15/DBP2/RPC19/NCS2/NAF1/IPI3/NRD1/RPC34/NOP12/NOP8/BUD21/YTM1/RRP36/RRS1/RRP12/NOP4/NOG1/NAN1/TYW1/NIP7/DIM1/MRD1/RRP15/NOP10/EFG1",87
"GO:0042273","ribosomal large subunit biogenesis","38/283","106/4568",2.36162840088501e-20,3.49858378816823e-18,3.21394541774577e-18,"MAK16/MAK5/REI1/SPB1/NOP16/NUG1/NSA2/CIC1/SSF1/IPI1/RPF1/RIX1/YVH1/RRP14/DBP7/RPF2/SYO1/PUF6/DBP3/RAI1/NOP7/SDA1/ALB1/RIX7/MDN1/TSR2/ERB1/RLP7/NOP15/IPI3/NOP12/NOP8/YTM1/RRS1/NOP4/NOG1/NIP7/RRP15",38
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","31/283","78/4568",2.82283258162518e-18,3.65909673393165e-16,3.3613993241721e-16,"UTP20/ENP1/KRR1/BUD23/LCP5/DBP8/UTP9/FAF1/DHR2/UTP11/TSR1/FAL1/BFR2/UTP5/ROK1/NOP7/ENP2/UTP18/UTP10/FCF2/FYV7/DIP2/TSR2/BUD21/RRP36/RRS1/RRP12/NAN1/DIM1/MRD1/EFG1",31
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","24/283","46/4568",9.09324949858694e-18,1.0477444144483e-15,9.6250184751125e-16,"MAK16/MAK5/SPB1/NUG1/NSA2/CIC1/SSF1/IPI1/RPF1/DBP7/RPF2/DBP3/RAI1/NOP7/TSR2/ERB1/RLP7/NOP15/NOP12/NOP8/YTM1/NOP4/NIP7/RRP15",24
"GO:0030490","maturation of SSU-rRNA","32/283","88/4568",1.78251819474021e-17,1.72688827991556e-15,1.58639181172774e-15,"UTP20/ENP1/KRR1/BUD23/LCP5/DBP8/UTP9/FAF1/DHR2/UTP11/TSR1/FAL1/BFR2/UTP5/ROK1/NOP7/ENP2/UTP18/UTP10/FCF2/FYV7/DIP2/RPS31/TSR2/BUD21/RRP36/RRS1/RRP12/NAN1/DIM1/MRD1/EFG1",32
