"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006082","organic acid metabolic process","68/308","343/4568",2.34840716883577e-17,2.64195806494025e-14,2.23963883680549e-14,"GCV3/ACS1/YAT1/ACH1/UGA2/ADH5/LEU2/HIS4/CIT2/DLD3/CEM1/MET6/PUT2/XBP1/MET28/MAE1/MDH1/DAL80/MET1/SNO3/BNA6/HXK1/DLD1/GCV1/VTC5/MET32/ARO10/EMI2/HSP31/FDC1/STR3/UGA1/ADE3/ENO1/TDH1/BNA3/ARG3/BNA2/MET5/BAT2/SHM2/ALT1/PUT1/BNA5/GLO1/CYB2/PHO84/FMS1/SNO1/HFD1/ALD2/ADE4/IDH1/GOR1/MET2/CIT1/GLO4/IDH2/SER1/MCT1/FAA1/PYK2/GDH1/HSP33/EEB1/CAR1/PDH1/GLN1",68
"GO:0043436","oxoacid metabolic process","67/308","339/4568",5.06169409880939e-17,2.84720293058028e-14,2.41362887027437e-14,"GCV3/ACS1/YAT1/ACH1/UGA2/ADH5/LEU2/HIS4/CIT2/DLD3/CEM1/MET6/PUT2/XBP1/MET28/MAE1/MDH1/DAL80/MET1/SNO3/BNA6/HXK1/DLD1/GCV1/VTC5/ARO10/EMI2/HSP31/FDC1/STR3/UGA1/ADE3/ENO1/TDH1/BNA3/ARG3/BNA2/MET5/BAT2/SHM2/ALT1/PUT1/BNA5/GLO1/CYB2/PHO84/FMS1/SNO1/HFD1/ALD2/ADE4/IDH1/GOR1/MET2/CIT1/GLO4/IDH2/SER1/MCT1/FAA1/PYK2/GDH1/HSP33/EEB1/CAR1/PDH1/GLN1",67
"GO:0019752","carboxylic acid metabolic process","64/308","321/4568",1.88240033385897e-16,7.05900125197114e-14,5.98405158763588e-14,"GCV3/ACS1/YAT1/ACH1/UGA2/ADH5/LEU2/HIS4/CIT2/DLD3/CEM1/MET6/PUT2/XBP1/MET28/MAE1/MDH1/MET1/SNO3/BNA6/HXK1/DLD1/GCV1/ARO10/EMI2/HSP31/FDC1/STR3/UGA1/ADE3/ENO1/TDH1/BNA3/ARG3/BNA2/MET5/BAT2/SHM2/ALT1/PUT1/BNA5/GLO1/CYB2/FMS1/SNO1/HFD1/ALD2/ADE4/IDH1/GOR1/MET2/CIT1/GLO4/IDH2/SER1/MCT1/FAA1/PYK2/GDH1/HSP33/EEB1/CAR1/PDH1/GLN1",64
"GO:0005975","carbohydrate metabolic process","42/308","192/4568",2.29867999056283e-12,6.46503747345797e-10,5.48053703013139e-10,"GAL7/GAL10/TPS1/ARA1/MAL33/MAL31/MAL32/LEU2/CIT2/UBC8/DSF1/GRE3/VID28/SGA1/UGP1/MDH1/GLG1/PCK1/GSY1/HXK1/GPD1/GAL3/RMD5/EMI2/PKP2/VID30/XKS1/ENO1/MAL11/MAL12/TDH1/SIP4/GLG2/XYL2/TSA1/DAK1/TPS3/ZWF1/CIT1/SOL1/MAN2/PYK2",42
"GO:0044282","small molecule catabolic process","31/308","118/4568",1.48898932855853e-11,3.3502259892567e-09,2.8400512245769e-09,"GCV3/UGA2/GAL7/GAL10/ADH5/PUT2/GRE3/XBP1/BNA6/DLD1/GCV1/ARO10/HSP31/FDC1/UGA1/XKS1/BNA3/BNA2/BAT2/SHM2/XYL2/ALT1/PUT1/BNA5/GLO1/DAK1/GOR1/GLO4/HSP33/EEB1/CAR1",31
"GO:0044283","small molecule biosynthetic process","51/308","289/4568",4.86461686704976e-11,9.1211566257183e-09,7.73218049394225e-09,"BDH1/ADH5/LEU2/HIS4/UBC8/DLD3/CEM1/MET6/PUT2/VID28/MET28/MET1/PCK1/SNO3/THI5/THI13/COQ4/RMD5/ARO10/HSP31/STR3/VID30/ADE3/TDH1/BNA3/ARG3/SIP4/MET5/BAT2/THI11/SHM2/XYL2/ALT1/PUT1/BNA5/TSA1/FMS1/SNO1/SRT1/HFD1/ALD2/IDH1/MET2/THI12/IDH2/SER1/MCT1/GDH1/HSP33/EEB1/GLN1",51
"GO:0006091","generation of precursor metabolites and energy","36/308","164/4568",8.96890411219256e-11,1.44143101803095e-08,1.22192889107466e-08,"ACS1/TKL2/GRX1/CIT2/RIP1/RGI1/RGI2/RNR3/SGA1/UGP1/MDH1/HAP4/GLG1/GSY1/HXK1/GRX2/EMI2/LSC2/ENO1/TDH1/GLG2/SOD1/SDH2/SHH4/ACO1/DAK1/NDI1/SHH3/IDH1/ZWF1/CIT1/SOL1/SDH5/CYT1/IDH2/PYK2",36
"GO:0032787","monocarboxylic acid metabolic process","30/308","121/4568",1.56642276127605e-10,2.20278200804445e-08,1.86734081804751e-08,"ACS1/YAT1/ACH1/UGA2/LEU2/DLD3/CEM1/MAE1/HXK1/DLD1/EMI2/HSP31/FDC1/UGA1/ENO1/TDH1/BNA3/BNA5/GLO1/CYB2/FMS1/ALD2/GOR1/GLO4/MCT1/FAA1/PYK2/HSP33/EEB1/PDH1",30
"GO:1901605","alpha-amino acid metabolic process","33/308","146/4568",2.56546078526678e-10,3.20682598158348e-08,2.71848827070375e-08,"GCV3/UGA2/LEU2/MET6/PUT2/XBP1/MET28/MET1/SNO3/BNA6/GCV1/ARO10/STR3/ADE3/BNA3/ARG3/BNA2/MET5/BAT2/SHM2/ALT1/PUT1/BNA5/SNO1/HFD1/ADE4/IDH1/MET2/IDH2/SER1/GDH1/CAR1/GLN1",33
"GO:0006099","tricarboxylic acid cycle","11/308","18/4568",2.28812327989069e-09,2.57413868987703e-07,2.18214704376944e-07,"CIT2/MDH1/LSC2/SDH2/SHH4/ACO1/SHH3/IDH1/CIT1/SDH5/IDH2",11
