"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","ribosome biogenesis","205/747","329/4568",2.90767928418376e-87,4.41094947410677e-84,4.07075099785727e-84,"MAK16/POP5/FUN12/ECM1/UTP20/LSM2/MAK5/RPB5/RPS6B/ENP1/REI1/RRP7/SPB1/KRR1/BUD23/RPL12A/POL5/NOP16/NUG1/RPS24A/NSA2/RPS26B/RPL8A/RPS27B/CIC1/SSZ1/SSF1/LRP1/IPI1/RPC10/DBP8/NMD3/UTP9/RIX1/FAF1/RPL34B/RPS24B/RPL40A/YVH1/URB1/MAK11/DHR2/RRP14/UTP11/LTV1/RPS27A/EBP2/RPL17A/DBP7/UTP30/RPF2/RPL40B/SPB4/LOC1/RPL34A/DBP10/TSR1/RPS16B/NOP14/SAS10/FAP7/NHP2/SSB1/FAL1/MAK21/RPS13/RRP1/ACL4/MSS116/RRP45/BFR2/BCP1/ESF1/RRP17/RPL12B/NPL3/RPS17B/PUF6/RPL37B/TMA20/CGR1/RPL30/DBP3/SRM1/LSG1/NSA1/PRP43/RPS2/RPL1B/ROK1/RPS26A/RAI1/UTP22/NOP7/ENP2/MTR3/NSR1/TIF4631/SKI6/RPS0A/SDA1/PXR1/ZUO1/NOP9/HCA4/MTR4/UTP18/UTP10/ALB1/RPL17B/MPP10/URB2/RPS5/DRS1/SOF1/RIX7/RPL8B/NOC3/RPS0B/FCF2/FYV7/MDN1/DIP2/RPS31/RPL37A/PWP1/RSA3/UTP13/DBP9/SGD1/RPP0/UTP21/TSR2/RPS1A/RPL6B/RPS17A/RPS1B/RPL6A/BUD22/ERB1/ECM16/RRB1/RPS16A/RRP5/RNA1/RNT1/TMA23/RLP7/RCM1/NOP2/IMP4/NOP15/DBP2/KRE33/RPS3/IPI3/POP3/RPS19B/KRI1/MPP6/DBP6/NOG2/ESF2/DIS3/RPS15/NOP12/RPS19A/RPL25/NOP8/RRP6/RAT1/RPL3/BUD21/RPS7A/RIO1/NOC2/RPB10/RPB8/RPL33B/PUS7/YTM1/RPS10A/RRS1/RPA190/RRP12/NOP4/RPS6A/NOG1/RPL5/RPL33A/RSA1/NIP7/BMS1/RPL1A/NEW1/RVB2/DIM1/TIF6/MRD1/RPS23B/RRP9/RRP15/RPO26/NOP10/EFG1",205
"GO:0022613","ribonucleoprotein complex biogenesis","225/747","411/4568",1.22763962761513e-80,9.31164657546073e-78,8.59347739330588e-78,"MAK16/POP5/FUN12/ECM1/UTP20/LSM2/RPG1/MAK5/RPB5/RPS6B/ENP1/REI1/RRP7/SPB1/KRR1/BUD23/RPL12A/POL5/NOP16/NUG1/GCD11/RPS24A/NSA2/RPS26B/RPL8A/RPS27B/CIC1/SSZ1/SSF1/LRP1/IPI1/RPC10/PRP8/DBP8/NMD3/UTP9/RIX1/FAF1/RPL34B/RPS24B/RPL40A/YVH1/URB1/MAK11/MUD2/DHR2/RRP14/UTP11/LTV1/RPS27A/EBP2/RPL17A/DBP7/TIF1/UTP30/RPF2/RPL40B/SPB4/LOC1/RPL34A/DBP10/TSR1/RPS16B/NOP14/SAS10/FAP7/NHP2/SSB1/FAL1/MAK21/RPS13/RRP1/ACL4/RVB1/MSS116/RRP45/BFR2/BCP1/ESF1/RRP17/RPL12B/TIF35/NPL3/RPS17B/PUF6/RPL37B/TMA20/CGR1/RPL30/DBP3/SRM1/LSG1/NSA1/PRP43/RPS2/RPL1B/ROK1/RPS26A/RAI1/UTP22/NOP7/ENP2/MTR3/NSR1/TIF4631/SKI6/RPS0A/SDA1/PXR1/ZUO1/NOP9/HCA4/MTR4/UTP18/UTP10/ALB1/TIF2/RPL17B/MPP10/SUI2/TMA22/URB2/RPS5/DRS1/SOF1/RIX7/PRP19/RPL8B/NOC3/RPS0B/FCF2/FYV7/MDN1/DIP2/RPS31/RPL37A/PWP1/RSA3/UTP13/DBP9/SGD1/RPP0/UTP21/TSR2/RPS1A/RPL6B/RPS17A/RPS1B/RPL6A/BUD22/ERB1/ECM16/RRB1/RPS16A/TIF34/RRP5/RNA1/RNT1/TIF11/TMA23/RLP7/RCM1/NOP2/IMP4/NOP15/DBP2/KRE33/NOP13/RPS3/IPI3/SUI1/POP3/RPS19B/KRI1/MPP6/DBP6/NOG2/ESF2/DIS3/RPS15/NOP12/RPS19A/RPL25/CDC33/NOP8/RRP6/RAT1/RPL3/BUD21/RPS7A/RIO1/SME1/NOC2/RPB10/RPB8/RPL33B/PUS7/YTM1/RPS10A/RRS1/RPA190/PRT1/RRP12/NOP4/RPS6A/NOG1/RPL5/RPL33A/RSA1/NIP7/BMS1/RPL1A/NEW1/RVB2/SUI3/DIM1/TIF6/MRD1/RPS23B/RRP9/RRP15/TIF3/RPO26/NOP10/EFG1",225
"GO:0006364","rRNA processing","154/747","234/4568",4.35818605690134e-69,2.20378941610644e-66,2.03382015988729e-66,"MAK16/POP5/FUN12/UTP20/LSM2/MAK5/RPS6B/ENP1/RRP7/SPB1/KRR1/BUD23/POL5/NOP16/NUG1/RPS24A/NSA2/RPS26B/RPL8A/RPS27B/CIC1/SSZ1/SSF1/LRP1/IPI1/DBP8/UTP9/RIX1/FAF1/RPS24B/URB1/MAK11/DHR2/RRP14/UTP11/RPS27A/EBP2/RPL17A/DBP7/UTP30/RPF2/SPB4/LOC1/DBP10/TSR1/RPS16B/NOP14/SAS10/FAP7/NHP2/SSB1/FAL1/RPS13/RRP1/MSS116/RRP45/BFR2/ESF1/RRP17/NPL3/RPL37B/CGR1/RPL30/DBP3/NSA1/PRP43/RPS2/RPL1B/ROK1/RPS26A/RAI1/UTP22/NOP7/ENP2/MTR3/NSR1/SKI6/RPS0A/PXR1/ZUO1/NOP9/HCA4/MTR4/UTP18/UTP10/RPL17B/MPP10/URB2/DRS1/SOF1/RPL8B/NOC3/RPS0B/FCF2/FYV7/MDN1/DIP2/RPS31/RPL37A/PWP1/UTP13/DBP9/UTP21/TSR2/RPS1A/RPS1B/BUD22/ERB1/ECM16/RRB1/RPS16A/RRP5/RNT1/RLP7/RCM1/NOP2/IMP4/NOP15/DBP2/KRE33/IPI3/POP3/KRI1/MPP6/DBP6/ESF2/DIS3/NOP12/NOP8/RRP6/RAT1/RPL3/BUD21/RPS7A/RIO1/PUS7/YTM1/RRS1/RRP12/NOP4/RPS6A/NOG1/NIP7/BMS1/RPL1A/RVB2/DIM1/TIF6/MRD1/RPS23B/RRP9/RRP15/NOP10/EFG1",154
"GO:0034470","ncRNA processing","188/747","348/4568",8.56680991370465e-65,3.24896265977249e-62,2.99838346979663e-62,"MAK16/POP5/FUN12/SEN34/UTP20/NCL1/LSM2/MAK5/RPS6B/ENP1/RRP7/SPB1/KRR1/BUD23/POL5/NOP16/NUG1/RPS24A/NSA2/RPS26B/RPL8A/RPS27B/CIC1/SSZ1/SSF1/LRP1/IPI1/DBP8/UTP9/RIX1/URM1/FAF1/RPS24B/URB1/MAK11/DHR2/RRP14/UTP11/RPS27A/EBP2/RPL17A/DBP7/UTP30/RPF2/SPB4/DEG1/LOC1/DBP10/LHP1/TSR1/RPS16B/TRM3/NOP14/SAS10/FAP7/TRM8/NHP2/SSB1/FAL1/RPC11/RPS13/RRP1/MSS116/CIA1/RRP45/BFR2/ESF1/RRP17/NPL3/RPL37B/CGR1/RPL30/DBP3/NSA1/PRP43/RPS2/RPL1B/SUA5/ROK1/RPS26A/NCS6/RAI1/UTP22/NOP7/ENP2/MTR3/NSR1/SKI6/ELP2/RPS0A/PXR1/ZUO1/NOP9/HCA4/TAD2/MTR4/UTP18/TRL1/UTP10/RPL17B/MPP10/URB2/DRS1/SOF1/RPL8B/NOC3/RPS0B/FCF2/FYV7/MDN1/DIP2/USB1/RPS31/RPL37A/PWP1/UTP13/DBP9/TAD3/DUS3/DUS4/UTP21/TSR2/RPS1A/CGI121/RPS1B/DUS1/BUD22/ERB1/ECM16/RRB1/RPS16A/RRP5/RNT1/TRM732/RIT1/RLP7/RCM1/NOP2/GCD10/IMP4/NOP15/DBP2/NCS2/KRE33/IPI3/POP3/PUS4/KRI1/SMM1/MPP6/DBP6/ESF2/DIS3/NOP12/TRM10/PAP2/NOP8/RRP6/RAT1/RPL3/BUD21/RPS7A/RIO1/ABP140/PUS7/YTM1/RRS1/RRP12/NOP4/ELP3/RPS6A/NOG1/TGS1/RTT10/TYW1/NIP7/BMS1/RPL1A/RVB2/DIM1/TIF6/MRD1/RPS23B/RRP9/RRP15/NOP10/EFG1/PCC1",188
"GO:0016072","rRNA metabolic process","159/747","277/4568",4.44007920093348e-59,1.34712002956322e-56,1.24322217626138e-56,"MAK16/POP5/FUN12/UTP20/LSM2/MAK5/RPS6B/ENP1/RRP7/SPB1/KRR1/BUD23/POL5/NOP16/NUG1/RPS24A/NSA2/RPS26B/SPT15/RPL8A/RPS27B/CIC1/SSZ1/SSF1/LRP1/IPI1/DBP8/UTP9/RIX1/FAF1/RPS24B/URB1/MAK11/DHR2/RRP14/UTP11/RPS27A/EBP2/RPL17A/DBP7/UTP30/RPF2/SPB4/LOC1/DBP10/TSR1/RPS16B/NOP14/SAS10/FAP7/NHP2/SSB1/FAL1/RPS13/RRP1/MSS116/RRP45/BFR2/ESF1/RRP17/NPL3/RPL37B/CGR1/RPL30/DBP3/NSA1/PRP43/RPS2/RPL1B/ROK1/RPS26A/RAI1/UTP22/NOP7/ENP2/MTR3/NSR1/SKI6/RPS0A/PXR1/ZUO1/NOP9/RRN7/HCA4/MTR4/UTP18/UTP10/RPL17B/MPP10/URB2/DRS1/SOF1/RPL8B/NOC3/RPS0B/FCF2/FYV7/MDN1/DIP2/RPS31/RPL37A/PWP1/UTP13/DBP9/UTP21/TSR2/RPS1A/RPS1B/BUD22/ERB1/ECM16/RRB1/RPS16A/RRP5/RNT1/RLP7/RCM1/HHT2/NOP2/IMP4/NOP15/DBP2/KRE33/IPI3/POP3/KRI1/MPP6/DBP6/ESF2/DIS3/NOP12/PAP2/NOP8/RRP6/RAT1/RPL3/BUD21/RPS7A/RIO1/PUS7/YTM1/RRS1/RPA190/RRP12/NOP4/RPS6A/NOG1/NIP7/BMS1/RPL1A/RVB2/DIM1/TIF6/MRD1/RPS23B/RRP9/RRP15/NOP10/EFG1",159
"GO:0034660","ncRNA metabolic process","210/747","447/4568",5.5107768864971e-59,1.39330808946935e-56,1.28584794018266e-56,"MAK16/POP5/FUN12/SEN34/UTP20/NCL1/LSM2/GRS1/MAK5/RPB5/RPS6B/ENP1/RRP7/SPB1/KRR1/BUD23/POL5/NOP16/NUG1/RPS24A/NSA2/RPS26B/SPT15/RPL8A/RPS27B/CIC1/SSZ1/SSF1/LRP1/IPI1/RPC10/DBP8/UTP9/RIX1/URM1/FAF1/RPS24B/THS1/URB1/MAK11/DHR2/RRP14/UTP11/RPS27A/EBP2/RPL17A/DBP7/UTP30/RPF2/SPB4/DEG1/LOC1/DBP10/LHP1/TSR1/RPS16B/TRM3/NOP14/RPC53/SAS10/FAP7/TRM8/NHP2/SSB1/FAL1/SES1/RPC11/RPS13/RRP1/MSS116/CIA1/RRP45/BFR2/ESF1/RRP17/NPL3/RPL37B/CGR1/RPL30/DBP3/ARC1/NSA1/PRP43/RPS2/RPL1B/SUA5/ROK1/RPS26A/NCS6/RAI1/UTP22/NOP7/ENP2/MTR3/NSR1/SKI6/ELP2/RPS0A/PXR1/ZUO1/NOP9/RPC17/RRN7/HCA4/TAD2/MTR4/UTP18/TRL1/UTP10/RPL17B/MPP10/URB2/DRS1/SOF1/RPL8B/NOC3/RPS0B/FCF2/FRS1/FYV7/MDN1/DIP2/ACE2/USB1/RPS31/RPL37A/PWP1/UTP13/DBP9/TAD3/DUS3/DUS4/UTP21/TSR2/RPS1A/CGI121/RPS1B/DUS1/BUD22/ERB1/ECM16/RRB1/RPS16A/RRP5/RNT1/TRM732/RIT1/RLP7/RCM1/HHT2/NOP2/GCD10/IMP4/NOP15/DBP2/NCS2/KRE33/RPC31/IPI3/POP3/PUS4/KRI1/RPC34/SMM1/MPP6/DBP6/ESF2/DIS3/NOP12/TRM10/PAP2/NOP8/RRP6/RAT1/RPL3/BUD21/RPS7A/RIO1/GLN4/RET1/RPB10/RPB8/ABP140/PUS7/YTM1/RRS1/RPA190/RRP12/NOP4/ELP3/RPS6A/NOG1/TGS1/RTT10/TYW1/NIP7/BMS1/RPL1A/RVB2/DIM1/TIF6/HTS1/MRD1/RPS23B/RRP9/RRP15/RPO26/NOP10/EFG1/PCC1",210
"GO:0002181","cytoplasmic translation","99/747","134/4568",4.05739975776903e-51,8.79296490362231e-49,8.11479951553806e-49,"FUN12/RPL32/RPL4A/RPG1/SUP45/RPS6B/RRT2/RPL12A/GCD11/RPS24A/RPS26B/RPL8A/RPS27B/SSZ1/RPL42B/RPS4B/RPL2B/RPL34B/RPS24B/RPL16A/RPL40A/TMA19/RPS27A/RPL17A/TIF1/RPL40B/RPL2A/RPL34A/RPS29B/RPL13A/RPS16B/RPL41B/RPL41A/SSB1/RPS13/GIR2/RPP2B/RPL12B/TIF35/RPS17B/RPL37B/TMA20/RPL30/RPL28/RPL1B/RPS26A/RPS25A/TIF4631/RPS0A/TIF2/RPL17B/RPL39/RPS22A/SUI2/TMA22/RPS5/RPL8B/RPS0B/RPL22A/RPS31/DPH5/RPL37A/RPP0/RPS29A/RPS1A/RPL6B/RPS17A/RPS1B/RPL6A/RPL13B/RPS16A/TIF34/TIF11/RPL16B/RPL42A/NOP13/RPS3/SUI1/RPS19B/RPS15/RPS19A/RPL25/CDC33/RPS7A/RPL33B/RPS10A/PRT1/RPS12/RPS6A/RPL5/RPL33A/RPL1A/SUI3/RPL43A/TIF3/RPL29/RPL36B/TMA7/LSO2",99
"GO:0042273","ribosomal large subunit biogenesis","84/747","106/4568",1.39367337395125e-47,2.64275313535506e-45,2.43892840441469e-45,"MAK16/MAK5/REI1/SPB1/RPL12A/POL5/NOP16/NUG1/NSA2/RPS26B/RPL8A/CIC1/SSF1/IPI1/RIX1/RPL40A/YVH1/URB1/MAK11/RRP14/EBP2/RPL17A/DBP7/UTP30/RPF2/RPL40B/SPB4/LOC1/DBP10/NHP2/MAK21/ACL4/RPL12B/PUF6/RPL37B/DBP3/LSG1/NSA1/PRP43/RPL1B/RPS26A/RAI1/NOP7/TIF4631/SDA1/ALB1/RPL17B/DRS1/RIX7/RPL8B/NOC3/MDN1/RPL37A/RSA3/DBP9/RPP0/TSR2/RPL6B/RPL6A/ERB1/RRP5/RLP7/NOP2/NOP15/IPI3/DBP6/NOP12/RPL25/NOP8/RAT1/RPL3/NOC2/RPL33B/YTM1/RRS1/NOP4/NOG1/RPL5/RPL33A/RSA1/NIP7/RPL1A/TIF6/RRP15",84
"GO:0042274","ribosomal small subunit biogenesis","80/747","113/4568",5.70370268134711e-39,9.61390774178174e-37,8.87242639320662e-37,"FUN12/UTP20/RPS6B/ENP1/RRP7/KRR1/BUD23/RPS24A/RPS27B/DBP8/UTP9/FAF1/RPS24B/DHR2/RRP14/UTP11/LTV1/RPS27A/UTP30/LOC1/TSR1/RPS16B/NOP14/SAS10/FAP7/FAL1/RPS13/BFR2/RPS17B/PRP43/ROK1/UTP22/NOP7/ENP2/NSR1/RPS0A/NOP9/UTP18/UTP10/MPP10/RPS5/SOF1/RPS0B/FCF2/FYV7/DIP2/RPS31/UTP13/SGD1/UTP21/TSR2/RPS1A/RPS17A/RPS1B/BUD22/ECM16/RPS16A/RRP5/TMA23/IMP4/KRE33/RPS19B/KRI1/ESF2/RPS15/RPS19A/BUD21/RPS7A/RIO1/RPS10A/RRS1/RRP12/RPS6A/BMS1/NEW1/DIM1/MRD1/RPS23B/RRP9/EFG1",80
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","60/747","78/4568",9.61984251363536e-33,1.45933010931848e-30,1.34677795190895e-30,"FUN12/UTP20/RPS6B/ENP1/KRR1/BUD23/RPS24A/RPS27B/DBP8/UTP9/FAF1/RPS24B/DHR2/UTP11/RPS27A/UTP30/LOC1/TSR1/RPS16B/NOP14/SAS10/FAP7/FAL1/RPS13/BFR2/PRP43/ROK1/UTP22/NOP7/ENP2/RPS0A/NOP9/UTP18/UTP10/MPP10/SOF1/RPS0B/FCF2/FYV7/DIP2/UTP13/TSR2/RPS1A/RPS1B/ECM16/RPS16A/RRP5/KRI1/ESF2/BUD21/RIO1/RRS1/RRP12/RPS6A/BMS1/DIM1/MRD1/RPS23B/RRP9/EFG1",60
