"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045229","external encapsulating structure organization","40/248","220/4568",3.28933843832379e-12,1.66276058057268e-09,1.47154614346064e-09,"GIP1/TIP1/ECM8/ECM33/PAU24/FYV5/RRT12/FIG2/DSE1/ECM34/PAU13/SPS100/DSE2/SSP1/SIM1/UTH1/PAU5/CWP2/FMP45/EXG2/ECM11/SCW11/SCW4/CIS3/PAU17/CCW12/CTS1/CDA2/SPO77/PAU4/AVO2/SCW10/GAS1/PAU19/SUN4/WSC2/LDS2/BAG7/SMK1/PAU9",40
"GO:0071555","cell wall organization","40/248","220/4568",3.28933843832379e-12,1.66276058057268e-09,1.47154614346064e-09,"GIP1/TIP1/ECM8/ECM33/PAU24/FYV5/RRT12/FIG2/DSE1/ECM34/PAU13/SPS100/DSE2/SSP1/SIM1/UTH1/PAU5/CWP2/FMP45/EXG2/ECM11/SCW11/SCW4/CIS3/PAU17/CCW12/CTS1/CDA2/SPO77/PAU4/AVO2/SCW10/GAS1/PAU19/SUN4/WSC2/LDS2/BAG7/SMK1/PAU9",40
"GO:0071554","cell wall organization or biogenesis","40/248","260/4568",7.23517135027747e-10,2.43825274504351e-07,2.15785812201258e-07,"GIP1/TIP1/ECM8/ECM33/PAU24/FYV5/RRT12/FIG2/DSE1/ECM34/PAU13/SPS100/DSE2/SSP1/SIM1/UTH1/PAU5/CWP2/FMP45/EXG2/ECM11/SCW11/SCW4/CIS3/PAU17/CCW12/CTS1/CDA2/SPO77/PAU4/AVO2/SCW10/GAS1/PAU19/SUN4/WSC2/LDS2/BAG7/SMK1/PAU9",40
"GO:0006555","methionine metabolic process","13/248","31/4568",2.24260438301243e-09,5.66818257806391e-07,5.01635190936991e-07,"MET8/MET28/MET14/MET1/MET10/ARO10/STR3/MET5/MET17/ADI1/MET2/MET22/MET16",13
"GO:0009066","aspartate family amino acid metabolic process","16/248","52/4568",6.29556161550864e-09,1.27296255865585e-06,1.12657418382786e-06,"MET8/CHA1/MET28/MET14/MET1/MET10/LYS20/ARO10/STR3/MET5/MET17/ADI1/MET2/LYS9/MET22/MET16",16
"GO:0000096","sulfur amino acid metabolic process","14/248","40/4568",8.77790212380575e-09,1.47907650786127e-06,1.30898540442717e-06,"MET8/MET28/MET14/MET1/MET10/MET32/ARO10/STR3/MET5/MET17/ADI1/MET2/MET22/MET16",14
"GO:0009086","methionine biosynthetic process","12/248","29/4568",1.14627953475891e-08,1.65555515663038e-06,1.46516933014297e-06,"MET8/MET28/MET14/MET1/MET10/STR3/MET5/MET17/ADI1/MET2/MET22/MET16",12
"GO:0009067","aspartate family amino acid biosynthetic process","14/248","44/4568",3.57293240584673e-08,4.36320131839497e-06,3.86144111680538e-06,"MET8/MET28/MET14/MET1/MET10/LYS20/STR3/MET5/MET17/ADI1/MET2/LYS9/MET22/MET16",14
"GO:0000097","sulfur amino acid biosynthetic process","12/248","32/4568",4.30691236119356e-08,4.36320131839497e-06,3.86144111680538e-06,"MET8/MET28/MET14/MET1/MET10/STR3/MET5/MET17/ADI1/MET2/MET22/MET16",12
"GO:0031505","fungal-type cell wall organization","29/248","176/4568",4.31572830701778e-08,4.36320131839497e-06,3.86144111680538e-06,"GIP1/TIP1/ECM33/PAU24/RRT12/PAU13/SPS100/SSP1/SIM1/UTH1/PAU5/CWP2/FMP45/EXG2/CIS3/PAU17/CCW12/CDA2/SPO77/PAU4/AVO2/GAS1/PAU19/SUN4/WSC2/LDS2/BAG7/SMK1/PAU9",29
