"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000747","conjugation with cellular fusion","21/115","109/4568",1.02583474019319e-13,7.20135987615621e-11,6.41416669131323e-11,"FUS3/FIG1/FUS1/KAR4/FYV5/FIG2/DSE1/STE12/STE3/MF(ALPHA)2/SCW4/FAR1/SAG1/AFB1/CCW12/FUS2/SCW10/PRM1/AGA1/MF(ALPHA)1/PRM3",21
"GO:0019953","sexual reproduction","25/115","214/4568",4.56764656490583e-11,1.60324394428195e-08,1.42799055766003e-08,"FUS3/FIG1/FUS1/KAR4/FYV5/FIG2/DSE1/STE12/SSP1/STE3/MF(ALPHA)2/SCW4/FAR1/SAG1/AFB1/CCW12/SPO77/FUS2/SCW10/PRM1/AGA1/SPO19/MF(ALPHA)1/PRM3/SMK1",25
"GO:0000041","transition metal ion transport","13/115","56/4568",6.27298567844382e-10,1.39640917502668e-07,1.24376525710879e-07,"SIT1/FTR1/ARN1/ARN2/ZRT1/PHO84/FET3/FET4/ATX1/FRE7/ENB1/FIT2/FRE5",13
"GO:0055072","iron ion homeostasis","13/115","57/4568",7.95674743604947e-10,1.39640917502668e-07,1.24376525710879e-07,"SIT1/FTR1/ARN1/ARN2/TIS11/HMX1/FET3/FET4/ATX1/FRE7/ENB1/FIT2/FRE5",13
"GO:0045229","external encapsulating structure organization","23/115","220/4568",2.90056369584907e-09,3.39365952414341e-07,3.02269269356903e-07,"TIP1/ECM33/FYV5/FIG2/DSE1/DSE2/SSP1/SIM1/UTH1/CWP2/EXG2/SCW11/SCW4/CIS3/CCW12/CTS1/SPO77/PAU4/SCW10/GAS1/SUN4/WSC2/SMK1",23
"GO:0071555","cell wall organization","23/115","220/4568",2.90056369584907e-09,3.39365952414341e-07,3.02269269356903e-07,"TIP1/ECM33/FYV5/FIG2/DSE1/DSE2/SSP1/SIM1/UTH1/CWP2/EXG2/SCW11/SCW4/CIS3/CCW12/CTS1/SPO77/PAU4/SCW10/GAS1/SUN4/WSC2/SMK1",23
"GO:0006826","iron ion transport","10/115","34/4568",5.44785766261778e-09,5.46342297022526e-07,4.86620669412776e-07,"SIT1/FTR1/ARN1/ARN2/FET3/FET4/FRE7/ENB1/FIT2/FRE5",10
"GO:0030001","metal ion transport","14/115","87/4568",2.14649451637603e-08,1.85304108136104e-06,1.65048193481551e-06,"SIT1/FTR1/ARN1/ARN2/ZRT1/PRM6/PHO84/FET3/FET4/ATX1/FRE7/ENB1/FIT2/FRE5",14
"GO:0019236","response to pheromone","13/115","74/4568",2.37569369405262e-08,1.85304108136104e-06,1.65048193481551e-06,"FUS3/FYV5/FIG2/DSE1/STE12/STE3/MF(ALPHA)2/FAR1/SAG1/AFB1/CCW12/AGA1/MF(ALPHA)1",13
"GO:0034755","iron ion transmembrane transport","7/115","16/4568",5.06518746237352e-08,3.55576159858621e-06,3.16707510805249e-06,"SIT1/FTR1/ARN1/ARN2/FET3/FET4/ENB1",7
"GO:0071554","cell wall organization or biogenesis","23/115","260/4568",7.24311321648654e-08,4.62242316179414e-06,4.11713803884498e-06,"TIP1/ECM33/FYV5/FIG2/DSE1/DSE2/SSP1/SIM1/UTH1/CWP2/EXG2/SCW11/SCW4/CIS3/CCW12/CTS1/SPO77/PAU4/SCW10/GAS1/SUN4/WSC2/SMK1",23
"GO:0000755","cytogamy","6/115","11/4568",9.32001032844141e-08,5.45220604213823e-06,4.85621590797737e-06,"FIG1/FUS1/FIG2/STE3/FUS2/PRM1",6
"GO:0055076","transition metal ion homeostasis","13/115","85/4568",1.32923933664418e-07,7.17789241787856e-06,6.39326450175418e-06,"SIT1/FTR1/ARN1/ARN2/TIS11/HMX1/FET3/FET4/ATX1/FRE7/ENB1/FIT2/FRE5",13
"GO:0000749","response to pheromone triggering conjugation with cellular fusion","11/115","61/4568",2.30815728846453e-07,1.0802176110014e-05,9.62137143402057e-06,"FUS3/FYV5/DSE1/STE3/MF(ALPHA)2/FAR1/SAG1/AFB1/CCW12/AGA1/MF(ALPHA)1",11
"GO:0071444","cellular response to pheromone","11/115","61/4568",2.30815728846453e-07,1.0802176110014e-05,9.62137143402057e-06,"FUS3/FYV5/DSE1/STE3/MF(ALPHA)2/FAR1/SAG1/AFB1/CCW12/AGA1/MF(ALPHA)1",11
"GO:0006879","cellular iron ion homeostasis","10/115","50/4568",3.04140569811095e-07,1.33441675004618e-05,1.18854933202494e-05,"SIT1/ARN1/ARN2/TIS11/HMX1/FET3/ATX1/FRE7/ENB1/FRE5",10
"GO:0000902","cell morphogenesis","9/115","41/4568",5.28996236656602e-07,2.18444328313491e-05,1.94565798497846e-05,"FIG1/FUS1/FIG2/GIC1/GIC2/RAX2/FUS2/SMK1/OPT2",9
