"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","91/1181","134/4568",4.03240650934526e-25,6.77847534220939e-22,6.51551999141577e-22,"RPL32/RPL4A/SUP45/RPS6B/HYP2/RPL12A/RPS24A/RPS26B/RPL8A/RPS27B/RPL42B/RPS4B/RPL2B/RPL34B/RPS24B/RPL16A/RPL40A/TMA19/RPS27A/RPL17A/TIF1/RPL40B/RPL2A/RPL34A/RPS29B/RPL13A/RPS16B/RPL41B/RPL41A/SSB1/RPS13/RPP2B/RPL12B/TIF35/RPS17B/RPL37B/TMA20/RPL30/RPL28/RPL1B/RPS26A/RPS25A/RPS0A/RPL17B/RPL39/RPS22A/SUI2/RPS5/RPL8B/RPL15A/RPS0B/RPL22A/RPS31/RPL37A/RPS25B/RPP0/RPS29A/RPS1A/RPL6B/RPS17A/RPS1B/RPL6A/RPM2/RPL13B/RPS16A/TIF11/RPL16B/RPS7B/RPL42A/NOP13/RPS3/SUI1/RPS19B/RPS15/PSK2/RPS19A/RPL25/RPS7A/RPL33B/RPS10A/PRT1/RPS12/RPS6A/RPL5/RPL33A/TPK2/RPL1A/RPL43A/RPL29/RPL36B/TMA7",91
"GO:0071554","cell wall organization or biogenesis","107/1181","260/4568",2.11335605009334e-08,1.77627576010345e-05,1.70736922994383e-05,"FLC2/ECM21/RCR1/MNN2/CHS2/GIP1/TIP1/ECM8/ECM33/KTR3/PAU24/CWH43/PAU3/ANP1/PAU2/TIR1/ZRG8/SPO73/SHC1/DSE1/RIM101/WSC4/ECM34/PAU13/SLT2/SPS100/DSE2/SVP26/TIR3/KTR7/SIM1/YVH1/YPS6/PAU15/MYO3/MCD4/FAT3/UTH1/PAU5/KEG1/CWP2/PAU8/PSA1/PMT5/PMT1/FMP45/ADY3/MNN10/EXG2/SSD1/DIT2/DIT1/ECM11/PKH1/CWH41/SCW11/PAU11/MSB2/MTL1/SKN1/CRH1/SNG1/AMA1/SCW4/IRC18/LOH1/CIS3/MNN5/HOC1/SOD1/PMT4/DAN1/DAN4/PAU17/GPI13/YEH2/PAU23/CCW12/CRR1/CTS1/CDA2/SPO77/FKS1/GAS2/SUR7/CMP2/VAN1/AVO2/SCW10/GAS1/PAU19/LST8/KTR5/SUN4/RHO2/SLA2/WSC2/GAS5/LDS2/TIR4/KTR1/AZF1/BAG7/ECM23/MNN9/PAU9/VMA9",107
"GO:0042255","ribosome assembly","36/1181","61/4568",3.63662060943311e-08,2.03771974815235e-05,1.95867110016836e-05,"RPL12A/RPS26B/RPS27B/RIX1/RPL40A/YVH1/MAK11/RPS27A/RPF2/RPL40B/SPB4/MAK21/RPL12B/RPS17B/RPS26A/RPS0A/RPS5/DRS1/RPS0B/MDN1/RPS31/RSA3/RPP0/RPL6B/RPS17A/RPL6A/RRP5/IPI3/RPS19B/RPS15/RPS19A/RPL25/RPL3/RPS10A/RPL5/NIP7",36
"GO:0009101","glycoprotein biosynthetic process","40/1181","74/4568",1.81236596289282e-07,7.61646795905707e-05,7.32100461326442e-05,"PMT2/ALG3/MNN2/ALG14/KTR3/ALG7/WBP1/ANP1/MNN1/KTR7/MNN4/YSY6/PSA1/PMT5/PMT1/MNN10/STT3/CWH41/OCH1/OST5/MNT2/OST1/MNN11/MNN5/HOC1/PMT4/YEH2/MNL2/OST6/VAN1/SRT1/SWP1/KTR5/ALG12/OST3/KTR1/OST2/BFR1/MNN9/VMA9",40
"GO:0045229","external encapsulating structure organization","90/1181","220/4568",4.15093760248025e-07,0.000116295435162822,0.000111784021400126,"ECM21/RCR1/CHS2/GIP1/TIP1/ECM8/ECM33/PAU24/CWH43/PAU3/PAU2/TIR1/ZRG8/SPO73/SHC1/DSE1/WSC4/ECM34/PAU13/SLT2/SPS100/DSE2/SVP26/TIR3/KTR7/SIM1/YVH1/YPS6/PAU15/MYO3/MCD4/FAT3/UTH1/PAU5/KEG1/CWP2/PAU8/PMT5/PMT1/FMP45/ADY3/EXG2/SSD1/DIT2/DIT1/ECM11/SCW11/PAU11/MSB2/MTL1/SKN1/CRH1/SNG1/AMA1/SCW4/IRC18/LOH1/CIS3/SOD1/PMT4/DAN1/DAN4/PAU17/GPI13/PAU23/CCW12/CRR1/CTS1/CDA2/SPO77/FKS1/GAS2/SUR7/CMP2/AVO2/SCW10/GAS1/PAU19/LST8/SUN4/RHO2/SLA2/WSC2/GAS5/LDS2/TIR4/AZF1/BAG7/ECM23/PAU9",90
"GO:0071555","cell wall organization","90/1181","220/4568",4.15093760248025e-07,0.000116295435162822,0.000111784021400126,"ECM21/RCR1/CHS2/GIP1/TIP1/ECM8/ECM33/PAU24/CWH43/PAU3/PAU2/TIR1/ZRG8/SPO73/SHC1/DSE1/WSC4/ECM34/PAU13/SLT2/SPS100/DSE2/SVP26/TIR3/KTR7/SIM1/YVH1/YPS6/PAU15/MYO3/MCD4/FAT3/UTH1/PAU5/KEG1/CWP2/PAU8/PMT5/PMT1/FMP45/ADY3/EXG2/SSD1/DIT2/DIT1/ECM11/SCW11/PAU11/MSB2/MTL1/SKN1/CRH1/SNG1/AMA1/SCW4/IRC18/LOH1/CIS3/SOD1/PMT4/DAN1/DAN4/PAU17/GPI13/PAU23/CCW12/CRR1/CTS1/CDA2/SPO77/FKS1/GAS2/SUR7/CMP2/AVO2/SCW10/GAS1/PAU19/LST8/SUN4/RHO2/SLA2/WSC2/GAS5/LDS2/TIR4/AZF1/BAG7/ECM23/PAU9",90
"GO:0006407","rRNA export from nucleus","12/1181","13/4568",8.48732457114109e-07,0.000178339907551102,0.000171421621272389,"RPS26B/SRM1/RPS2/RPS26A/RPS0A/RPS5/RPS0B/RPS3/RPS19B/RPS15/RPS19A/RPS10A",12
"GO:0051029","rRNA transport","12/1181","13/4568",8.48732457114109e-07,0.000178339907551102,0.000171421621272389,"RPS26B/SRM1/RPS2/RPS26A/RPS0A/RPS5/RPS0B/RPS3/RPS19B/RPS15/RPS19A/RPS10A",12
"GO:0006486","protein glycosylation","37/1181","70/4568",1.09952530236601e-06,0.000184830203327727,0.000177660140961245,"PMT2/ALG3/MNN2/ALG14/KTR3/ALG7/WBP1/ANP1/MNN1/KTR7/MNN4/YSY6/PSA1/PMT5/PMT1/MNN10/STT3/CWH41/OCH1/OST5/MNT2/OST1/MNN11/MNN5/PMT4/MNL2/OST6/VAN1/SRT1/SWP1/KTR5/ALG12/OST3/KTR1/OST2/BFR1/MNN9",37
"GO:0043413","macromolecule glycosylation","37/1181","70/4568",1.09952530236601e-06,0.000184830203327727,0.000177660140961245,"PMT2/ALG3/MNN2/ALG14/KTR3/ALG7/WBP1/ANP1/MNN1/KTR7/MNN4/YSY6/PSA1/PMT5/PMT1/MNN10/STT3/CWH41/OCH1/OST5/MNT2/OST1/MNN11/MNN5/PMT4/MNL2/OST6/VAN1/SRT1/SWP1/KTR5/ALG12/OST3/KTR1/OST2/BFR1/MNN9",37
