"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044283","small molecule biosynthetic process","90/756","289/4568",1.53919879846563e-10,2.35959175804782e-07,2.14353685302109e-07,"RIB1/BNA4/FAT1/MIS1/VID24/ADH5/IFA38/THI2/LEU2/GID7/ELO2/UBC8/UTR4/DLD3/HOM3/GPP2/ARG5,6/ALD5/ERG11/BAT1/VID28/SER33/MET28/LYS1/FAS1/MET1/PCK1/SNO3/SNZ3/THI5/MET10/IRC7/THI13/COQ4/RMD5/IPK1/ARO10/HSP31/LEU1/SNF4/STR3/VID30/ADH4/COQ6/TDH1/BNA3/ARG3/SIP4/ELO1/ILV3/CPA2/MET5/BAT2/THI11/SHM2/XYL2/ALT1/PDC5/PUT1/MET17/ILV5/APT1/HMG1/ADH3/SNO1/SRT1/HFD1/ERG29/ALD2/ERG2/IDH1/LEU4/FOL1/MET2/THI12/SNO2/BIO5/THI20/ARG1/LEU9/IDH2/MCT1/CPA1/GDH1/HSP33/EEB1/FAS2/GLN1/ASN1/MET16",90
"GO:0006082","organic acid metabolic process","100/756","343/4568",8.61588896478702e-10,4.89081026993723e-07,4.44298553721767e-07,"ACS1/YAT1/ACH1/BNA4/UGA2/FAT1/MIS1/ADH5/IFA38/LEU2/CIT2/ELO2/UTR4/HPA3/DLD3/HOM3/ARG5,6/ALD5/PDA1/BAT1/SER33/XBP1/KGD1/MET28/DAL7/LYS1/MDH1/FAS1/DAL80/MET1/SNO3/SNZ3/MET10/HXK1/IRC7/UGA3/VTC5/ALT2/MET32/DPL1/ARO10/EMI2/HSP31/LEU1/STR3/DSD1/ADH4/UGA1/TDH1/BNA3/ARG3/ELO1/PHO90/ILV3/BNA2/CPA2/MET5/BAT2/SHM2/ALT1/PDC5/PUT1/MET17/ILV5/CYB2/PHO84/ADH3/SNO1/HFD1/ALD2/IDH1/LEU4/DUG3/FOL1/GOR1/MET2/SNO2/CIT1/BIO5/IZH2/ARG1/PFK27/BDS1/GLO4/LEU9/IAH1/IDH2/MCT1/CPA1/PYK2/GDH1/HSP33/EEB1/FAS2/FUM1/PDH1/ICL2/GLN1/ASN1/MET16",100
"GO:0043436","oxoacid metabolic process","99/756","339/4568",9.5710572797206e-10,4.89081026993723e-07,4.44298553721767e-07,"ACS1/YAT1/ACH1/BNA4/UGA2/FAT1/MIS1/ADH5/IFA38/LEU2/CIT2/ELO2/UTR4/HPA3/DLD3/HOM3/ARG5,6/ALD5/PDA1/BAT1/SER33/XBP1/KGD1/MET28/DAL7/LYS1/MDH1/FAS1/DAL80/MET1/SNO3/SNZ3/MET10/HXK1/IRC7/UGA3/VTC5/ALT2/DPL1/ARO10/EMI2/HSP31/LEU1/STR3/DSD1/ADH4/UGA1/TDH1/BNA3/ARG3/ELO1/PHO90/ILV3/BNA2/CPA2/MET5/BAT2/SHM2/ALT1/PDC5/PUT1/MET17/ILV5/CYB2/PHO84/ADH3/SNO1/HFD1/ALD2/IDH1/LEU4/DUG3/FOL1/GOR1/MET2/SNO2/CIT1/BIO5/IZH2/ARG1/PFK27/BDS1/GLO4/LEU9/IAH1/IDH2/MCT1/CPA1/PYK2/GDH1/HSP33/EEB1/FAS2/FUM1/PDH1/ICL2/GLN1/ASN1/MET16",99
"GO:0019752","carboxylic acid metabolic process","94/756","321/4568",2.30369936173637e-09,8.82892780385464e-07,8.02051119888742e-07,"ACS1/YAT1/ACH1/BNA4/UGA2/FAT1/MIS1/ADH5/IFA38/LEU2/CIT2/ELO2/UTR4/HPA3/DLD3/HOM3/ARG5,6/ALD5/PDA1/BAT1/SER33/XBP1/KGD1/MET28/DAL7/LYS1/MDH1/FAS1/MET1/SNO3/SNZ3/MET10/HXK1/IRC7/UGA3/ALT2/DPL1/ARO10/EMI2/HSP31/LEU1/STR3/DSD1/ADH4/UGA1/TDH1/BNA3/ARG3/ELO1/ILV3/BNA2/CPA2/MET5/BAT2/SHM2/ALT1/PDC5/PUT1/MET17/ILV5/CYB2/ADH3/SNO1/HFD1/ALD2/IDH1/LEU4/DUG3/FOL1/GOR1/MET2/SNO2/CIT1/BIO5/IZH2/ARG1/PFK27/GLO4/LEU9/IAH1/IDH2/MCT1/CPA1/PYK2/GDH1/HSP33/EEB1/FAS2/FUM1/PDH1/ICL2/GLN1/ASN1/MET16",94
"GO:0005975","carbohydrate metabolic process","64/756","192/4568",4.394778229437e-09,1.34743900514539e-06,1.22406138895688e-06,"PSK1/MNN2/GAL7/GAL10/GAL1/VID24/ARA1/MAL33/MAL31/MAL32/LEU2/GID7/CIT2/UBC8/DSF1/GPP2/PDA1/VID28/SGA1/SIM1/EGH1/DAL7/MDH1/GLG1/PCK1/DAK2/GSY1/HXK1/GPD1/KNH1/MPH2/GAL3/RMD5/IPK1/EMI2/MIG1/PKP2/SNF4/MIG2/VID30/XKS1/BGL2/MAL12/KAR2/TDH1/SIP4/GLG2/PGU1/MPH3/XYL2/ATG26/CRR1/PIG1/FKS1/GAS2/TPS3/SCW10/GAS1/SUN4/ZWF1/CIT1/MAN2/PFK27/PYK2",64
"GO:0055085","transmembrane transport","100/756","357/4568",9.36017471858871e-09,2.39152464059942e-06,2.17254581626191e-06,"SEO1/SSA3/TAT1/RTC2/SEC66/SSH1/MAL31/AGP1/ADY2/SPF1/CAN1/SIT1/HVG1/AVT6/VMR1/MUP3/ARN1/ARN2/VMA16/ERC1/COX6/HXT4/HXT1/PEX18/QDR2/DAL4/LHS1/ZRT3/STE6/GAP1/PTR2/VBA5/ALR2/HXT10/HXK1/GPD1/SRP14/UGA4/MPH2/PEX10/CCC2/MTH1/PDR15/ITR1/FCY22/PMC1/HNM1/VPS73/ZRT1/MEP1/AZR1/PEX21/MPC3/TNA1/YOR1/KAR2/PHO90/DAL5/MPH3/TPO1/AQY2/YCT1/THI73/COX12/SUL2/PRM6/PHO84/HXT2/YHM2/FET4/POR1/ESBP6/MEP2/NPR1/ALP1/HXT14/ATO2/BIO5/SIL1/YPQ1/ITR2/MCH4/ENB1/AUS1/NRT1/SIA1/PDR5/PNS1/ODC2/SEC63/MCH5/AMF1/PMA2/ODC1/HUT1/DIP5/SAM3/TPO3/AQY1/VMA9",100
"GO:0006099","tricarboxylic acid cycle","14/756","18/4568",1.65444603022529e-08,3.62323680619338e-06,3.29147683907978e-06,"CIT2/KGD1/DAL7/MDH1/SDH3/SDH2/SHH4/ACO1/SHH3/IDH1/CIT1/SDH5/IDH2/FUM1",14
"GO:0015980","energy derivation by oxidation of organic compounds","45/756","124/4568",5.66946401437701e-08,1.086411041755e-05,9.86934327765893e-06,"PSK1/ACS1/RIB1/ALG7/CIT2/RIP1/COX6/RGI2/RNR3/SGA1/KGD1/DAL7/MDH1/HAP4/SDH3/GLG1/DAK2/GSY1/MIX14/COX4/ADH4/QCR10/GLG2/CYC1/SDH2/COX12/PDC5/SHH4/PIG1/ACO1/NDI1/SHH3/NDE1/IDH1/MFA2/PSD1/CIT1/SDH5/CYT1/IDH2/GDS1/CIR2/HAP5/FUM1/QCR2",45
"GO:1901605","alpha-amino acid metabolic process","50/756","146/4568",8.89836230299574e-08,1.51568771227694e-05,1.37690448267408e-05,"BNA4/UGA2/MIS1/LEU2/UTR4/HPA3/HOM3/ARG5,6/BAT1/SER33/XBP1/MET28/LYS1/MET1/SNO3/MET10/IRC7/ALT2/ARO10/LEU1/STR3/DSD1/BNA3/ARG3/ILV3/BNA2/CPA2/MET5/BAT2/SHM2/ALT1/PDC5/PUT1/MET17/ILV5/SNO1/HFD1/IDH1/LEU4/DUG3/MET2/SNO2/ARG1/LEU9/IDH2/CPA1/GDH1/GLN1/ASN1/MET16",50
"GO:0006091","generation of precursor metabolites and energy","54/756","164/4568",1.20680459451634e-07,1.85003144339355e-05,1.68063418794223e-05,"PSK1/ACS1/RIB1/TKL2/ALG7/GRX1/CIT2/RIP1/PDA1/COX6/RGI2/RNR3/SGA1/KGD1/DAL7/MDH1/HAP4/SDH3/GLG1/DAK2/GSY1/HXK1/MIX14/EMI2/COX4/ADH4/QCR10/TDH1/GLG2/CYC1/SDH2/COX12/PDC5/SHH4/PIG1/ACO1/NDI1/SHH3/NDE1/IDH1/MFA2/PSD1/ZWF1/CIT1/SDH5/PFK27/CYT1/IDH2/PYK2/GDS1/CIR2/HAP5/FUM1/QCR2",54
