"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042273","ribosomal large subunit biogenesis","27/263","106/4568",1.80486172980369e-11,2.02685972256954e-08,1.82955983768521e-08,"RPL12A/NUG1/RPS26B/YVH1/URB1/MAK11/RRP14/UTP30/RPF2/SPB4/LOC1/NHP2/ACL4/DBP3/LSG1/NSA1/RAI1/NOP7/MDN1/RSA3/RRP5/RAT1/NOP4/NIP7/RPL1A/TIF6/RRP15",27
"GO:0006364","rRNA processing","41/263","234/4568",4.23306685044326e-11,2.37686703652389e-08,2.14549651419835e-08,"POP5/UTP20/KRR1/NUG1/RPS26B/LRP1/FAF1/URB1/MAK11/DHR2/RRP14/UTP30/RPF2/SPB4/LOC1/NOP14/SAS10/NHP2/RRP1/RRP17/CGR1/DBP3/NSA1/ROK1/RAI1/NOP7/FYV7/MDN1/RPS31/PWP1/RRP5/DBP2/RAT1/PUS7/NOP4/NIP7/RPL1A/DIM1/TIF6/RRP15/NOP10",41
"GO:0000470","maturation of LSU-rRNA","18/263","55/4568",5.71137204302142e-10,1.72930516565928e-07,1.56097002814818e-07,"NUG1/RPS26B/URB1/MAK11/UTP30/RPF2/SPB4/NHP2/DBP3/RAI1/NOP7/RRP5/RAT1/NOP4/NIP7/RPL1A/TIF6/RRP15",18
"GO:0042254","ribosome biogenesis","48/263","329/4568",6.15959097296271e-10,1.72930516565928e-07,1.56097002814818e-07,"POP5/ECM1/UTP20/KRR1/RPL12A/NUG1/RPS26B/LRP1/FAF1/YVH1/URB1/MAK11/DHR2/RRP14/UTP30/RPF2/SPB4/LOC1/NOP14/SAS10/NHP2/RRP1/ACL4/RRP17/CGR1/DBP3/LSG1/NSA1/ROK1/RAI1/NOP7/FYV7/MDN1/RPS31/PWP1/RSA3/RRP5/DBP2/RAT1/PUS7/RPA190/NOP4/NIP7/RPL1A/DIM1/TIF6/RRP15/NOP10",48
"GO:0034470","ncRNA processing","49/263","348/4568",1.3931122595648e-09,3.12893013498255e-07,2.82435180202296e-07,"POP5/UTP20/KRR1/NUG1/RPS26B/LRP1/FAF1/URB1/MAK11/DHR2/RRP14/UTP30/RPF2/SPB4/LOC1/LHP1/TRM3/NOP14/SAS10/NHP2/RRP1/RRP17/CGR1/DBP3/NSA1/ROK1/NCS6/RAI1/NOP7/TAD2/FYV7/MDN1/RPS31/PWP1/RRP5/DBP2/PUS4/RAT1/PUS7/NOP4/ELP3/TGS1/TYW1/NIP7/RPL1A/DIM1/TIF6/RRP15/NOP10",49
"GO:0016072","rRNA metabolic process","42/263","277/4568",2.64929664232057e-09,4.95860021554333e-07,4.47591695886791e-07,"POP5/UTP20/KRR1/NUG1/RPS26B/LRP1/FAF1/URB1/MAK11/DHR2/RRP14/UTP30/RPF2/SPB4/LOC1/NOP14/SAS10/NHP2/RRP1/RRP17/CGR1/DBP3/NSA1/ROK1/RAI1/NOP7/FYV7/MDN1/RPS31/PWP1/RRP5/DBP2/RAT1/PUS7/RPA190/NOP4/NIP7/RPL1A/DIM1/TIF6/RRP15/NOP10",42
"GO:0022613","ribonucleoprotein complex biogenesis","53/263","411/4568",6.6587711086104e-09,1.06825713642421e-06,9.64270162043882e-07,"POP5/ECM1/UTP20/KRR1/RPL12A/NUG1/RPS26B/LRP1/PRP8/FAF1/YVH1/URB1/MAK11/DHR2/RRP14/UTP30/RPF2/SPB4/LOC1/NOP14/SAS10/NHP2/RRP1/ACL4/RRP17/CGR1/DBP3/LSG1/NSA1/ROK1/RAI1/NOP7/FYV7/MDN1/RPS31/PWP1/RSA3/TIF34/RRP5/TIF11/DBP2/NOP13/RAT1/SME1/PUS7/RPA190/NOP4/NIP7/RPL1A/DIM1/TIF6/RRP15/NOP10",53
"GO:0044036","cell wall macromolecule metabolic process","12/263","31/4568",5.46835983968778e-08,6.14096809996937e-06,5.54319002696771e-06,"MNN2/KTR3/ANP1/KTR7/PSA1/MNN10/KAR2/FKS1/GAS2/GAS1/KTR5/VMA9",12
"GO:0044038","cell wall macromolecule biosynthetic process","12/263","31/4568",5.46835983968778e-08,6.14096809996937e-06,5.54319002696771e-06,"MNN2/KTR3/ANP1/KTR7/PSA1/MNN10/KAR2/FKS1/GAS2/GAS1/KTR5/VMA9",12
"GO:0070589","cellular component macromolecule biosynthetic process","12/263","31/4568",5.46835983968778e-08,6.14096809996937e-06,5.54319002696771e-06,"MNN2/KTR3/ANP1/KTR7/PSA1/MNN10/KAR2/FKS1/GAS2/GAS1/KTR5/VMA9",12
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","14/263","46/4568",1.41778234372811e-07,1.44742688364243e-05,1.30653052345471e-05,"NUG1/RPS26B/URB1/MAK11/RPF2/DBP3/RAI1/NOP7/RRP5/RAT1/NOP4/NIP7/TIF6/RRP15",14
"GO:0042546","cell wall biogenesis","21/263","103/4568",2.37625715261928e-07,2.22378065199288e-05,2.00731196313366e-05,"LDS1/MNN2/KTR3/RRT12/ANP1/KTR7/YVH1/KNH1/PSA1/MNN10/SPS2/SPS1/KAR2/CRR1/SPO77/FKS1/GAS2/GAS1/KTR5/OSW1/VMA9",21
"GO:0034660","ncRNA metabolic process","52/263","447/4568",3.15171215108833e-07,2.72259441974784e-05,2.45756987975552e-05,"POP5/UTP20/KRR1/NUG1/RPS26B/LRP1/FAF1/URB1/MAK11/DHR2/RRP14/UTP30/RPF2/SPB4/LOC1/LHP1/TRM3/NOP14/SAS10/NHP2/RRP1/RRP17/CGR1/DBP3/NSA1/ROK1/NCS6/RAI1/NOP7/RPC17/TAD2/FYV7/MDN1/RPS31/PWP1/RRP5/DBP2/RPC31/PUS4/RAT1/PUS7/RPA190/NOP4/ELP3/TGS1/TYW1/NIP7/RPL1A/DIM1/TIF6/RRP15/NOP10",52
"GO:0009100","glycoprotein metabolic process","18/263","80/4568",3.79416530607332e-07,3.04346259908596e-05,2.74720390206662e-05,"PMT2/MNN2/KTR3/ALG7/PDI1/ANP1/MNN1/MNT3/KTR7/PSA1/MNN10/STT3/MNT2/OST1/PMT4/SWP1/KTR5/VMA9",18
"GO:0009101","glycoprotein biosynthetic process","17/263","74/4568",5.89126057195307e-07,4.41059041486887e-05,3.98125188125671e-05,"PMT2/MNN2/KTR3/ALG7/ANP1/MNN1/MNT3/KTR7/PSA1/MNN10/STT3/MNT2/OST1/PMT4/SWP1/KTR5/VMA9",17
"GO:0000460","maturation of 5.8S rRNA","17/263","77/4568",1.0760552122001e-06,7.10829413706298e-05,6.41635398977518e-05,"UTP20/KRR1/LRP1/URB1/MAK11/RPF2/LOC1/NOP14/SAS10/DBP3/ROK1/RAI1/NOP7/RRP5/RAT1/TIF6/RRP15",17
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","17/263","77/4568",1.0760552122001e-06,7.10829413706298e-05,6.41635398977518e-05,"UTP20/KRR1/LRP1/URB1/MAK11/RPF2/LOC1/NOP14/SAS10/DBP3/ROK1/RAI1/NOP7/RRP5/RAT1/TIF6/RRP15",17
"GO:0006486","protein glycosylation","16/263","70/4568",1.37437367411868e-06,8.12327176860672e-05,7.33253101482709e-05,"PMT2/MNN2/KTR3/ALG7/ANP1/MNN1/MNT3/KTR7/PSA1/MNN10/STT3/MNT2/OST1/PMT4/SWP1/KTR5",16
"GO:0043413","macromolecule glycosylation","16/263","70/4568",1.37437367411868e-06,8.12327176860672e-05,7.33253101482709e-05,"PMT2/MNN2/KTR3/ALG7/ANP1/MNN1/MNT3/KTR7/PSA1/MNN10/STT3/MNT2/OST1/PMT4/SWP1/KTR5",16
"GO:0070085","glycosylation","16/263","80/4568",8.84958371424407e-06,0.000496904125554805,0.000448534164043002,"PMT2/MNN2/KTR3/ALG7/ANP1/MNN1/MNT3/KTR7/PSA1/MNN10/STT3/MNT2/OST1/PMT4/SWP1/KTR5",16
"GO:0042255","ribosome assembly","13/263","61/4568",3.08415315628403e-05,0.00159977346181114,0.00144404728286463,"RPL12A/RPS26B/YVH1/MAK11/RPF2/SPB4/LSG1/MDN1/RPS31/RSA3/RRP5/NIP7/TIF6",13
"GO:0000032","cell wall mannoprotein biosynthetic process","7/263","18/4568",3.56138348577726e-05,0.00159977346181114,0.00144404728286463,"KTR3/ANP1/KTR7/PSA1/MNN10/KTR5/VMA9",7
"GO:0006056","mannoprotein metabolic process","7/263","18/4568",3.56138348577726e-05,0.00159977346181114,0.00144404728286463,"KTR3/ANP1/KTR7/PSA1/MNN10/KTR5/VMA9",7
"GO:0006057","mannoprotein biosynthetic process","7/263","18/4568",3.56138348577726e-05,0.00159977346181114,0.00144404728286463,"KTR3/ANP1/KTR7/PSA1/MNN10/KTR5/VMA9",7
