"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006099","tricarboxylic acid cycle","14/493","18/4568",4.98593905415038e-11,6.41690356269154e-08,5.62099023894217e-08,"CIT2/KGD1/DAL7/MDH1/SDH3/SDH2/SHH4/ACO1/SHH3/IDH1/CIT1/SDH5/IDH2/FUM1",14
"GO:0006091","generation of precursor metabolites and energy","46/493","164/4568",3.32236051688488e-10,1.69851034992181e-07,1.48783755348322e-07,"PSK1/ACS1/RIB1/TKL2/GRX1/CIT2/RIP1/PDA1/COX6/RGI2/RNR3/SGA1/KGD1/DAL7/MDH1/HAP4/SDH3/GLG1/DAK2/GSY1/HXK1/EMI2/COX4/QCR10/TDH1/GLG2/SDH2/COX12/SHH4/PIG1/ACO1/NDI1/SHH3/IDH1/MFA2/ZWF1/CIT1/SDH5/PFK27/CYT1/IDH2/PYK2/GDS1/HAP5/FUM1/QCR2",46
"GO:0006082","organic acid metabolic process","75/493","343/4568",3.95923158489932e-10,1.69851034992181e-07,1.48783755348322e-07,"ACS1/YAT1/ACH1/UGA2/CIT2/UTR4/HPA3/DLD3/HOM3/ARG5,6/PDA1/SER33/XBP1/KGD1/MET28/DAL7/LYS1/MDH1/DAL80/MET1/SNO3/SNZ3/MET10/HXK1/IRC7/UGA3/VTC5/MET32/ARO10/EMI2/HSP31/STR3/DSD1/UGA1/TDH1/BNA3/ARG3/BNA2/CPA2/MET5/BAT2/ALT1/PUT1/MET17/CYB2/PHO84/ADH3/SNO1/HFD1/ALD2/IDH1/LEU4/DUG3/GOR1/MET2/SNO2/CIT1/BIO5/ARG1/PFK27/BDS1/GLO4/IAH1/IDH2/MCT1/CPA1/PYK2/GDH1/HSP33/FUM1/PDH1/ICL2/GLN1/ASN1/MET16",75
"GO:0043436","oxoacid metabolic process","74/493","339/4568",5.74451329729158e-10,1.84829715340357e-07,1.61904572142086e-07,"ACS1/YAT1/ACH1/UGA2/CIT2/UTR4/HPA3/DLD3/HOM3/ARG5,6/PDA1/SER33/XBP1/KGD1/MET28/DAL7/LYS1/MDH1/DAL80/MET1/SNO3/SNZ3/MET10/HXK1/IRC7/UGA3/VTC5/ARO10/EMI2/HSP31/STR3/DSD1/UGA1/TDH1/BNA3/ARG3/BNA2/CPA2/MET5/BAT2/ALT1/PUT1/MET17/CYB2/PHO84/ADH3/SNO1/HFD1/ALD2/IDH1/LEU4/DUG3/GOR1/MET2/SNO2/CIT1/BIO5/ARG1/PFK27/BDS1/GLO4/IAH1/IDH2/MCT1/CPA1/PYK2/GDH1/HSP33/FUM1/PDH1/ICL2/GLN1/ASN1/MET16",74
"GO:0019752","carboxylic acid metabolic process","70/493","321/4568",1.89349813714305e-09,4.87386420500621e-07,4.26934001027412e-07,"ACS1/YAT1/ACH1/UGA2/CIT2/UTR4/HPA3/DLD3/HOM3/ARG5,6/PDA1/SER33/XBP1/KGD1/MET28/DAL7/LYS1/MDH1/MET1/SNO3/SNZ3/MET10/HXK1/IRC7/UGA3/ARO10/EMI2/HSP31/STR3/DSD1/UGA1/TDH1/BNA3/ARG3/BNA2/CPA2/MET5/BAT2/ALT1/PUT1/MET17/CYB2/ADH3/SNO1/HFD1/ALD2/IDH1/LEU4/DUG3/GOR1/MET2/SNO2/CIT1/BIO5/ARG1/PFK27/GLO4/IAH1/IDH2/MCT1/CPA1/PYK2/GDH1/HSP33/FUM1/PDH1/ICL2/GLN1/ASN1/MET16",70
"GO:0005975","carbohydrate metabolic process","49/493","192/4568",3.01074321709712e-09,5.60159381994999e-07,4.90680651140264e-07,"PSK1/GAL7/GAL10/GAL1/VID24/ARA1/MAL33/MAL31/MAL32/GID7/CIT2/UBC8/DSF1/GPP2/PDA1/VID28/SGA1/EGH1/DAL7/MDH1/GLG1/PCK1/DAK2/GSY1/HXK1/GPD1/GAL3/RMD5/IPK1/EMI2/MIG1/PKP2/MIG2/VID30/XKS1/BGL2/MAL12/TDH1/SIP4/GLG2/XYL2/ATG26/PIG1/TPS3/ZWF1/CIT1/MAN2/PFK27/PYK2",49
"GO:0015980","energy derivation by oxidation of organic compounds","37/493","124/4568",3.04670992538073e-09,5.60159381994999e-07,4.90680651140264e-07,"PSK1/ACS1/RIB1/CIT2/RIP1/COX6/RGI2/RNR3/SGA1/KGD1/DAL7/MDH1/HAP4/SDH3/GLG1/DAK2/GSY1/COX4/QCR10/GLG2/SDH2/COX12/SHH4/PIG1/ACO1/NDI1/SHH3/IDH1/MFA2/CIT1/SDH5/CYT1/IDH2/GDS1/HAP5/FUM1/QCR2",37
"GO:0044283","small molecule biosynthetic process","63/493","289/4568",1.38433407842749e-08,2.22704744867022e-06,1.95081815525769e-06,"RIB1/VID24/THI2/GID7/UBC8/UTR4/DLD3/HOM3/GPP2/ARG5,6/VID28/SER33/MET28/LYS1/MET1/PCK1/SNO3/SNZ3/THI5/MET10/IRC7/THI13/COQ4/RMD5/IPK1/ARO10/HSP31/STR3/VID30/COQ6/TDH1/BNA3/ARG3/SIP4/CPA2/MET5/BAT2/THI11/XYL2/ALT1/PUT1/MET17/ADH3/SNO1/SRT1/HFD1/ALD2/IDH1/LEU4/MET2/THI12/SNO2/BIO5/THI20/ARG1/IDH2/MCT1/CPA1/GDH1/HSP33/GLN1/ASN1/MET16",63
"GO:1901605","alpha-amino acid metabolic process","39/493","146/4568",3.54221398489896e-08,5.06536599840551e-06,4.43708909687343e-06,"UGA2/UTR4/HPA3/HOM3/ARG5,6/SER33/XBP1/MET28/LYS1/MET1/SNO3/MET10/IRC7/ARO10/STR3/DSD1/BNA3/ARG3/BNA2/CPA2/MET5/BAT2/ALT1/PUT1/MET17/SNO1/HFD1/IDH1/LEU4/DUG3/MET2/SNO2/ARG1/IDH2/CPA1/GDH1/GLN1/ASN1/MET16",39
"GO:0044272","sulfur compound biosynthetic process","23/493","64/4568",7.3785232892156e-08,9.49615947322047e-06,8.31831415026306e-06,"ACS1/THI2/UTR4/HOM3/PDA1/MET28/MET1/SNZ3/THI5/MET10/IRC7/THI13/ARO10/STR3/MET5/BAT2/THI11/MET17/MET2/THI12/BIO5/THI20/MET16",23
"GO:0045333","cellular respiration","27/493","87/4568",1.82092719323757e-07,2.13048481608795e-05,1.86623255881094e-05,"RIB1/CIT2/RIP1/COX6/RNR3/KGD1/DAL7/MDH1/HAP4/SDH3/COX4/QCR10/SDH2/COX12/SHH4/ACO1/NDI1/SHH3/IDH1/CIT1/SDH5/CYT1/IDH2/GDS1/HAP5/FUM1/QCR2",27
"GO:0009060","aerobic respiration","24/493","72/4568",1.99019571550066e-07,2.13448490487445e-05,1.86973650114141e-05,"RIB1/CIT2/RIP1/COX6/KGD1/DAL7/MDH1/SDH3/COX4/QCR10/SDH2/COX12/SHH4/ACO1/NDI1/SHH3/IDH1/CIT1/SDH5/CYT1/IDH2/GDS1/FUM1/QCR2",24
"GO:0044262","cellular carbohydrate metabolic process","32/493","120/4568",6.54793538965127e-07,6.48245603575476e-05,5.67841198568138e-05,"PSK1/GAL1/VID24/ARA1/MAL33/MAL31/MAL32/GID7/UBC8/DSF1/GPP2/VID28/SGA1/DAL7/GLG1/DAK2/GSY1/HXK1/GAL3/RMD5/IPK1/EMI2/VID30/XKS1/MAL12/SIP4/GLG2/XYL2/PIG1/TPS3/MAN2/PFK27",32
"GO:0005996","monosaccharide metabolic process","19/493","55/4568",2.06285380287426e-06,0.000189635203164227,0.00016611401675777,"GAL7/GAL10/GAL1/VID24/GID7/UBC8/VID28/PCK1/HXK1/GAL3/RMD5/PKP2/VID30/XKS1/TDH1/SIP4/XYL2/ZWF1/PFK27",19
"GO:0009064","glutamine family amino acid metabolic process","17/493","46/4568",2.46127388820422e-06,0.000211177299607922,0.000184984163808191,"UGA2/ARG5,6/XBP1/SNO3/ARG3/CPA2/PUT1/SNO1/IDH1/DUG3/SNO2/ARG1/IDH2/CPA1/GDH1/GLN1/ASN1",17
"GO:0006520","cellular amino acid metabolic process","44/493","205/4568",3.91971931650835e-06,0.00031529242252164,0.000276185486051345,"UGA2/UTR4/HPA3/HOM3/ARG5,6/SER33/XBP1/MET28/LYS1/MET1/SNO3/SNZ3/MET10/IRC7/UGA3/ARO10/STR3/DSD1/UGA1/BNA3/ARG3/BNA2/CPA2/MET5/BAT2/ALT1/PUT1/MET17/ADH3/SNO1/HFD1/ALD2/IDH1/LEU4/DUG3/MET2/SNO2/ARG1/IDH2/CPA1/GDH1/GLN1/ASN1/MET16",44
"GO:1901607","alpha-amino acid biosynthetic process","27/493","101/4568",4.7506719334906e-06,0.000359653810494259,0.000315044559799903,"UTR4/HOM3/ARG5,6/SER33/MET28/LYS1/MET1/MET10/IRC7/STR3/ARG3/CPA2/MET5/BAT2/ALT1/PUT1/MET17/IDH1/LEU4/MET2/ARG1/IDH2/CPA1/GDH1/GLN1/ASN1/MET16",27
"GO:0009991","response to extracellular stimulus","32/493","132/4568",6.21043143736682e-06,0.000444045847771728,0.000388969126866659,"GAL1/NRG2/ADY2/SRB8/PHM8/ATG7/MSN4/HAP4/DAL80/GAT1/UGA3/GAL3/HSP31/MIG1/PKP2/SIP2/MIG2/VID30/MTL1/MEP1/SIP4/GSM1/DCS1/GTR1/SIP5/SIP18/MEP2/NPR1/ATO2/HAP5/HSP33/ATG11",32
"GO:0031667","response to nutrient levels","31/493","127/4568",7.47433972310261e-06,0.000489210312482855,0.000428531668645269,"GAL1/NRG2/ADY2/SRB8/PHM8/ATG7/MSN4/HAP4/DAL80/GAT1/UGA3/GAL3/HSP31/MIG1/PKP2/SIP2/MIG2/VID30/MTL1/MEP1/SIP4/GSM1/DCS1/GTR1/SIP5/MEP2/NPR1/ATO2/HAP5/HSP33/ATG11",31
