"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008652","cellular amino acid biosynthetic process","22/184","114/4568",4.28173851906822e-10,3.76364815826097e-07,3.36229151076305e-07,"LYS2/ARO4/ARG5,6/LYS12/MET28/LYS1/SRY1/IDP1/LYS21/LYS20/HOM2/ARG3/CPA2/AAT2/PUT1/ARG7/MET2/LYS9/ARG1/MET22/ORT1/HIS3",22
"GO:1901607","alpha-amino acid biosynthetic process","20/184","101/4568",1.75514417655125e-09,5.0291894879189e-07,4.49287510686486e-07,"LYS2/ARG5,6/LYS12/MET28/LYS1/SRY1/IDP1/LYS21/LYS20/HOM2/ARG3/CPA2/AAT2/PUT1/ARG7/MET2/LYS9/ARG1/MET22/ORT1",20
"GO:1901605","alpha-amino acid metabolic process","24/184","146/4568",2.04859971058874e-09,5.0291894879189e-07,4.49287510686486e-07,"LYS2/HPA3/ARG5,6/LYS12/XBP1/MET28/LYS1/SRY1/IDP1/LYS21/LYS20/HOM2/ARO10/ARG3/CPA2/AAT2/PUT1/ARG7/SNO1/MET2/LYS9/ARG1/MET22/ORT1",24
"GO:0019752","carboxylic acid metabolic process","37/184","321/4568",2.28859589893921e-09,5.0291894879189e-07,4.49287510686486e-07,"LYS2/ARO4/HPA3/ARG5,6/LYS12/XBP1/MET28/LYS1/SRY1/HXK1/IDP1/LYS21/LYS20/HOM2/ARO10/EMI2/HSP31/UGA1/TDH1/ARG3/CPA2/AAT2/PUT1/ARG7/SNO1/GOR1/MET2/LYS9/ARG1/MET22/ADH1/GLO4/ORT1/HIS3/PYK2/HSP33/ALD6",37
"GO:0016053","organic acid biosynthetic process","25/184","166/4568",6.02939659599096e-09,8.13733058442886e-07,7.26956303931972e-07,"LYS2/ARO4/ARG5,6/LYS12/MET28/LYS1/SRY1/IDP1/LYS21/LYS20/HOM2/HSP31/ARG3/CPA2/AAT2/PUT1/ARG7/MET2/LYS9/ARG1/MET22/ORT1/HIS3/HSP33/ALD6",25
"GO:0046394","carboxylic acid biosynthetic process","25/184","166/4568",6.02939659599096e-09,8.13733058442886e-07,7.26956303931972e-07,"LYS2/ARO4/ARG5,6/LYS12/MET28/LYS1/SRY1/IDP1/LYS21/LYS20/HOM2/HSP31/ARG3/CPA2/AAT2/PUT1/ARG7/MET2/LYS9/ARG1/MET22/ORT1/HIS3/HSP33/ALD6",25
"GO:0006520","cellular amino acid metabolic process","28/184","205/4568",6.48024051092173e-09,8.13733058442886e-07,7.26956303931972e-07,"LYS2/ARO4/HPA3/ARG5,6/LYS12/XBP1/MET28/LYS1/SRY1/IDP1/LYS21/LYS20/HOM2/ARO10/UGA1/ARG3/CPA2/AAT2/PUT1/ARG7/SNO1/MET2/LYS9/ARG1/MET22/ADH1/ORT1/HIS3",28
"GO:0043436","oxoacid metabolic process","37/184","339/4568",1.05346208747663e-08,1.15749146861495e-06,1.03405620691785e-06,"LYS2/ARO4/HPA3/ARG5,6/LYS12/XBP1/MET28/LYS1/SRY1/HXK1/IDP1/LYS21/LYS20/HOM2/ARO10/EMI2/HSP31/UGA1/TDH1/ARG3/CPA2/AAT2/PUT1/ARG7/SNO1/GOR1/MET2/LYS9/ARG1/MET22/ADH1/GLO4/ORT1/HIS3/PYK2/HSP33/ALD6",37
"GO:0006082","organic acid metabolic process","37/184","343/4568",1.45462284655828e-08,1.42068164680525e-06,1.26917970003798e-06,"LYS2/ARO4/HPA3/ARG5,6/LYS12/XBP1/MET28/LYS1/SRY1/HXK1/IDP1/LYS21/LYS20/HOM2/ARO10/EMI2/HSP31/UGA1/TDH1/ARG3/CPA2/AAT2/PUT1/ARG7/SNO1/GOR1/MET2/LYS9/ARG1/MET22/ADH1/GLO4/ORT1/HIS3/PYK2/HSP33/ALD6",37
"GO:0009066","aspartate family amino acid metabolic process","13/184","52/4568",7.70764841597615e-08,6.77502295764304e-06,6.0525323350718e-06,"LYS2/LYS12/XBP1/MET28/LYS1/LYS21/LYS20/HOM2/ARO10/AAT2/MET2/LYS9/MET22",13
