"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006656","phosphatidylcholine biosynthetic process","4/31","16/4568",2.98576574989733e-06,0.000558592117336046,0.000528669097463133,"CHO2/OPI3/CPT1/PSD1",4
"GO:0008610","lipid biosynthetic process","9/31","198/4568",3.96063841501613e-06,0.000558592117336046,0.000528669097463133,"CDS1/EHT1/FAS1/CHO2/OPI3/CPT1/PSD1/EEB1/FAS2",9
"GO:0046470","phosphatidylcholine metabolic process","4/31","18/4568",4.97263012465323e-06,0.000558592117336046,0.000528669097463133,"CHO2/OPI3/CPT1/PSD1",4
"GO:0006633","fatty acid biosynthetic process","4/31","22/4568",1.1663807201475e-05,0.00098267575672427,0.000930035153170245,"EHT1/FAS1/EEB1/FAS2",4
"GO:0044255","cellular lipid metabolic process","9/31","278/4568",6.17866075509823e-05,0.00416441734893621,0.00394133517641003,"CDS1/EHT1/FAS1/CHO2/OPI3/CPT1/PSD1/EEB1/FAS2",9
"GO:0006629","lipid metabolic process","9/31","298/4568",0.000106378193869817,0.00597490855568807,0.00565484083202713,"CDS1/EHT1/FAS1/CHO2/OPI3/CPT1/PSD1/EEB1/FAS2",9
"GO:0046474","glycerophospholipid biosynthetic process","5/31","83/4568",0.000205643543587302,0.00869515915934428,0.00822937131120199,"CDS1/CHO2/OPI3/CPT1/PSD1",5
"GO:0072330","monocarboxylic acid biosynthetic process","4/31","45/4568",0.000213029612897825,0.00869515915934428,0.00822937131120199,"EHT1/FAS1/EEB1/FAS2",4
"GO:0006631","fatty acid metabolic process","4/31","46/4568",0.000232214933038868,0.00869515915934428,0.00822937131120199,"EHT1/FAS1/EEB1/FAS2",4
"GO:0045017","glycerolipid biosynthetic process","5/31","88/4568",0.000270924493277501,0.00913015542345178,0.00864106541716661,"CDS1/CHO2/OPI3/CPT1/PSD1",5
"GO:0006650","glycerophospholipid metabolic process","5/31","111/4568",0.00079408922193113,0.0227270213567415,0.0215095657382248,"CDS1/CHO2/OPI3/CPT1/PSD1",5
"GO:0008654","phospholipid biosynthetic process","5/31","112/4568",0.000827232460985483,0.0227270213567415,0.0215095657382248,"CDS1/CHO2/OPI3/CPT1/PSD1",5
"GO:0090407","organophosphate biosynthetic process","7/31","239/4568",0.000876710022663618,0.0227270213567415,0.0215095657382248,"CDS1/CHO2/OPI3/TRX1/NRK1/CPT1/PSD1",7
"GO:0046486","glycerolipid metabolic process","5/31","125/4568",0.00135904153202804,0.0327140711638178,0.0309616228725185,"CDS1/CHO2/OPI3/CPT1/PSD1",5
"GO:0006644","phospholipid metabolic process","5/31","143/4568",0.00246858367997189,0.0554608466767019,0.0524898845636129,"CDS1/CHO2/OPI3/CPT1/PSD1",5
"GO:0009062","fatty acid catabolic process","2/31","15/4568",0.00443008670949468,0.0933087013187317,0.0883102811169006,"EHT1/EEB1",2
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0031225","anchored component of membrane","5/31","45/4575",1.02978602747192e-05,0.000556084454834837,0.000444433969751039,"TIR1/TIR3/CWP2/SAG1/GAS2",5
"GO:0005576","extracellular region","5/31","83/4575",0.000204191183315961,0.00551316194953094,0.00440623079787073,"TIR1/TIR3/CWP2/SAG1/MF(ALPHA)1",5
"GO:0009277","fungal-type cell wall","5/31","102/4575",0.000535015163218577,0.00720103236577193,0.00575521105256626,"TIR1/TIR3/CWP2/SAG1/GAS2",5
"GO:0005618","cell wall","5/31","107/4575",0.000666762256089994,0.00720103236577193,0.00575521105256626,"TIR1/TIR3/CWP2/SAG1/GAS2",5
"GO:0030312","external encapsulating structure","5/31","107/4575",0.000666762256089994,0.00720103236577193,0.00575521105256626,"TIR1/TIR3/CWP2/SAG1/GAS2",5
"GO:0000322","storage vacuole","7/31","359/4575",0.00872884345378739,0.0598015166026297,0.0477945844192557,"TIR1/TIR3/ITR1/SAG1/GAS2/NRK1/IZH4",7
"GO:0000324","fungal-type vacuole","7/31","359/4575",0.00872884345378739,0.0598015166026297,0.0477945844192557,"TIR1/TIR3/ITR1/SAG1/GAS2/NRK1/IZH4",7
"GO:0000323","lytic vacuole","7/31","360/4575",0.00885948394113033,0.0598015166026297,0.0477945844192557,"TIR1/TIR3/ITR1/SAG1/GAS2/NRK1/IZH4",7
"GO:0005773","vacuole","7/31","405/4575",0.0163956180886829,0.0983737085320973,0.078622262179649,"TIR1/TIR3/ITR1/SAG1/GAS2/NRK1/IZH4",7
