"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055072","iron ion homeostasis","16/67","57/4568",2.51418779351745e-17,1.16155476060506e-14,9.26279713401165e-15,"SIT1/FTR1/ARN1/ARN2/GEX2/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE5/ISU1/LSO1",16
"GO:0055076","transition metal ion homeostasis","16/67","85/4568",2.53201895926184e-14,5.84896379589484e-12,4.6642454512718e-12,"SIT1/FTR1/ARN1/ARN2/GEX2/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE5/ISU1/LSO1",16
"GO:0006879","cellular iron ion homeostasis","13/67","50/4568",1.0030586574863e-13,1.5447103325289e-11,1.2318264214744e-11,"SIT1/ARN1/ARN2/GEX2/CCC2/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE5/ISU1",13
"GO:0055065","metal ion homeostasis","16/67","106/4568",9.46970964814436e-13,1.09375146436067e-10,8.72210099171191e-11,"SIT1/FTR1/ARN1/ARN2/GEX2/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE5/ISU1/LSO1",16
"GO:0006826","iron ion transport","10/67","34/4568",2.28877948318005e-11,2.11483224245837e-09,1.68646909286951e-09,"SIT1/FTR1/ARN1/ARN2/GEX2/FIT1/FRE1/FET3/ENB1/FRE5",10
"GO:0046916","cellular transition metal ion homeostasis","13/67","77/4568",3.84357070709404e-11,2.95954944446241e-09,2.36008727628581e-09,"SIT1/ARN1/ARN2/GEX2/CCC2/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE5/ISU1",13
"GO:0098771","inorganic ion homeostasis","16/67","136/4568",4.85699869505292e-11,3.20561913873493e-09,2.55631510265943e-09,"SIT1/FTR1/ARN1/ARN2/GEX2/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE5/ISU1/LSO1",16
"GO:0055080","cation homeostasis","16/67","142/4568",9.45503305423914e-11,5.4602815888231e-09,4.35429153813644e-09,"SIT1/FTR1/ARN1/ARN2/GEX2/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE5/ISU1/LSO1",16
"GO:0000041","transition metal ion transport","11/67","56/4568",2.56588290523624e-10,1.31715322468794e-08,1.05036142319612e-08,"SIT1/FTR1/ARN1/ARN2/GEX2/CCC2/FIT1/FRE1/FET3/ENB1/FRE5",11
"GO:0050801","ion homeostasis","16/67","157/4568",4.3703432322927e-10,2.01909857331923e-08,1.61012645400257e-08,"SIT1/FTR1/ARN1/ARN2/GEX2/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE5/ISU1/LSO1",16
