"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009117","nucleotide metabolic process","13/67","161/4568",3.88076008006977e-07,6.00363585650431e-05,5.19927156338266e-05,"ADE1/TKL2/RNR3/MTD1/HXK1/ADE5,7/RNR4/TDH1/ADE13/ADE17/SOL1/CYT1/ADE2",13
"GO:0055086","nucleobase-containing small molecule metabolic process","14/67","190/4568",4.04027856368518e-07,6.00363585650431e-05,5.19927156338266e-05,"ADE1/TKL2/RNR3/UGP1/MTD1/HXK1/ADE5,7/RNR4/TDH1/ADE13/ADE17/SOL1/CYT1/ADE2",14
"GO:0006188","IMP biosynthetic process","5/67","12/4568",4.27065296150827e-07,6.00363585650431e-05,5.19927156338266e-05,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0006091","generation of precursor metabolites and energy","13/67","164/4568",4.81370058044229e-07,6.00363585650431e-05,5.19927156338266e-05,"TKL2/GRX1/RGI1/RNR3/UGP1/GSY1/HXK1/TDH1/SDH2/DAK1/SHH3/SOL1/CYT1",13
"GO:0006753","nucleoside phosphate metabolic process","13/67","165/4568",5.166640151897e-07,6.00363585650431e-05,5.19927156338266e-05,"ADE1/TKL2/RNR3/MTD1/HXK1/ADE5,7/RNR4/TDH1/ADE13/ADE17/SOL1/CYT1/ADE2",13
"GO:0046040","IMP metabolic process","5/67","13/4568",6.8613103942462e-07,6.64403556509507e-05,5.75387082184155e-05,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0009127","purine nucleoside monophosphate biosynthetic process","5/67","19/4568",5.79036012209175e-06,0.000420524903866914,0.000364183176099981,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0009168","purine ribonucleoside monophosphate biosynthetic process","5/67","19/4568",5.79036012209175e-06,0.000420524903866914,0.000364183176099981,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0006163","purine nucleotide metabolic process","9/67","97/4568",9.33672573766464e-06,0.000488948398756916,0.000423439323499966,"ADE1/MTD1/HXK1/ADE5,7/TDH1/ADE13/ADE17/CYT1/ADE2",9
"GO:0009126","purine nucleoside monophosphate metabolic process","5/67","21/4568",9.90543761788979e-06,0.000488948398756916,0.000423439323499966,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0009167","purine ribonucleoside monophosphate metabolic process","5/67","21/4568",9.90543761788979e-06,0.000488948398756916,0.000423439323499966,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:1901135","carbohydrate derivative metabolic process","15/67","284/4568",1.00987621085766e-05,0.000488948398756916,0.000423439323499966,"ADE1/TKL2/SHC1/RNR3/UGP1/HXK1/GPD1/ADE5,7/RNR4/TDH1/ADE13/ADE17/SOL1/CYT1/ADE2",15
"GO:0009165","nucleotide biosynthetic process","9/67","104/4568",1.65508180595432e-05,0.000739694253276508,0.000640590367000943,"ADE1/RNR3/MTD1/ADE5,7/RNR4/ADE13/ADE17/CYT1/ADE2",9
"GO:1901293","nucleoside phosphate biosynthetic process","9/67","106/4568",1.93287060054458e-05,0.000802141299225999,0.000694670787263389,"ADE1/RNR3/MTD1/ADE5,7/RNR4/ADE13/ADE17/CYT1/ADE2",9
"GO:0006164","purine nucleotide biosynthetic process","7/67","61/4568",2.47700178649257e-05,0.00095942535863479,0.000830882002767334,"ADE1/MTD1/ADE5,7/ADE13/ADE17/CYT1/ADE2",7
