"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006826","iron ion transport","4/23","34/4568",2.05054433591525e-05,0.00543394249017542,0.0048133830200958,"FTR1/ARN2/FRE1/FET3",4
"GO:0034755","iron ion transmembrane transport","3/23","16/4568",5.98532760582104e-05,0.00793055907771288,0.00702488450577944,"FTR1/ARN2/FET3",3
"GO:0000041","transition metal ion transport","4/23","56/4568",0.000150889825309707,0.0107150225395634,0.00949136058122197,"FTR1/ARN2/FRE1/FET3",4
"GO:0055072","iron ion homeostasis","4/23","57/4568",0.000161736189276428,0.0107150225395634,0.00949136058122197,"FTR1/ARN2/FRE1/FET3",4
"GO:0055076","transition metal ion homeostasis","4/23","85/4568",0.000754935946952076,0.03641030268032,0.0322522244199061,"FTR1/ARN2/FRE1/FET3",4
"GO:0030001","metal ion transport","4/23","87/4568",0.000824384211629887,0.03641030268032,0.0322522244199061,"FTR1/ARN2/FRE1/FET3",4
"GO:0043414","macromolecule methylation","4/23","91/4568",0.000976691551739281,0.0369747516015585,0.032752212938024,"HMT1/BMT2/EFM6/SET6",4
"GO:0032259","methylation","4/23","105/4568",0.00166690439735528,0.0489617505254446,0.0433702894425984,"HMT1/BMT2/EFM6/SET6",4
"GO:0055065","metal ion homeostasis","4/23","106/4568",0.00172648382272914,0.0489617505254446,0.0433702894425984,"FTR1/ARN2/FRE1/FET3",4
"GO:0006879","cellular iron ion homeostasis","3/23","50/4568",0.00187338807438066,0.0489617505254446,0.0433702894425984,"ARN2/FRE1/FET3",3
"GO:0006479","protein methylation","3/23","53/4568",0.00221713587285032,0.0489617505254446,0.0433702894425984,"HMT1/EFM6/SET6",3
"GO:0008213","protein alkylation","3/23","53/4568",0.00221713587285032,0.0489617505254446,0.0433702894425984,"HMT1/EFM6/SET6",3
"GO:0098771","inorganic ion homeostasis","4/23","136/4568",0.00428542481540756,0.0873567366217694,0.0773805452498692,"FTR1/ARN2/FRE1/FET3",4
"GO:0055080","cation homeostasis","4/23","142/4568",0.00500132818807618,0.0946679978457276,0.0838568560857886,"FTR1/ARN2/FRE1/FET3",4
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0008757","S-adenosylmethionine-dependent methyltransferase activity","4/23","67/4540",0.000310669542099244,0.0117995604514214,0.00970358589755053,"HMT1/BMT2/EFM6/SET6",4
"GO:0008168","methyltransferase activity","4/23","78/4540",0.000557147599694515,0.0117995604514214,0.00970358589755053,"HMT1/BMT2/EFM6/SET6",4
"GO:0008276","protein methyltransferase activity","3/23","34/4540",0.000613660333224879,0.0117995604514214,0.00970358589755053,"HMT1/EFM6/SET6",3
"GO:0016741","transferase activity, transferring one-carbon groups","4/23","89/4540",0.000919006333985502,0.0117995604514214,0.00970358589755053,"HMT1/BMT2/EFM6/SET6",4
"GO:0008170","N-methyltransferase activity","3/23","39/4540",0.0009218406602673,0.0117995604514214,0.00970358589755053,"HMT1/EFM6/SET6",3
"GO:0016722","oxidoreductase activity, acting on metal ions","2/23","13/4540",0.0018513338293784,0.0197475608467029,0.0162397704331438,"FRE1/FET3",2
"GO:0001046","core promoter sequence-specific DNA binding","2/23","16/4540",0.00282199704836374,0.0258011158707542,0.0212180229200281,"BDF2/RRN11",2
"GO:0016278","lysine N-methyltransferase activity","2/23","25/4540",0.00686228443856431,0.0487984671186795,0.0401303183541773,"EFM6/SET6",2
"GO:0016279","protein-lysine N-methyltransferase activity","2/23","25/4540",0.00686228443856431,0.0487984671186795,0.0401303183541773,"EFM6/SET6",2
"GO:0046915","transition metal ion transmembrane transporter activity","2/23","28/4540",0.00856713438727166,0.0548296600785387,0.0450901809856403,"FTR1/FET3",2
"GO:0140296","general transcription initiation factor binding","2/23","32/4540",0.0111043111095304,0.0646069010009042,0.0531306751652173,"BDF2/RRN11",2
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:1902495","transmembrane transporter complex","2/23","14/4575",0.00212102043018726,0.0253639574841746,0.0207658131449382,"FTR1/FET3",2
"GO:0005628","prospore membrane","3/23","61/4575",0.00330372887693656,0.0253639574841746,0.0207658131449382,"RRT5/LDS2/SPO19",3
"GO:0042763","intracellular immature spore","3/23","61/4575",0.00330372887693656,0.0253639574841746,0.0207658131449382,"RRT5/LDS2/SPO19",3
"GO:0042764","ascospore-type prospore","3/23","61/4575",0.00330372887693656,0.0253639574841746,0.0207658131449382,"RRT5/LDS2/SPO19",3
"GO:0098797","plasma membrane protein complex","2/23","18/4575",0.00352277187280202,0.0253639574841746,0.0207658131449382,"FTR1/FET3",2
"GO:1990351","transporter complex","2/23","31/4575",0.0102901344104321,0.0617408064625923,0.0505480286828241,"FTR1/FET3",2
"GO:1990204","oxidoreductase complex","2/23","34/4575",0.0123016504279117,0.0632656307721174,0.0517964228543651,"FTR1/FET3",2
