"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006555","methionine metabolic process","12/106","31/4568",1.26847046517124e-12,6.2595480562376e-10,5.65059548882575e-10,"MET8/MET28/MET14/MET1/MET10/ARO10/STR3/MET5/MET17/ADI1/MET2/MET16",12
"GO:0000096","sulfur amino acid metabolic process","13/106","40/4568",1.91716632656588e-12,6.2595480562376e-10,5.65059548882575e-10,"MET8/MET28/MET14/MET1/MET10/MET32/ARO10/STR3/MET5/MET17/ADI1/MET2/MET16",13
"GO:0009086","methionine biosynthetic process","11/106","29/4568",1.51902257853336e-11,3.30640581260761e-09,2.98474611922344e-09,"MET8/MET28/MET14/MET1/MET10/STR3/MET5/MET17/ADI1/MET2/MET16",11
"GO:0000097","sulfur amino acid biosynthetic process","11/106","32/4568",5.34595732631343e-11,8.72727533520667e-09,7.87825290193558e-09,"MET8/MET28/MET14/MET1/MET10/STR3/MET5/MET17/ADI1/MET2/MET16",11
"GO:0009066","aspartate family amino acid metabolic process","13/106","52/4568",8.03482404353986e-11,1.0493480200863e-08,9.47263466185751e-09,"MET8/CHA1/MET28/MET14/MET1/MET10/ARO10/STR3/MET5/MET17/ADI1/MET2/MET16",13
"GO:0019344","cysteine biosynthetic process","7/106","10/4568",3.36824070474709e-10,3.66576863366641e-08,3.30914876255854e-08,"MET28/MET14/MET10/STR3/MET5/MET17/MET16",7
"GO:0044272","sulfur compound biosynthetic process","13/106","64/4568",1.31973140761155e-09,1.23112087024335e-07,1.11135276430447e-07,"ACS1/MET8/MET28/MET14/MET1/MET10/ARO10/STR3/MET5/MET17/ADI1/MET2/MET16",13
"GO:0009067","aspartate family amino acid biosynthetic process","11/106","44/4568",2.51995996111891e-09,2.05691731826331e-07,1.85681260292972e-07,"MET8/MET28/MET14/MET1/MET10/STR3/MET5/MET17/ADI1/MET2/MET16",11
"GO:0006534","cysteine metabolic process","7/106","14/4568",8.92227974534675e-09,6.47360963745715e-07,5.84383234782945e-07,"MET28/MET14/MET10/STR3/MET5/MET17/MET16",7
"GO:0009069","serine family amino acid metabolic process","9/106","32/4568",2.49361997423625e-08,1.62833384317627e-06,1.469923353234e-06,"CHA1/MET28/MET14/MET10/STR3/MET5/MET17/MET2/MET16",9
