"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000041","transition metal ion transport","11/71","56/4568",4.92860459533075e-10,2.68116089985993e-07,2.44355027831661e-07,"SIT1/FTR1/ARN1/ARN2/ZRT1/FET3/FET4/ATX1/ENB1/FIT2/FRE5",11
"GO:0006826","iron ion transport","9/71","34/4568",1.2122384127796e-09,3.01146808080307e-07,2.74458488014366e-07,"SIT1/FTR1/ARN1/ARN2/FET3/FET4/ENB1/FIT2/FRE5",9
"GO:0034755","iron ion transmembrane transport","7/71","16/4568",1.66073607397228e-09,3.01146808080307e-07,2.74458488014366e-07,"SIT1/FTR1/ARN1/ARN2/FET3/FET4/ENB1",7
"GO:0055072","iron ion homeostasis","10/71","57/4568",1.03772092711728e-08,1.4113004608795e-06,1.28622778071641e-06,"SIT1/FTR1/ARN1/ARN2/FET3/FET4/ATX1/ENB1/FIT2/FRE5",10
"GO:0045229","external encapsulating structure organization","17/71","220/4568",2.22644165344344e-08,2.01864043245539e-06,1.83974389258221e-06,"ECM33/DSE1/DSE2/SIM1/UTH1/CWP2/EXG2/SCW11/SCW4/CIS3/CCW12/CTS1/SPO77/SCW10/GAS1/SUN4/WSC2",17
"GO:0071555","cell wall organization","17/71","220/4568",2.22644165344344e-08,2.01864043245539e-06,1.83974389258221e-06,"ECM33/DSE1/DSE2/SIM1/UTH1/CWP2/EXG2/SCW11/SCW4/CIS3/CCW12/CTS1/SPO77/SCW10/GAS1/SUN4/WSC2",17
"GO:0030001","metal ion transport","11/71","87/4568",6.34566465129201e-08,4.9314879575755e-06,4.49444819662938e-06,"SIT1/FTR1/ARN1/ARN2/ZRT1/FET3/FET4/ATX1/ENB1/FIT2/FRE5",11
"GO:0000920","septum digestion after cytokinesis","6/71","18/4568",1.8241496715606e-07,1.24042177666121e-05,1.13049275698032e-05,"AMN1/DSE1/DSE2/CTS1/EGT2/DSE4",6
"GO:0071554","cell wall organization or biogenesis","17/71","260/4568",2.6360739296736e-07,1.59336024193604e-05,1.45215300687283e-05,"ECM33/DSE1/DSE2/SIM1/UTH1/CWP2/EXG2/SCW11/SCW4/CIS3/CCW12/CTS1/SPO77/SCW10/GAS1/SUN4/WSC2",17
"GO:0055076","transition metal ion homeostasis","10/71","85/4568",5.32737383800723e-07,2.89809136787593e-05,2.64125587126464e-05,"SIT1/FTR1/ARN1/ARN2/FET3/FET4/ATX1/ENB1/FIT2/FRE5",10
"GO:1901678","iron coordination entity transport","5/71","14/4568",1.41320780186785e-06,6.98895494741919e-05,6.36957774813166e-05,"SIT1/ARN1/ARN2/ENB1/FIT2",5
"GO:0000272","polysaccharide catabolic process","5/71","15/4568",2.09429870803143e-06,9.4941541430758e-05,8.65276045160352e-05,"SIM1/UTH1/EXG2/CTS1/SUN4",5
"GO:0055065","metal ion homeostasis","10/71","106/4568",4.18559538304091e-06,0.000175151068336481,0.000159628779385609,"SIT1/FTR1/ARN1/ARN2/FET3/FET4/ATX1/ENB1/FIT2/FRE5",10
"GO:0006879","cellular iron ion homeostasis","7/71","50/4568",9.52803730801118e-06,0.000370232306825577,0.000337421471584456,"SIT1/ARN1/ARN2/FET3/ATX1/ENB1/FRE5",7
"GO:0000749","response to pheromone triggering conjugation with cellular fusion","7/71","61/4568",3.63321292417953e-05,0.00115244669454512,0.00105031422819418,"DSE1/STE3/MF(ALPHA)2/SAG1/AFB1/CCW12/MF(ALPHA)1",7
"GO:0071444","cellular response to pheromone","7/71","61/4568",3.63321292417953e-05,0.00115244669454512,0.00105031422819418,"DSE1/STE3/MF(ALPHA)2/SAG1/AFB1/CCW12/MF(ALPHA)1",7
"GO:0098771","inorganic ion homeostasis","10/71","136/4568",3.85535374846806e-05,0.00115244669454512,0.00105031422819418,"SIT1/FTR1/ARN1/ARN2/FET3/FET4/ATX1/ENB1/FIT2/FRE5",10
"GO:0000747","conjugation with cellular fusion","9/71","109/4568",3.89836231768023e-05,0.00115244669454512,0.00105031422819418,"DSE1/STE3/MF(ALPHA)2/SCW4/SAG1/AFB1/CCW12/SCW10/MF(ALPHA)1",9
"GO:0006812","cation transport","12/71","197/4568",4.0250895581539e-05,0.00115244669454512,0.00105031422819418,"SIT1/FTR1/ARN1/ARN2/ZRT1/FET3/RSN1/FET4/ATX1/ENB1/FIT2/FRE5",12
"GO:0055080","cation homeostasis","10/71","142/4568",5.59350903011372e-05,0.00152143445619093,0.00138660144904398,"SIT1/FTR1/ARN1/ARN2/FET3/FET4/ATX1/ENB1/FIT2/FRE5",10
"GO:0031505","fungal-type cell wall organization","11/71","176/4568",6.93238111796029e-05,0.00179581682293829,0.00163666742183423,"ECM33/SIM1/UTH1/CWP2/EXG2/CIS3/CCW12/SPO77/GAS1/SUN4/WSC2",11
"GO:0019236","response to pheromone","7/71","74/4568",0.000127656300946719,0.00309568880512787,0.0028213417709273,"DSE1/STE3/MF(ALPHA)2/SAG1/AFB1/CCW12/MF(ALPHA)1",7
"GO:0050801","ion homeostasis","10/71","157/4568",0.000130883901687392,0.00309568880512787,0.0028213417709273,"SIT1/FTR1/ARN1/ARN2/FET3/FET4/ATX1/ENB1/FIT2/FRE5",10
"GO:0046916","cellular transition metal ion homeostasis","7/71","77/4568",0.000164392110148248,0.00372622116336028,0.00339599490700985,"SIT1/ARN1/ARN2/FET3/ATX1/ENB1/FRE5",7
"GO:0005976","polysaccharide metabolic process","6/71","58/4568",0.000243590378498797,0.005213643956637,0.00475159888462854,"SIM1/UTH1/EXG2/CTS1/GAS1/SUN4",6
"GO:0071852","fungal-type cell wall organization or biogenesis","11/71","203/4568",0.000249181512633386,0.005213643956637,0.00475159888462854,"ECM33/SIM1/UTH1/CWP2/EXG2/CIS3/CCW12/SPO77/GAS1/SUN4/WSC2",11
"GO:0051301","cell division","13/71","289/4568",0.00041283030382472,0.00831776612150547,0.00758062663163521,"AMN1/DSE1/DSE2/SKG6/UTH1/PCL2/BUD9/CLB1/RAX2/CTS1/SUN4/EGT2/DSE4",13
"GO:0000750","pheromone-dependent signal transduction involved in conjugation with cellular fusion","4/71","26/4568",0.000618779092156339,0.0110097948483086,0.0100340816051729,"DSE1/STE3/MF(ALPHA)2/MF(ALPHA)1",4
"GO:0031139","positive regulation of conjugation with cellular fusion","4/71","26/4568",0.000618779092156339,0.0110097948483086,0.0100340816051729,"DSE1/STE3/MF(ALPHA)2/MF(ALPHA)1",4
"GO:0032005","signal transduction involved in positive regulation of conjugation with cellular fusion","4/71","26/4568",0.000618779092156339,0.0110097948483086,0.0100340816051729,"DSE1/STE3/MF(ALPHA)2/MF(ALPHA)1",4
"GO:0006875","cellular metal ion homeostasis","7/71","96/4568",0.000644645821460304,0.0110097948483086,0.0100340816051729,"SIT1/ARN1/ARN2/FET3/ATX1/ENB1/FRE5",7
"GO:0098662","inorganic cation transmembrane transport","8/71","126/4568",0.00066386606379799,0.0110097948483086,0.0100340816051729,"SIT1/FTR1/ARN1/ARN2/ZRT1/FET3/FET4/ENB1",8
"GO:0098655","cation transmembrane transport","9/71","158/4568",0.000667873584548132,0.0110097948483086,0.0100340816051729,"SIT1/FTR1/ARN1/ARN2/ZRT1/FET3/RSN1/FET4/ENB1",9
"GO:0031137","regulation of conjugation with cellular fusion","4/71","27/4568",0.000717924102142263,0.0114867856342762,0.0104688003748918,"DSE1/STE3/MF(ALPHA)2/MF(ALPHA)1",4
"GO:0048878","chemical homeostasis","10/71","200/4568",0.000921311051454346,0.0143198060568904,0.0130507520371428,"SIT1/FTR1/ARN1/ARN2/FET3/FET4/ATX1/ENB1/FIT2/FRE5",10
"GO:0098660","inorganic ion transmembrane transport","8/71","138/4568",0.00120883843343278,0.0182668918829843,0.016648038074469,"SIT1/FTR1/ARN1/ARN2/ZRT1/FET3/FET4/ENB1",8
"GO:0006811","ion transport","12/71","287/4568",0.00135051740228949,0.0198562558606887,0.018096548975202,"SIT1/FTR1/ARN1/ARN2/ZRT1/FET3/RSN1/FET4/ATX1/ENB1/FIT2/FRE5",12
"GO:0019953","sexual reproduction","10/71","214/4568",0.00154651567836332,0.0221395928692013,0.0201775314268456,"DSE1/STE3/MF(ALPHA)2/SCW4/SAG1/AFB1/CCW12/SPO77/SCW10/MF(ALPHA)1",10
"GO:0006825","copper ion transport","3/71","17/4568",0.0020930277260704,0.0291950534098025,0.0266077208901257,"FET4/ATX1/FRE5",3
"GO:0016052","carbohydrate catabolic process","5/71","61/4568",0.00238299811377232,0.0318822346164021,0.0290567579418061,"SIM1/UTH1/EXG2/CTS1/SUN4",5
