"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006188","IMP biosynthetic process","5/34","12/4568",1.28388520648181e-08,3.8184805788025e-06,3.46240944931462e-06,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0046040","IMP metabolic process","5/34","13/4568",2.07526118413179e-08,3.8184805788025e-06,3.46240944931462e-06,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0009127","purine nucleoside monophosphate biosynthetic process","5/34","19/4568",1.816171400623e-07,1.59067367674082e-05,1.44234426638112e-05,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0009168","purine ribonucleoside monophosphate biosynthetic process","5/34","19/4568",1.816171400623e-07,1.59067367674082e-05,1.44234426638112e-05,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0006164","purine nucleotide biosynthetic process","7/34","61/4568",2.16124140861524e-07,1.59067367674082e-05,1.44234426638112e-05,"ADE1/MTD1/ADE5,7/ADE13/ADE17/CYT1/ADE2",7
"GO:0009126","purine nucleoside monophosphate metabolic process","5/34","21/4568",3.14470665905748e-07,1.65321721504736e-05,1.49905565552063e-05,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0009167","purine ribonucleoside monophosphate metabolic process","5/34","21/4568",3.14470665905748e-07,1.65321721504736e-05,1.49905565552063e-05,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0072522","purine-containing compound biosynthetic process","7/34","66/4568",3.75855372321236e-07,1.72893471267769e-05,1.56771253981358e-05,"ADE1/MTD1/ADE5,7/ADE13/ADE17/CYT1/ADE2",7
"GO:0009165","nucleotide biosynthetic process","8/34","104/4568",6.12531463460777e-07,2.37471453508325e-05,2.15327376321908e-05,"ADE1/MTD1/ADE5,7/RNR4/ADE13/ADE17/CYT1/ADE2",8
"GO:0055086","nucleobase-containing small molecule metabolic process","10/34","190/4568",6.71597003306222e-07,2.37471453508325e-05,2.15327376321908e-05,"ADE1/UGP1/MTD1/ADE5,7/RNR4/ADE13/ADE17/SOL1/CYT1/ADE2",10
"GO:1901293","nucleoside phosphate biosynthetic process","8/34","106/4568",7.09833149073797e-07,2.37471453508325e-05,2.15327376321908e-05,"ADE1/MTD1/ADE5,7/RNR4/ADE13/ADE17/CYT1/ADE2",8
"GO:0009117","nucleotide metabolic process","9/34","161/4568",1.65175730734983e-06,5.0653890758728e-05,4.5930444423675e-05,"ADE1/MTD1/ADE5,7/RNR4/ADE13/ADE17/SOL1/CYT1/ADE2",9
"GO:0009152","purine ribonucleotide biosynthetic process","6/34","53/4568",1.914935962722e-06,5.33626925404206e-05,4.83866519888825e-05,"ADE1/ADE5,7/ADE13/ADE17/CYT1/ADE2",6
"GO:0006753","nucleoside phosphate metabolic process","9/34","165/4568",2.03010243360296e-06,5.33626925404206e-05,4.83866519888825e-05,"ADE1/MTD1/ADE5,7/RNR4/ADE13/ADE17/SOL1/CYT1/ADE2",9
"GO:0009156","ribonucleoside monophosphate biosynthetic process","5/34","33/4568",3.44117062901337e-06,8.44233860984614e-05,7.65509536419115e-05,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0009124","nucleoside monophosphate biosynthetic process","5/34","35/4568",4.65711762801155e-06,0.000100812899241662,9.14121540606602e-05,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0009161","ribonucleoside monophosphate metabolic process","5/34","35/4568",4.65711762801155e-06,0.000100812899241662,9.14121540606602e-05,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0006163","purine nucleotide metabolic process","7/34","97/4568",5.27102574765692e-06,0.000107763193063208,9.7714336959488e-05,"ADE1/MTD1/ADE5,7/ADE13/ADE17/CYT1/ADE2",7
"GO:0009260","ribonucleotide biosynthetic process","6/34","65/4568",6.46550599659024e-06,0.000125226642460274,0.000113549329690809,"ADE1/ADE5,7/ADE13/ADE17/CYT1/ADE2",6
"GO:0046390","ribose phosphate biosynthetic process","6/34","71/4568",1.08597327068558e-05,0.000199819081806147,0.000181186066740699,"ADE1/ADE5,7/ADE13/ADE17/CYT1/ADE2",6
"GO:0009123","nucleoside monophosphate metabolic process","5/34","42/4568",1.17577835120621e-05,0.000206041158687565,0.000186827938512466,"ADE1/ADE5,7/ADE13/ADE17/ADE2",5
"GO:0072521","purine-containing compound metabolic process","7/34","112/4568",1.3739687726952e-05,0.000229827503796289,0.00020839622054755,"ADE1/MTD1/ADE5,7/ADE13/ADE17/CYT1/ADE2",7
"GO:1901135","carbohydrate derivative metabolic process","10/34","284/4568",2.53933746750797e-05,0.000406293994801275,0.000368407312219691,"ADE1/SHC1/UGP1/ADE5,7/RNR4/ADE13/ADE17/SOL1/CYT1/ADE2",10
"GO:0009150","purine ribonucleotide metabolic process","6/34","88/4568",3.75493997064588e-05,0.000575757462165702,0.000522068408199449,"ADE1/ADE5,7/ADE13/ADE17/CYT1/ADE2",6
