"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006826","iron ion transport","4/14","34/4568",2.43058605701721e-06,0.000388893769122753,0.000304462885036892,"FTR1/ARN2/FRE1/FET3",4
"GO:0034755","iron ion transmembrane transport","3/14","16/4568",1.25409891224028e-05,0.000795212857379576,0.000622567960711642,"FTR1/ARN2/FET3",3
"GO:0000041","transition metal ion transport","4/14","56/4568",1.85178535236878e-05,0.000795212857379576,0.000622567960711642,"FTR1/ARN2/FRE1/FET3",4
"GO:0055072","iron ion homeostasis","4/14","57/4568",1.98803214344894e-05,0.000795212857379576,0.000622567960711642,"FTR1/ARN2/FRE1/FET3",4
"GO:0055076","transition metal ion homeostasis","4/14","85/4568",9.69854374417387e-05,0.00283311192570503,0.00221802841551907,"FTR1/ARN2/FRE1/FET3",4
"GO:0030001","metal ion transport","4/14","87/4568",0.000106241697213939,0.00283311192570503,0.00221802841551907,"FTR1/ARN2/FRE1/FET3",4
"GO:0055065","metal ion homeostasis","4/14","106/4568",0.000229257921358555,0.00524018105962411,0.0041025101716794,"FTR1/ARN2/FRE1/FET3",4
"GO:0006879","cellular iron ion homeostasis","3/14","50/4568",0.000412713157912531,0.00825426315825062,0.0064622191831041,"ARN2/FRE1/FET3",3
"GO:0098771","inorganic ion homeostasis","4/14","136/4568",0.000596545209912858,0.0106052481762286,0.0083027929800737,"FTR1/ARN2/FRE1/FET3",4
"GO:0055080","cation homeostasis","4/14","142/4568",0.00070279228790601,0.0112446766064962,0.00880339813271739,"FTR1/ARN2/FRE1/FET3",4
"GO:0050801","ion homeostasis","4/14","157/4568",0.00102670790828091,0.0149339332113587,0.0116916977115243,"FTR1/ARN2/FRE1/FET3",4
"GO:0046916","cellular transition metal ion homeostasis","3/14","77/4568",0.00146666216321936,0.0195554955095914,0.0153098945107986,"ARN2/FRE1/FET3",3
"GO:0006812","cation transport","4/14","197/4568",0.00238831271492601,0.0288540042851183,0.0225896480916387,"FTR1/ARN2/FRE1/FET3",4
"GO:0048878","chemical homeostasis","4/14","200/4568",0.00252472537494785,0.0288540042851183,0.0225896480916387,"FTR1/ARN2/FRE1/FET3",4
"GO:0006875","cellular metal ion homeostasis","3/14","96/4568",0.00276756887355433,0.0295207346512462,0.023111627786173,"ARN2/FRE1/FET3",3
"GO:0042592","homeostatic process","4/14","227/4568",0.00400623961199116,0.0400623961199116,0.0313646390675624,"FTR1/ARN2/FRE1/FET3",4
"GO:0098662","inorganic cation transmembrane transport","3/14","126/4568",0.00597015206620734,0.0561896665054808,0.0439905941720541,"FTR1/ARN2/FET3",3
"GO:0030003","cellular cation homeostasis","3/14","132/4568",0.0067971919298321,0.0604194838207297,0.047302095885966,"ARN2/FRE1/FET3",3
"GO:0098660","inorganic ion transmembrane transport","3/14","138/4568",0.00769017347090053,0.0647593555444255,0.0506997586170174,"FTR1/ARN2/FET3",3
"GO:0006873","cellular ion homeostasis","3/14","145/4568",0.00881715940895976,0.0703972602009654,0.05511364449944,"ARN2/FRE1/FET3",3
"GO:0006811","ion transport","4/14","287/4568",0.0092396404013767,0.0703972602009654,0.05511364449944,"FTR1/ARN2/FRE1/FET3",4
"GO:0098655","cation transmembrane transport","3/14","158/4568",0.0111598752087984,0.0811627287912614,0.0635418731984218,"FTR1/ARN2/FET3",3
"GO:0055082","cellular chemical homeostasis","3/14","169/4568",0.0134024570981016,0.0932344841607071,0.0729927869416062,"ARN2/FRE1/FET3",3
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0016722","oxidoreductase activity, acting on metal ions","2/14","13/4540",0.000675652113787914,0.0304043451204561,0.0270260845515166,"FRE1/FET3",2
"GO:0046915","transition metal ion transmembrane transporter activity","2/14","28/4540",0.00318887775479046,0.0717497494827854,0.0637775550958093,"FTR1/FET3",2
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:1902495","transmembrane transporter complex","2/14","14/4575",0.000775002833723699,0.0232909108377219,0.0149824572640316,"FTR1/FET3",2
"GO:0098797","plasma membrane protein complex","2/14","18/4575",0.00129393949098455,0.0232909108377219,0.0149824572640316,"FTR1/FET3",2
"GO:1990351","transporter complex","2/14","31/4575",0.00384416922077914,0.0415219390662552,0.0267100192823864,"FTR1/FET3",2
"GO:1990204","oxidoreductase complex","2/14","34/4575",0.00461354878513946,0.0415219390662552,0.0267100192823864,"FTR1/FET3",2
"GO:0005811","lipid droplet","2/14","52/4575",0.0105672259222028,0.0646040297990077,0.0415581478239231,"YEH1/LDS2",2
"GO:0005628","prospore membrane","2/14","61/4575",0.0143564510664462,0.0646040297990077,0.0415581478239231,"LDS2/SPO19",2
"GO:0042763","intracellular immature spore","2/14","61/4575",0.0143564510664462,0.0646040297990077,0.0415581478239231,"LDS2/SPO19",2
"GO:0042764","ascospore-type prospore","2/14","61/4575",0.0143564510664462,0.0646040297990077,0.0415581478239231,"LDS2/SPO19",2
