"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006826","iron ion transport","8/51","34/4568",1.98712127648535e-09,8.16706844635479e-07,7.04905126500593e-07,"SIT1/FTR1/ARN1/ARN2/FET3/ENB1/FIT2/FRE5",8
"GO:0000041","transition metal ion transport","9/51","56/4568",6.57514581391471e-09,1.0607782181223e-06,9.15564757349763e-07,"SIT1/FTR1/ARN1/ARN2/FET3/ATX1/ENB1/FIT2/FRE5",9
"GO:0055072","iron ion homeostasis","9/51","57/4568",7.74290670162262e-09,1.0607782181223e-06,9.15564757349763e-07,"SIT1/FTR1/ARN1/ARN2/FET3/ATX1/ENB1/FIT2/FRE5",9
"GO:0034755","iron ion transmembrane transport","6/51","16/4568",1.0532943715425e-08,1.08225996675991e-06,9.34105797920581e-07,"SIT1/FTR1/ARN1/ARN2/FET3/ENB1",6
"GO:0000920","septum digestion after cytokinesis","6/51","18/4568",2.40060790886492e-08,1.97329970108697e-06,1.70316813744732e-06,"AMN1/DSE1/DSE2/CTS1/EGT2/DSE4",6
"GO:1901678","iron coordination entity transport","5/51","14/4568",2.6356788180833e-07,1.64532835909871e-05,1.42009388402168e-05,"SIT1/ARN1/ARN2/ENB1/FIT2",5
"GO:0055076","transition metal ion homeostasis","9/51","85/4568",2.80226241209026e-07,1.64532835909871e-05,1.42009388402168e-05,"SIT1/FTR1/ARN1/ARN2/FET3/ATX1/ENB1/FIT2/FRE5",9
"GO:0030001","metal ion transport","9/51","87/4568",3.4327987190665e-07,1.76360034192042e-05,1.5221752214808e-05,"SIT1/FTR1/ARN1/ARN2/FET3/ATX1/ENB1/FIT2/FRE5",9
"GO:0006879","cellular iron ion homeostasis","7/51","50/4568",9.79416304390573e-07,4.47266779005028e-05,3.86038941028799e-05,"SIT1/ARN1/ARN2/FET3/ATX1/ENB1/FRE5",7
"GO:0055065","metal ion homeostasis","9/51","106/4568",1.87339747578853e-06,7.69966362549085e-05,6.64563104569194e-05,"SIT1/FTR1/ARN1/ARN2/FET3/ATX1/ENB1/FIT2/FRE5",9
"GO:0098771","inorganic ion homeostasis","9/51","136/4568",1.48292297200379e-05,0.000554073946812326,0.000478224920158161,"SIT1/FTR1/ARN1/ARN2/FET3/ATX1/ENB1/FIT2/FRE5",9
"GO:0046916","cellular transition metal ion homeostasis","7/51","77/4568",1.8743917514251e-05,0.000597015624292274,0.000515288168488913,"SIT1/ARN1/ARN2/FET3/ATX1/ENB1/FRE5",7
"GO:0055080","cation homeostasis","9/51","142/4568",2.10346008742849e-05,0.000597015624292274,0.000515288168488913,"SIT1/FTR1/ARN1/ARN2/FET3/ATX1/ENB1/FIT2/FRE5",9
"GO:0045229","external encapsulating structure organization","11/51","220/4568",2.17888913975282e-05,0.000597015624292274,0.000515288168488913,"ECM33/DSE1/DSE2/UTH1/CWP2/EXG2/SCW11/SCW4/CIS3/CCW12/CTS1",11
"GO:0071555","cell wall organization","11/51","220/4568",2.17888913975282e-05,0.000597015624292274,0.000515288168488913,"ECM33/DSE1/DSE2/UTH1/CWP2/EXG2/SCW11/SCW4/CIS3/CCW12/CTS1",11
"GO:0050801","ion homeostasis","9/51","157/4568",4.69172932534732e-05,0.00107802937724291,0.000930454347882851,"SIT1/FTR1/ARN1/ARN2/FET3/ATX1/ENB1/FIT2/FRE5",9
"GO:0006812","cation transport","10/51","197/4568",4.81458377614476e-05,0.00107802937724291,0.000930454347882851,"SIT1/FTR1/ARN1/ARN2/FET3/RSN1/ATX1/ENB1/FIT2/FRE5",10
"GO:0000749","response to pheromone triggering conjugation with cellular fusion","6/51","61/4568",4.98359079504019e-05,0.00107802937724291,0.000930454347882851,"DSE1/STE3/SAG1/AFB1/CCW12/MF(ALPHA)1",6
"GO:0071444","cellular response to pheromone","6/51","61/4568",4.98359079504019e-05,0.00107802937724291,0.000930454347882851,"DSE1/STE3/SAG1/AFB1/CCW12/MF(ALPHA)1",6
"GO:0051301","cell division","12/51","289/4568",5.57053335799552e-05,0.00114474460506808,0.00098803670612868,"AMN1/DSE1/DSE2/SKG6/UTH1/PCL2/BUD9/CLB1/RAX2/CTS1/EGT2/DSE4",12
"GO:0006875","cellular metal ion homeostasis","7/51","96/4568",7.9033203376635e-05,0.001546792694657,0.00133504709463288,"SIT1/ARN1/ARN2/FET3/ATX1/ENB1/FRE5",7
"GO:0071554","cell wall organization or biogenesis","11/51","260/4568",0.000102022236990574,0.00190596088196027,0.00164504755338868,"ECM33/DSE1/DSE2/UTH1/CWP2/EXG2/SCW11/SCW4/CIS3/CCW12/CTS1",11
"GO:0019236","response to pheromone","6/51","74/4568",0.000148890942805384,0.00266061641273969,0.00229639577690684,"DSE1/STE3/SAG1/AFB1/CCW12/MF(ALPHA)1",6
"GO:0000747","conjugation with cellular fusion","7/51","109/4568",0.000176873444269256,0.00302895773311101,0.00261431362801488,"DSE1/STE3/SCW4/SAG1/AFB1/CCW12/MF(ALPHA)1",7
"GO:0048878","chemical homeostasis","9/51","200/4568",0.000302998511043757,0.00498129552155936,0.00429938939881036,"SIT1/FTR1/ARN1/ARN2/FET3/ATX1/ENB1/FIT2/FRE5",9
"GO:0000272","polysaccharide catabolic process","3/51","15/4568",0.000542843984512546,0.00858111067825602,0.00740641387776227,"UTH1/EXG2/CTS1",3
"GO:0030003","cellular cation homeostasis","7/51","132/4568",0.000575092282223606,0.00875418251829266,0.00755579333759669,"SIT1/ARN1/ARN2/FET3/ATX1/ENB1/FRE5",7
"GO:0042592","homeostatic process","9/51","227/4568",0.000769726351276045,0.0112984832276591,0.00975179625488824,"SIT1/FTR1/ARN1/ARN2/FET3/ATX1/ENB1/FIT2/FRE5",9
"GO:0006873","cellular ion homeostasis","7/51","145/4568",0.00100827740216596,0.0142897245617314,0.012333556607257,"SIT1/ARN1/ARN2/FET3/ATX1/ENB1/FRE5",7
"GO:0006811","ion transport","10/51","287/4568",0.00104417883045923,0.0143052499772915,0.0123469566970092,"SIT1/FTR1/ARN1/ARN2/FET3/RSN1/ATX1/ENB1/FIT2/FRE5",10
"GO:0008360","regulation of cell shape","3/51","21/4568",0.00151354003563319,0.0200666114401691,0.0173196262142066,"GIC1/GIC2/RAX2",3
"GO:0098655","cation transmembrane transport","7/51","158/4568",0.00166652011966632,0.0214043677869642,0.0184742526423536,"SIT1/FTR1/ARN1/ARN2/FET3/RSN1/ENB1",7
"GO:0022604","regulation of cell morphogenesis","3/51","22/4568",0.00173879068979532,0.0216558476819962,0.0186913066175764,"GIC1/GIC2/RAX2",3
"GO:0055082","cellular chemical homeostasis","7/51","169/4568",0.00245219194114584,0.02964267317091,0.0255847889834721,"SIT1/ARN1/ARN2/FET3/ATX1/ENB1/FRE5",7
"GO:0098662","inorganic cation transmembrane transport","6/51","126/4568",0.00254617421449224,0.0298993600616089,0.025806337151395,"SIT1/FTR1/ARN1/ARN2/FET3/ENB1",6
"GO:0000750","pheromone-dependent signal transduction involved in conjugation with cellular fusion","3/51","26/4568",0.00284479075875078,0.0307686579433308,0.0265566339528813,"DSE1/STE3/MF(ALPHA)1",3
"GO:0031139","positive regulation of conjugation with cellular fusion","3/51","26/4568",0.00284479075875078,0.0307686579433308,0.0265566339528813,"DSE1/STE3/MF(ALPHA)1",3
"GO:0032005","signal transduction involved in positive regulation of conjugation with cellular fusion","3/51","26/4568",0.00284479075875078,0.0307686579433308,0.0265566339528813,"DSE1/STE3/MF(ALPHA)1",3
"GO:0022603","regulation of anatomical structure morphogenesis","3/51","27/4568",0.00317536577213198,0.0326268833086561,0.028160480663381,"GIC1/GIC2/RAX2",3
"GO:0031137","regulation of conjugation with cellular fusion","3/51","27/4568",0.00317536577213198,0.0326268833086561,0.028160480663381,"DSE1/STE3/MF(ALPHA)1",3
"GO:0098660","inorganic ion transmembrane transport","6/51","138/4568",0.00401224543301279,0.0402203139748355,0.0347144213331273,"SIT1/FTR1/ARN1/ARN2/FET3/ENB1",6
