Date	ExpNo	File.Name	Well.Number	Organism	ChemA	ChemB	concA	concB	Lag.Phase	Obs.L	Pred.L	Diff.L	Growth.Rate	Obs.G	Pred.G	Diff.G	Yield	Obs.Y	Pred.Y	Diff.Y	Yield25h	Obs.Y25	Pred.Y25	Diff.Y25
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	150, 160, 170, 180, 189, 190, 191-200	D. hansenii	Salt	Clotrimazole	0	0	6.870826898	0	NA	NA	0.092162845	0	NA	NA	4.247106064	0	NA	NA	3.267254813	0	NA	NA
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	188	D. hansenii	Salt	Clotrimazole	300	0	7.918872003	1.538320601	NA	NA	0.092778744	-0.668272569	NA	NA	4.374585614	-3.001562654	NA	NA	2.966637	9.485615292	NA	NA
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	187	D. hansenii	Salt	Clotrimazole	500	0	8.041989532	1.719032508	NA	NA	0.084356615	8.470040607	NA	NA	4.178769492	1.609014973	NA	NA	2.66731	18.93050063	NA	NA
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	186	D. hansenii	Salt	Clotrimazole	650	0	8.321448202	2.129221944	NA	NA	0.077614798	15.78515397	NA	NA	4.017943799	5.395727377	NA	NA	2.414496	26.90772701	NA	NA
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	185	D. hansenii	Salt	Clotrimazole	800	0	8.811648043	2.848737268	NA	NA	0.072670625	21.14976001	NA	NA	3.721453674	12.37671916	NA	NA	2.197085	33.76785645	NA	NA
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	184	D. hansenii	Salt	Clotrimazole	1000	0	9.561730908	3.949708894	NA	NA	0.06849534	25.68009416	NA	NA	3.468617484	18.32985964	NA	NA	2.017829	39.42405307	NA	NA
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	183	D. hansenii	Salt	Clotrimazole	1200	0	11.75089799	7.162968329	NA	NA	0.076704056	16.77334243	NA	NA	3.207737416	24.47239679	NA	NA	1.937105	41.97119691	NA	NA
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	182	D. hansenii	Salt	Clotrimazole	1300	0	11.84289384	7.29799984	NA	NA	0.069629971	24.4489788	NA	NA	2.95686429	30.37931605	NA	NA	1.736466	48.30210708	NA	NA
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	181	D. hansenii	Salt	Clotrimazole	1400	0	13.16363571	9.236584754	NA	NA	0.062114857	32.60314735	NA	NA	2.847654425	32.95071087	NA	NA	1.688624	49.81170095	NA	NA
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	109	D. hansenii	Salt	Clotrimazole	0	0.05	6.622102814	-0.365077211	NA	NA	0.091922358	0.260937408	NA	NA	4.236399099	0.252100247	NA	NA	3.063565	6.427174705	NA	NA
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	119	D. hansenii	Salt	Clotrimazole	0	0.15	10.13981135	4.798215364	NA	NA	0.06432088	30.20953267	NA	NA	3.873068199	8.806887794	NA	NA	1.944099	41.75051007	NA	NA
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	129	D. hansenii	Salt	Clotrimazole	0	0.3	27.13941554	29.75023433	NA	NA	0.039610945	57.02070103	NA	NA	2.211800069	47.9221843	NA	NA	0.3888485	90.8244748	NA	NA
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	139	D. hansenii	Salt	Clotrimazole	0	0.45	38.21803451	46.0114312	NA	NA	0.023943665	74.02026328	NA	NA	0.646462217	84.77875977	NA	NA	0.2004305	96.76976675	NA	NA
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	149	D. hansenii	Salt	Clotrimazole	0	0.6	39.18738514	47.43424406	NA	NA	0.017700373	80.7944592	NA	NA	0.342126243	91.94448555	NA	NA	0.1765596	97.52298284	NA	NA
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	159	D. hansenii	Salt	Clotrimazole	0	0.7	40.22567706	48.95824894	NA	NA	0	100	NA	NA	0.287766404	93.2244121	NA	NA	0.1984532	96.83215795	NA	NA
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	169	D. hansenii	Salt	Clotrimazole	0	0.8	43.07330008	53.13798999	NA	NA	0	100	NA	NA	0.231952056	94.53858574	NA	NA	0.186349	97.21409069	NA	NA
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	179	D. hansenii	Salt	Clotrimazole	0	1	50.78399354	64.45574582	NA	NA	0	100	NA	NA	0.268143028	93.68645322	NA	NA	0.1924397	97.02190635	NA	NA
