Date	ExpNo	File.Name	Well.Number	Organism	ChemA	ChemB	concA	concB	Lag.Phase	Obs.L	Pred.L	Diff.L	Growth.Rate	Obs.G	Pred.G	Diff.G	Yield	Obs.Y	Pred.Y	Diff.Y	Yield25h	Obs.Y25	Pred.Y25	Diff.Y25
1082017	198	P197 P198 VMU 01082017 Trimmed F.csv	150, 160, 170, 180, 189, 190, 191-200	S. cerevisiae	Salt	Clotrimazole	0	0	6.682877349	0	NA	NA	0.101938492	0	NA	NA	3.155923352	0	NA	NA	3.3745575	0	NA	NA
1082017	198	P197 P198 VMU 01082017 Trimmed F.csv	188	S. cerevisiae	Salt	Clotrimazole	300	0	7.400436124	1.345831769	NA	NA	0.096633629	5.203984811	NA	NA	3.37412107	-6.913910572	NA	NA	3.586846	-6.867286177	NA	NA
1082017	198	P197 P198 VMU 01082017 Trimmed F.csv	187	S. cerevisiae	Salt	Clotrimazole	500	0	9.908058433	6.049053144	NA	NA	0.115008127	-12.82109915	NA	NA	3.43080005	-8.709866122	NA	NA	3.64888	-8.874013959	NA	NA
1082017	198	P197 P198 VMU 01082017 Trimmed F.csv	186	S. cerevisiae	Salt	Clotrimazole	600	0	9.031466904	4.404944299	NA	NA	0.068769394	32.53834485	NA	NA	3.374698862	-6.932218765	NA	NA	2.547669	26.74888167	NA	NA
1082017	198	P197 P198 VMU 01082017 Trimmed F.csv	185	S. cerevisiae	Salt	Clotrimazole	700	0	9.862100069	5.962855011	NA	NA	0.06307643	38.12304957	NA	NA	3.277106106	-3.839851008	NA	NA	2.059031	42.5557529	NA	NA
1082017	198	P197 P198 VMU 01082017 Trimmed F.csv	184	S. cerevisiae	Salt	Clotrimazole	800	0	11.23998015	8.547165673	NA	NA	0.054549591	46.48774011	NA	NA	3.039362401	3.693402465	NA	NA	1.337057	65.91077246	NA	NA
1082017	198	P197 P198 VMU 01082017 Trimmed F.csv	183	S. cerevisiae	Salt	Clotrimazole	900	0	11.46396218	8.96725966	NA	NA	0.058876823	42.24279577	NA	NA	2.944635004	6.694977168	NA	NA	0.7497958	84.90798955	NA	NA
1082017	198	P197 P198 VMU 01082017 Trimmed F.csv	182	S. cerevisiae	Salt	Clotrimazole	1000	0	11.4291361	8.901940905	NA	NA	0.052230492	48.7627386	NA	NA	2.8238684	10.52164183	NA	NA	0.6018872	89.69266081	NA	NA
1082017	198	P197 P198 VMU 01082017 Trimmed F.csv	181	S. cerevisiae	Salt	Clotrimazole	1200	0	17.19642037	19.71888673	NA	NA	0.036791823	63.90782151	NA	NA	0.9944751	68.48861683	NA	NA	0.4279461	95.31945318	NA	NA
1082017	198	P197 P198 VMU 01082017 Trimmed F.csv	109	S. cerevisiae	Salt	Clotrimazole	0	0.15	6.793179031	0.206878534	NA	NA	0.092629189	9.13227524	NA	NA	2.900402322	8.096553711	NA	NA	3.116632	8.343590071	NA	NA
1082017	198	P197 P198 VMU 01082017 Trimmed F.csv	119	S. cerevisiae	Salt	Clotrimazole	0	0.2	7.028417988	0.648085684	NA	NA	0.091425873	10.31270797	NA	NA	2.894391358	8.287019823	NA	NA	3.106235	8.679920934	NA	NA
1082017	198	P197 P198 VMU 01082017 Trimmed F.csv	129	S. cerevisiae	Salt	Clotrimazole	0	0.3	6.35027834	-0.62381275	NA	NA	0.086167424	15.47116097	NA	NA	2.745654374	12.99996646	NA	NA	2.955025	13.57138864	NA	NA
1082017	198	P197 P198 VMU 01082017 Trimmed F.csv	139	S. cerevisiae	Salt	Clotrimazole	0	0.4	4.949391273	-3.251274619	NA	NA	0.047726409	53.18117005	NA	NA	1.930415645	38.83198576	NA	NA	1.628179	56.49331421	NA	NA
