sampleName	fileName	condition
19_Dh_C1	P9503_119.txt	Ctrl
20_Dh_C2	P9503_120.txt	Ctrl
21_Dh_C3	P9503_121.txt	Ctrl
22_Dh_A3S1	P9503_122.txt	Salt1
23_Dh_A3S2	P9503_123.txt	Salt1
24_Dh_A3S3	P9503_124.txt	Salt1
25_Dh_SP1	P9503_125.txt	SaPa
26_Dh_SP2	P9503_126.txt	SaPa
27_Dh_SP3	P9503_127.txt	SaPa
28_Dh_P1	P9503_128.txt	Para
29_Dh_P2	P9503_129.txt	Para
30_Dh_P3	P9503_130.txt	Para
31_Dh_A6S1	P9503_131.txt	Salt2
32_Dh_A6S2	P9503_132.txt	Salt2
33_Dh_A6S3	P9503_133.txt	Salt2
34_Dh_R1	P9503_134.txt	Rapa
35_Dh_R2	P9503_135.txt	Rapa
36_Dh_R3	P9503_136.txt	Rapa
37_Dh_SR1	P9503_137.txt	SaRa
38_Dh_SR2	P9503_138.txt	SaRa
39_Dh_SR3	P9503_139.txt	SaRa
