sampleName	fileName	condition
1_Sc_C1	P9503_101.txt	Ctrl
2_Sc_C2	P9503_102.txt	Ctrl
3_Sc_C3	P9503_103.txt	Ctrl
4_Sc_S1	P9503_104.txt	Salt
5_Sc_S2	P9503_105.txt	Salt
6_Sc_S3	P9503_106.txt	Salt
7_Sc_SP1	P9503_107.txt	SaPa
8_Sc_SP2	P9503_108.txt	SaPa
9_Sc_SP3	P9503_109.txt	SaPa
10_Sc_P1	P9503_110.txt	Para
11_Sc_P2	P9503_111.txt	Para
12_Sc_P3	P9503_112.txt	Para
13_Sc_R1	P9503_113.txt	Rapa
14_Sc_R2	P9503_114.txt	Rapa
15_Sc_R3	P9503_115.txt	Rapa
16_Sc_SR1	P9503_116.txt	SaRa
17_Sc_SR2	P9503_117.txt	SaRa
18_Sc_SR3	P9503_118.txt	SaRa
