Sample	Unique Reads	Duplicate Reads
P9503_119_S19_L001_R1_001	2292547.0	5475990.0
P9503_119_S19_L001_R2_001	2293398.0	5475139.0
P9503_119_S19_L002_R1_001	2277659.0	5527147.0
P9503_119_S19_L002_R2_001	2322931.0	5481875.0
P9503_119_S19_L003_R1_001	2335125.0	5562621.0
P9503_119_S19_L003_R2_001	2345667.0	5552079.0
P9503_120_S20_L001_R1_001	2418402.0	5888092.0
P9503_120_S20_L001_R2_001	2409864.0	5896630.0
P9503_120_S20_L002_R1_001	2382700.0	6001069.0
P9503_120_S20_L002_R2_001	2451743.0	5932026.0
P9503_120_S20_L003_R1_001	2453956.0	6016243.0
P9503_120_S20_L003_R2_001	2479019.0	5991180.0
P9503_121_S21_L001_R1_001	2423261.0	6228860.0
P9503_121_S21_L001_R2_001	2457911.0	6194210.0
P9503_121_S21_L002_R1_001	2403023.0	6303206.0
P9503_121_S21_L002_R2_001	2491265.0	6214964.0
P9503_121_S21_L003_R1_001	2436082.0	6383650.0
P9503_121_S21_L003_R2_001	2508231.0	6311501.0
P9503_122_S22_L001_R1_001	2117744.0	4897208.0
P9503_122_S22_L001_R2_001	2171607.0	4843345.0
P9503_122_S22_L002_R1_001	2109518.0	4961960.0
P9503_122_S22_L002_R2_001	2194337.0	4877141.0
P9503_122_S22_L003_R1_001	2147417.0	4984596.0
P9503_122_S22_L003_R2_001	2219956.0	4912057.0
P9503_123_S23_L001_R1_001	2322900.0	5568944.0
P9503_123_S23_L001_R2_001	2432519.0	5459325.0
P9503_123_S23_L002_R1_001	2312888.0	5616663.0
P9503_123_S23_L002_R2_001	2459360.0	5470191.0
P9503_123_S23_L003_R1_001	2350916.0	5629883.0
P9503_123_S23_L003_R2_001	2489290.0	5491509.0
P9503_124_S24_L001_R1_001	2193851.0	3852375.0
P9503_124_S24_L001_R2_001	2283437.0	3762789.0
P9503_124_S24_L002_R1_001	2201440.0	3894662.0
P9503_124_S24_L002_R2_001	2316752.0	3779350.0
P9503_124_S24_L003_R1_001	2289483.0	3859118.0
P9503_124_S24_L003_R2_001	2332756.0	3815845.0
P9503_125_S25_L001_R1_001	2537712.0	5787746.0
P9503_125_S25_L001_R2_001	2538245.0	5787213.0
P9503_125_S25_L002_R1_001	2536430.0	5810271.0
P9503_125_S25_L002_R2_001	2566470.0	5780231.0
P9503_125_S25_L003_R1_001	2575613.0	5879252.0
P9503_125_S25_L003_R2_001	2594236.0	5860629.0
P9503_126_S26_L001_R1_001	2645272.0	6393278.0
P9503_126_S26_L001_R2_001	2642123.0	6396427.0
P9503_126_S26_L002_R1_001	2624562.0	6428283.0
P9503_126_S26_L002_R2_001	2671004.0	6381841.0
P9503_126_S26_L003_R1_001	2680332.0	6473223.0
P9503_126_S26_L003_R2_001	2671432.0	6482123.0
P9503_127_S27_L001_R1_001	2320768.0	5003653.0
P9503_127_S27_L001_R2_001	2344701.0	4979720.0
P9503_127_S27_L002_R1_001	2285785.0	5042757.0
P9503_127_S27_L002_R2_001	2338319.0	4990223.0
P9503_127_S27_L003_R1_001	2346586.0	5089646.0
P9503_127_S27_L003_R2_001	2376847.0	5059385.0
P9503_128_S28_L001_R1_001	2410315.0	4396053.0
P9503_128_S28_L001_R2_001	2425466.0	4380902.0
P9503_128_S28_L002_R1_001	2403044.0	4438128.0
P9503_128_S28_L002_R2_001	2456100.0	4385072.0
P9503_128_S28_L003_R1_001	2452845.0	4488917.0
P9503_128_S28_L003_R2_001	2486258.0	4455504.0
P9503_129_S29_L001_R1_001	2626199.0	4768667.0
P9503_129_S29_L001_R2_001	2671509.0	4723357.0
P9503_129_S29_L002_R1_001	2588805.0	4815496.0
P9503_129_S29_L002_R2_001	2687418.0	4716883.0
P9503_129_S29_L003_R1_001	2639251.0	4876283.0
P9503_129_S29_L003_R2_001	2716824.0	4798710.0
P9503_130_S30_L001_R1_001	2505966.0	4429221.0
P9503_130_S30_L001_R2_001	2612883.0	4322304.0
P9503_130_S30_L002_R1_001	2526841.0	4436852.0
P9503_130_S30_L002_R2_001	2633676.0	4330017.0
P9503_130_S30_L003_R1_001	2556419.0	4482298.0
P9503_130_S30_L003_R2_001	2661461.0	4377256.0
P9503_131_S31_L001_R1_001	2289752.0	4754639.0
P9503_131_S31_L001_R2_001	2397153.0	4647238.0
P9503_131_S31_L002_R1_001	2281312.0	4772316.0
P9503_131_S31_L002_R2_001	2408164.0	4645464.0
P9503_131_S31_L003_R1_001	2318553.0	4799770.0
P9503_131_S31_L003_R2_001	2442008.0	4676315.0
P9503_132_S32_L001_R1_001	1992423.0	3873344.0
P9503_132_S32_L001_R2_001	2062299.0	3803468.0
P9503_132_S32_L002_R1_001	1994007.0	3906948.0
P9503_132_S32_L002_R2_001	2086613.0	3814342.0
P9503_132_S32_L003_R1_001	2196295.0	3769688.0
P9503_132_S32_L003_R2_001	2123086.0	3842897.0
P9503_133_S33_L001_R1_001	2535584.0	5957037.0
P9503_133_S33_L001_R2_001	2533295.0	5959326.0
P9503_133_S33_L002_R1_001	2511850.0	6000262.0
P9503_133_S33_L002_R2_001	2559479.0	5952633.0
P9503_133_S33_L003_R1_001	2584432.0	6041056.0
P9503_133_S33_L003_R2_001	2592386.0	6033102.0
P9503_134_S34_L001_R1_001	2425602.0	6826902.0
P9503_134_S34_L001_R2_001	2473320.0	6779184.0
P9503_134_S34_L002_R1_001	2404118.0	6861295.0
P9503_134_S34_L002_R2_001	2457037.0	6808376.0
P9503_134_S34_L003_R1_001	2448321.0	6918945.0
P9503_134_S34_L003_R2_001	2493034.0	6874232.0
P9503_135_S35_L001_R1_001	2417759.0	6626862.0
P9503_135_S35_L001_R2_001	2436432.0	6608189.0
P9503_135_S35_L002_R1_001	2386207.0	6661737.0
P9503_135_S35_L002_R2_001	2431349.0	6616595.0
P9503_135_S35_L003_R1_001	2469963.0	6701789.0
P9503_135_S35_L003_R2_001	2504153.0	6667599.0
P9503_136_S36_L001_R1_001	2286311.0	6192106.0
P9503_136_S36_L001_R2_001	2290626.0	6187791.0
P9503_136_S36_L002_R1_001	2241444.0	6287684.0
P9503_136_S36_L002_R2_001	2304899.0	6224229.0
P9503_136_S36_L003_R1_001	2298498.0	6334174.0
P9503_136_S36_L003_R2_001	2359419.0	6273253.0
P9503_137_S37_L001_R1_001	2627759.0	5617564.0
P9503_137_S37_L001_R2_001	2703815.0	5541508.0
P9503_137_S37_L002_R1_001	2595852.0	5679695.0
P9503_137_S37_L002_R2_001	2736884.0	5538663.0
P9503_137_S37_L003_R1_001	2653629.0	5722993.0
P9503_137_S37_L003_R2_001	2760394.0	5616228.0
P9503_138_S38_L001_R1_001	2402317.0	4771114.0
P9503_138_S38_L001_R2_001	2489217.0	4684214.0
P9503_138_S38_L002_R1_001	2402494.0	4788332.0
P9503_138_S38_L002_R2_001	2498526.0	4692300.0
P9503_138_S38_L003_R1_001	2436677.0	4838266.0
P9503_138_S38_L003_R2_001	2528598.0	4746345.0
P9503_139_S39_L001_R1_001	2675226.0	5456646.0
P9503_139_S39_L001_R2_001	2816994.0	5314878.0
P9503_139_S39_L002_R1_001	2641831.0	5493516.0
P9503_139_S39_L002_R2_001	2826036.0	5309311.0
P9503_139_S39_L003_R1_001	2710907.0	5489646.0
P9503_139_S39_L003_R2_001	2865996.0	5334557.0
