Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P9503_119_S19_L001_R1_001	P9503_119_S19_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7768537.0	0.0	126.0	40.0	29.51065537226364	126.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
P9503_119_S19_L001_R2_001	P9503_119_S19_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7768537.0	0.0	126.0	40.0	29.521618351709506	126.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
P9503_119_S19_L002_R1_001	P9503_119_S19_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7804806.0	0.0	126.0	40.0	29.182765594920852	126.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
P9503_119_S19_L002_R2_001	P9503_119_S19_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7804806.0	0.0	126.0	40.0	29.76282563462389	126.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
P9503_119_S19_L003_R1_001	P9503_119_S19_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7897746.0	0.0	126.0	40.0	29.566978624307104	126.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
P9503_119_S19_L003_R2_001	P9503_119_S19_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7897746.0	0.0	126.0	40.0	29.700459915058737	126.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
P9503_120_S20_L001_R1_001	P9503_120_S20_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8306494.0	0.0	126.0	40.0	29.114586049452917	126.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
P9503_120_S20_L001_R2_001	P9503_120_S20_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8306494.0	0.0	126.0	40.0	29.011796963122695	126.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
P9503_120_S20_L002_R1_001	P9503_120_S20_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8383769.0	0.0	126.0	40.0	28.420385973435486	126.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
P9503_120_S20_L002_R2_001	P9503_120_S20_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8383769.0	0.0	126.0	40.0	29.243921171114522	126.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
