Sample	HISAT2_mqc-generalstats-hisat2-overall_alignment_rate	HTSeq Count_mqc-generalstats-htseq_count-percent_assigned	HTSeq Count_mqc-generalstats-htseq_count-assigned	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
119_L001	81.23														
119_L002	81.23														
119_L003	80.83														
120_L001	81.25														
120_L002	81.28														
120_L003	80.88														
121_L001	81.28														
121_L002	81.27														
121_L003	80.87														
122_L001	81.29														
122_L002	81.31														
122_L003	80.91														
123_L001	80.51														
123_L002	80.52														
123_L003	80.15														
124_L001	72.67														
124_L002	72.66														
124_L003	72.35														
125_L001	80.59														
125_L002	80.61														
125_L003	80.18														
126_L001	80.41														
126_L002	80.44														
126_L003	80.02														
127_L001	80.97														
127_L002	81.0														
127_L003	80.58														
128_L001	75.1														
128_L002	75.13														
128_L003	74.65														
129_L001	74.01														
129_L002	74.02														
129_L003	73.55														
130_L001	73.85														
130_L002	73.87														
130_L003	73.39														
131_L001	78.46														
131_L002	78.49														
131_L003	78.07														
132_L001	78.61														
132_L002	78.67														
132_L003	78.25														
133_L001	79.84														
133_L002	79.86														
133_L003	79.46														
134_L001	81.39														
134_L002	81.38														
134_L003	81.01														
135_L001	81.36														
135_L002	81.38														
135_L003	80.96														
136_L001	81.92														
136_L002	81.94														
136_L003	81.53														
137_L001	78.48														
137_L002	78.55														
137_L003	78.14														
138_L001	78.6														
138_L002	78.61														
138_L003	78.18														
139_L001	76.79														
139_L002	76.79														
139_L003	76.39														
P9503_119		71.14371611284646	15655714												
P9503_119_MRG_STAT				0.01510804	183467.0	35632042.0	81.0947090043424	69.32319498939434	0.15954236346918896	43938800.0					
P9503_119_S19_L001				0.01500915	60081.0	11816015.0	81.22814796483051	69.50486364605031	0.15679157472141447	14546700.0					
P9503_119_S19_L001_R1_001											70.48934462773636	40.0	126.0	18.181818181818183	7768537.0
P9503_119_S19_L001_R2_001											70.4783816482905	40.0	126.0	18.181818181818183	7768537.0
P9503_119_S19_L002				0.01504059	62067.0	11866669.0	81.22704794452942	69.51130577610444	0.16226696797332213	14609258.0					
