Sample	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
119_L001	7273350	2043149	5033714	21618	174869	4086298	2730685	1346095	9518	81.23
119_L002	7304629	2053051	5055287	22256	174035	4106102	2742589	1353778	9735	81.23
119_L003	7391421	2119443	5074886	22129	174963	4238886	2833484	1395794	9608	80.83
120_L001	7695691	2159537	5303520	24186	208448	4319074	2885726	1421954	11394	81.25
120_L002	7762000	2179303	5350099	23330	209268	4358606	2906240	1441479	10887	81.28
120_L003	7843432	2248492	5363493	23751	207696	4496984	2998815	1487186	10983	80.88
121_L001	7934054	2235595	5441772	26582	230105	4471190	2970747	1488642	11801	81.28
121_L002	7976601	2248508	5471198	26085	230810	4497016	2987251	1498632	11133	81.27
121_L003	8084800	2326790	5500248	27475	230287	4653580	3093433	1548097	12050	80.87
122_L001	6502843	1832997	4498417	19411	152018	3665994	2433023	1225225	7746	81.29
122_L002	6551278	1846548	4532378	19059	153293	3693096	2448585	1236885	7626	81.31
122_L003	6608133	1902341	4534229	19517	152046	3804682	2523387	1273798	7497	80.91
123_L001	7267307	2109108	4958685	22376	177138	4218216	2832322	1377464	8430	80.51
123_L002	7299294	2117978	4982046	22435	176835	4235956	2844256	1382623	9077	80.52
123_L003	7347384	2171478	4977960	22597	175349	4342956	2917090	1416826	9040	80.15
124_L001	5548828	1984369	3430565	14875	119019	3968738	3032725	930304	5709	72.67
124_L002	5590612	2000913	3456064	14776	118859	4001826	3057359	939008	5459	72.66
124_L003	5639294	2044013	3461380	15589	118312	4088026	3117997	964460	5569	72.35
125_L001	7773722	2251966	5312883	20124	188749	4503932	3017199	1477336	9397	80.59
125_L002	7791110	2258163	5325487	20266	187194	4516326	3021196	1485854	9276	80.61
125_L003	7893851	2336150	5350241	20688	186772	4672300	3128746	1533915	9639	80.18
126_L001	8434749	2468705	5737168	22189	206687	4937410	3304042	1622786	10582	80.41
126_L002	8442688	2470408	5744631	22255	205394	4940816	3303290	1626531	10995	80.44
126_L003	8537324	2548820	5761473	22301	204730	5097640	3411178	1674882	11580	80.02
127_L001	6858170	1960047	4718016	19032	161075	3920094	2609968	1301295	8831	80.97
127_L002	6857805	1957604	4721249	18918	160034	3915208	2605875	1300592	8741	81.0
127_L003	6960582	2029679	4751421	19077	160405	4059358	2702998	1348441	7919	80.58
128_L001	6252803	2236003	3834215	15576	167009	4472006	3114185	1349096	8725	75.1
128_L002	6280732	2245672	3852969	15682	166409	4491344	3124496	1358287	8561	75.13
128_L003	6375044	2321005	3871274	15456	167309	4642010	3232401	1401108	8501	74.65
129_L001	6803083	2552164	4078388	13707	158824	5104328	3535852	1560303	8173	74.01
129_L002	6809014	2555116	4081618	14073	158207	5110232	3538380	1563378	8474	74.02
129_L003	6913563	2639155	4101905	13940	158563	5278310	3657488	1612732	8090	73.55
130_L001	6426166	2409121	3867734	12292	137019	4818242	3360546	1450797	6899	73.85
130_L002	6451283	2418498	3883685	12428	136672	4836996	3371533	1458523	6940	73.87
130_L003	6520257	2488152	3883966	12458	135681	4976304	3470487	1498873	6944	73.39
131_L001	6501596	2038703	4291677	17368	153848	4077406	2800486	1268077	8843	78.46
131_L002	6505802	2038330	4298095	16699	152678	4076660	2798967	1269741	7952	78.49
131_L003	6566856	2096212	4301412	17273	151959	4192424	2880313	1303417	8694	78.07
132_L001	5417968	1695981	3588066	13573	120348	3391962	2317493	1067750	6719	78.61
132_L002	5446498	1702700	3610720	13554	119524	3405400	2324014	1074509	6877	78.67
132_L003	5507814	1753199	3621427	13897	119291	3506398	2396120	1103440	6838	78.25
133_L001	7887382	2360780	5314932	20950	190720	4721560	3180279	1531089	10192	79.84
133_L002	7899835	2363856	5326270	20714	188995	4727712	3182241	1534914	10557	79.86
133_L003	8005541	2441973	5354582	20666	188320	4883946	3287879	1585398	10669	79.46
134_L001	8594047	2384329	5956587	28115	225016	4768658	3198525	1556715	13418	81.39
134_L002	8599836	2388806	5958849	28312	223869	4777612	3202406	1562622	12584	81.38
134_L003	8698797	2464246	5981752	28465	224334	4928492	3304475	1609454	14563	81.01
135_L001	8463146	2359847	5878625	28677	195997	4719694	3155041	1551033	13620	81.36
135_L002	8459865	2358003	5879893	27272	194697	4716006	3151063	1552046	12897	81.38
135_L003	8580157	2443394	5914248	27465	195050	4886788	3268092	1605398	13298	80.96
136_L001	7858164	2131196	5508400	27734	190834	4262392	2842145	1407337	12910	81.92
136_L002	7899432	2142025	5540979	26765	189663	4284050	2854054	1417356	12640	81.94
136_L003	7996029	2215130	5565315	25606	189978	4430260	2954082	1465206	10972	81.53
137_L001	7510437	2381630	4903239	20557	205011	4763260	3231919	1520398	10943	78.48
137_L002	7532806	2385018	4920560	21078	206150	4770036	3230909	1527159	11968	78.55
137_L003	7630076	2462296	4941244	20931	205605	4924592	3335927	1577068	11597	78.14
138_L001	6693066	2131332	4411204	15763	134767	4262664	2864444	1389632	8588	78.6
138_L002	6706654	2135394	4421650	15936	133674	4270788	2869725	1392412	8651	78.61
138_L003	6785335	2202131	4433149	16480	133575	4404262	2960742	1434496	9024	78.18
139_L001	7454835	2482039	4785663	18327	168806	4964078	3460780	1493278	10020	76.79
139_L002	7453311	2483061	4783071	18613	168566	4966122	3459808	1495816	10498	76.79
139_L003	7517078	2548004	4783733	18235	167106	5096008	3550121	1535843	10044	76.39
