Sample	no_feature	ambiguous	too_low_aQual	not_aligned	alignment_not_unique	assigned	total_count	percent_assigned
P9503_119	191491	98682	3651974	2324200	83697	15655714	22005758	71.14371611284646
P9503_120	194689	100801	3816828	2483267	91720	16657624	23344929	71.35435708542956
P9503_121	265711	153426	3945256	2549595	101247	17023641	24038876	70.81712555944796
P9503_122	218679	93457	3355200	2022574	71676	13930042	19691628	70.74093619887599
P9503_123	240037	99380	3728498	2429727	83336	15367809	21948787	70.01666652466945
P9503_124	167167	43290	2538660	3332894	55211	10665808	16803030	63.47550412038782
P9503_125	206435	90010	4020572	2569631	78718	16533042	23498408	70.35813660227535
P9503_126	220772	105046	4401090	2804300	87557	17838835	25457600	70.0727287725473
P9503_127	171469	109467	3538642	2187033	72627	14629223	20708461	70.6436996935697
P9503_128	229430	52779	3637155	2913553	62320	12050662	18945899	63.60564890586612
P9503_129	319537	114539	4276719	3223809	57012	12565480	20557096	61.124781438000774
P9503_130	308948	75759	4018658	3089070	49740	11884260	19426435	61.17571237337165
P9503_131	214836	76801	3450178	2511288	66964	13285262	19605329	67.76352490692709
P9503_132	179901	44297	2942773	2044457	53464	11132388	16397280	67.89167471678229
P9503_133	203008	96925	4166020	2737817	82104	16545468	23831342	69.42734488053588
P9503_134	206998	135275	4159535	2768520	109581	18557130	25937039	71.54683308298992
P9503_135	202157	143132	4212853	2676393	107939	18198239	25540713	71.25188321876527
P9503_136	176058	108743	3815606	2413394	102155	17174678	23790634	72.19092185605479
P9503_137	272828	118533	4083060	2853169	83592	15302665	22713847	67.37152451542005
P9503_138	229664	104135	3864583	2411483	64224	13536286	20210375	66.97691655894559
P9503_139	252281	81059	4088497	3186548	73772	14777070	22459227	65.79509615357644
