Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
P9503_119_MRG_STAT	43938800.0	0.0	43938800.0	1.0	21969400.0	21969400.0	35632042.0	31973684.0	8306758.0	30459780.0	43938800.0	0.0	70101.0	0.0	183467.0	0.0	4946120525.0	2480184140.0	2465936385.0	4014288685.0	3995057544.0	0.0	0.0	60357503.0	0.01510804	112.0	113.0	112.0	114.0	114.0	114.0	35.6	208.2	67.8	15222351.0	691377.0	4497.0	68617.0	69.3	81.0947090043424	72.76867825247845	18.905290995657598	69.32319498939434	100.0	0.0	0.15954236346918896	0.0
P9503_119_S19_L001	14546700.0	0.0	14546700.0	1.0	7273350.0	7273350.0	11816015.0	10614406.0	2730685.0	10110664.0	14546700.0	0.0	22808.0	0.0	60081.0	0.0	1638320875.0	821483478.0	816837397.0	1331812709.0	1325455425.0	0.0	0.0	19893960.0	0.01500915	112.0	113.0	112.0	114.0	114.0	114.0	35.7	208.0	67.7	5052454.0	230434.0	1527.0	22788.0	69.5	81.22814796483051	72.96779338269161	18.771852035169488	69.50486364605031	100.0	0.0	0.15679157472141447	0.0
P9503_119_S19_L002	14609258.0	0.0	14609258.0	1.0	7304629.0	7304629.0	11866669.0	10657384.0	2742589.0	10155086.0	14609258.0	0.0	23706.0	0.0	62067.0	0.0	1643140855.0	824137997.0	819002858.0	1335807368.0	1329421409.0	0.0	0.0	19995289.0	0.01504059	112.0	113.0	112.0	114.0	114.0	114.0	35.6	208.2	67.7	5075358.0	228956.0	1498.0	22880.0	69.5	81.22704794452942	72.94952282997535	18.77295205547058	69.51130577610444	100.0	0.0	0.16226696797332213	0.0
P9503_119_S19_L003	14782842.0	0.0	14782842.0	1.0	7391421.0	7391421.0	11949358.0	10701894.0	2833484.0	10194030.0	14782842.0	0.0	23587.0	0.0	61319.0	0.0	1664658795.0	834562665.0	830096130.0	1346668608.0	1340180710.0	0.0	0.0	20468254.0	0.01527276	112.0	113.0	112.0	114.0	114.0	114.0	35.6	208.3	67.9	5094539.0	231987.0	1472.0	22949.0	69.0	80.83261662405646	72.39402274609984	19.16738337594354	68.95852637808075	100.0	0.0	0.15955659946849193	0.0
P9503_120_MRG_STAT	46602246.0	0.0	46602246.0	1.0	23301123.0	23301123.0	37811465.0	33987218.0	8790781.0	32176758.0	46602246.0	0.0	75906.0	0.0	202442.0	0.0	5236255685.0	2631788859.0	2604466826.0	4252414584.0	4231753848.0	0.0	0.0	64157918.0	0.01516107	112.0	113.0	112.0	114.0	114.0	114.0	35.5	204.9	69.3	16081266.0	840490.0	4097.0	67756.0	69.0	81.13657225877053	72.93042914712737	18.86342774122947	69.04550909413251	100.0	0.0	0.1628805615935335	0.0
P9503_120_S20_L001	15391382.0	0.0	15391382.0	1.0	7695691.0	7695691.0	12505656.0	11255208.0	2885726.0	10655412.0	15391382.0	0.0	25491.0	0.0	69690.0	0.0	1730302703.0	869555040.0	860747663.0	1407141732.0	1400319754.0	0.0	0.0	21084167.0	0.01505668	112.0	113.0	112.0	114.0	114.0	114.0	35.6	204.9	69.4	5324844.0	279238.0	1319.0	22203.0	69.2	81.25102736063597	73.12668868851414	18.748972639364027	69.22972868843097	100.0	0.0	0.16561865594655503	0.0
P9503_120_S20_L002	15524000.0	0.0	15524000.0	1.0	7762000.0	7762000.0	12617760.0	11351268.0	2906240.0	10746858.0	15524000.0	0.0	24741.0	0.0	65200.0	0.0	1742675252.0	876207275.0	866467977.0	1417786836.0	1410926641.0	0.0	0.0	21297272.0	0.01509453	112.0	113.0	112.0	114.0	114.0	114.0	35.5	204.8	69.3	5371855.0	279731.0	1414.0	22634.0	69.2	81.27905179077557	73.12076784333934	18.720948209224428	69.22737696469981	100.0	0.0	0.15937258438546767	0.0
P9503_120_S20_L003	15686864.0	0.0	15686864.0	1.0	7843432.0	7843432.0	12688049.0	11380742.0	2998815.0	10774488.0	15686864.0	0.0	25674.0	0.0	67552.0	0.0	1763277730.0	886026544.0	877251186.0	1427486016.0	1420507453.0	0.0	0.0	21776479.0	0.01533007	112.0	113.0	112.0	114.0	114.0	114.0	35.5	204.9	69.3	5384567.0	281521.0	1364.0	22919.0	68.7	80.88327278160887	72.5495038396457	19.116727218391134	68.68477982597415	100.0	0.0	0.16366559944677278	0.0
P9503_121_MRG_STAT	47990910.0	0.0	47990910.0	1.0	23995455.0	23995455.0	38939479.0	34987238.0	9051431.0	32986720.0	47990910.0	0.0	84781.0	0.0	223306.0	0.0	5394730403.0	2709897690.0	2684832713.0	4381417096.0	4360007044.0	0.0	0.0	65538267.0	0.01503169	112.0	113.0	112.0	114.0	114.0	114.0	35.5	206.5	68.4	16486407.0	879855.0	8755.0	118602.0	68.7	81.1392803345467	72.90388533995292	18.860719665453313	68.73535009025667	100.0	0.0	0.17666053842279716	0.0
P9503_121_S21_L001	15868108.0	0.0	15868108.0	1.0	7934054.0	7934054.0	12897361.0	11600182.0	2970747.0	10936708.0	15868108.0	0.0	28432.0	0.0	75031.0	0.0	1784684666.0	896420813.0	888263853.0	1451902004.0	1444826070.0	0.0	0.0	21571042.0	0.01492985	112.0	113.0	112.0	114.0	114.0	114.0	35.6	206.4	68.3	5465882.0	292267.0	2898.0	39044.0	68.9	81.27850528872125	73.103749987081	18.721494711278748	68.92257098325774	100.0	0.0	0.17917700081194304	0.0
