Sample	Unique Reads	Duplicate Reads
P9503_101_S1_L001_R1_001	2196319.0	4256888.0
P9503_101_S1_L001_R2_001	2222430.0	4230777.0
P9503_101_S1_L002_R1_001	2204170.0	4251228.0
P9503_101_S1_L002_R2_001	2247506.0	4207892.0
P9503_101_S1_L003_R1_001	2268021.0	4287374.0
P9503_101_S1_L003_R2_001	2265764.0	4289631.0
P9503_102_S2_L001_R1_001	2405644.0	4979759.0
P9503_102_S2_L001_R2_001	2423956.0	4961447.0
P9503_102_S2_L002_R1_001	2388784.0	5004656.0
P9503_102_S2_L002_R2_001	2427569.0	4965871.0
P9503_102_S2_L003_R1_001	2429585.0	5061240.0
P9503_102_S2_L003_R2_001	2478438.0	5012387.0
P9503_103_S3_L001_R1_001	2360610.0	4727643.0
P9503_103_S3_L001_R2_001	2373562.0	4714691.0
P9503_103_S3_L002_R1_001	2328035.0	4754614.0
P9503_103_S3_L002_R2_001	2384110.0	4698539.0
P9503_103_S3_L003_R1_001	2402764.0	4799261.0
P9503_103_S3_L003_R2_001	2416598.0	4785427.0
P9503_104_S4_L001_R1_001	2471799.0	5262459.0
P9503_104_S4_L001_R2_001	2492094.0	5242164.0
P9503_104_S4_L002_R1_001	2442891.0	5323666.0
P9503_104_S4_L002_R2_001	2524773.0	5241784.0
P9503_104_S4_L003_R1_001	2503956.0	5384710.0
P9503_104_S4_L003_R2_001	2552226.0	5336440.0
P9503_105_S5_L001_R1_001	2267621.0	4612305.0
P9503_105_S5_L001_R2_001	2293486.0	4586440.0
P9503_105_S5_L002_R1_001	2240558.0	4649804.0
P9503_105_S5_L002_R2_001	2312965.0	4577397.0
P9503_105_S5_L003_R1_001	2298856.0	4705004.0
P9503_105_S5_L003_R2_001	2345950.0	4657910.0
P9503_106_S6_L001_R1_001	2195227.0	4282180.0
P9503_106_S6_L001_R2_001	2240481.0	4236926.0
P9503_106_S6_L002_R1_001	2198469.0	4294652.0
P9503_106_S6_L002_R2_001	2259641.0	4233480.0
P9503_106_S6_L003_R1_001	2260477.0	4310503.0
P9503_106_S6_L003_R2_001	2284206.0	4286774.0
P9503_107_S7_L001_R1_001	2178334.0	4163264.0
P9503_107_S7_L001_R2_001	2268041.0	4073557.0
P9503_107_S7_L002_R1_001	2163848.0	4178356.0
P9503_107_S7_L002_R2_001	2279117.0	4063087.0
P9503_107_S7_L003_R1_001	2268630.0	4140294.0
P9503_107_S7_L003_R2_001	2306706.0	4102218.0
P9503_108_S8_L001_R1_001	1987682.0	3309118.0
P9503_108_S8_L001_R2_001	2050992.0	3245808.0
P9503_108_S8_L002_R1_001	1976576.0	3337565.0
P9503_108_S8_L002_R2_001	2071286.0	3242855.0
P9503_108_S8_L003_R1_001	2251025.0	3136993.0
P9503_108_S8_L003_R2_001	2106838.0	3281180.0
P9503_109_S9_L001_R1_001	2488612.0	5200039.0
P9503_109_S9_L001_R2_001	2487884.0	5200767.0
P9503_109_S9_L002_R1_001	2479726.0	5244495.0
