Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P9503_101_S1_L001_R1_001	P9503_101_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6453207.0	0.0	126.0	41.0	34.03452744123025	126.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
P9503_101_S1_L001_R2_001	P9503_101_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6453207.0	0.0	126.0	41.0	34.43915297002918	126.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
P9503_101_S1_L002_R1_001	P9503_101_S1_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6455398.0	0.0	126.0	41.0	34.14459266727713	126.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
P9503_101_S1_L002_R2_001	P9503_101_S1_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6455398.0	0.0	126.0	41.0	34.81590325108	126.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
P9503_101_S1_L003_R1_001	P9503_101_S1_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6555395.0	0.0	126.0	41.0	34.59776545912223	126.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
P9503_101_S1_L003_R2_001	P9503_101_S1_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6555395.0	0.0	126.0	41.0	34.563343916992075	126.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
P9503_102_S2_L001_R1_001	P9503_102_S2_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7385403.0	0.0	126.0	41.0	32.572949506152504	126.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
P9503_102_S2_L001_R2_001	P9503_102_S2_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7385403.0	0.0	126.0	41.0	32.82090065489705	126.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
P9503_102_S2_L002_R1_001	P9503_102_S2_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7393440.0	0.0	126.0	41.0	32.30949474416931	126.0	pass	fail	warn	pass	fail	pass	pass	pass	fail	pass	pass
P9503_102_S2_L002_R2_001	P9503_102_S2_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7393440.0	0.0	126.0	41.0	32.83408664341428	126.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
P9503_102_S2_L003_R1_001	P9503_102_S2_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7490825.0	0.0	126.0	41.0	32.43413365985587	126.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
P9503_102_S2_L003_R2_001	P9503_102_S2_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7490825.0	0.0	126.0	41.0	33.086315351970335	126.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
P9503_103_S3_L001_R1_001	P9503_103_S3_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7088253.0	0.0	126.0	41.0	33.30312806976154	126.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
P9503_103_S3_L001_R2_001	P9503_103_S3_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7088253.0	0.0	126.0	41.0	33.48584745982901	126.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
P9503_103_S3_L002_R1_001	P9503_103_S3_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7082649.0	0.0	126.0	41.0	32.86953883486844	126.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
P9503_103_S3_L002_R2_001	P9503_103_S3_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7082649.0	0.0	126.0	41.0	33.66126560750049	126.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
P9503_103_S3_L003_R1_001	P9503_103_S3_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7202025.0	0.0	126.0	41.0	33.362330361142526	126.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
