Sample	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
101_L001	6083475	59467	5557535	274232	192241	118934	65277	37306	16351	99.46
101_L002	6081851	60219	5556189	275088	190355	120438	65670	38188	16580	99.46
101_L003	6176216	64420	5641558	278573	191665	128840	67305	44868	16667	99.46
102_L001	6923908	73346	6263880	324697	261985	146692	77542	46359	22791	99.44
102_L002	6928227	74839	6268416	324962	260010	149678	77986	48959	22733	99.44
102_L003	7020998	79077	6353489	327414	261018	158154	79247	56169	22738	99.44
103_L001	6652178	74963	6019147	316172	241896	149926	77766	49534	22626	99.42
103_L002	6644279	75782	6012865	315327	240305	151564	78156	50687	22721	99.41
103_L003	6756101	80584	6113050	319963	242504	161168	79572	58804	22792	99.41
104_L001	7187665	85831	6478531	323582	299721	171662	88842	56356	26464	99.38
104_L002	7213828	86846	6504530	325127	297325	173692	89330	58149	26213	99.38
104_L003	7329326	92875	6608641	328770	299040	185750	91319	67363	27068	99.38
105_L001	6336666	98009	5670661	278554	289442	196018	96683	72891	26444	99.24
105_L002	6342546	99298	5676154	278164	288930	198596	96883	75332	26381	99.24
105_L003	6448590	104988	5772393	281167	290042	209976	98826	84494	26656	99.23
106_L001	5986541	79014	5408702	246359	252466	158028	84919	53587	19522	99.29
106_L002	6000116	80045	5420958	248186	250927	160090	84929	55037	20124	99.29
106_L003	6071196	84998	5486043	249113	251042	169996	86643	63288	20065	99.29
107_L001	5811065	78787	5204589	271885	255804	157574	83308	52490	21776	99.28
107_L002	5809018	80284	5202112	272803	253819	160568	84397	54718	21453	99.27
107_L003	5872214	84728	5260278	273871	253337	169456	85612	62293	21551	99.27
108_L001	4879884	127821	4353970	226801	171292	255642	210272	31742	13628	97.85
108_L002	4891910	129397	4364275	227703	170535	258794	211841	33192	13761	97.83
108_L003	4962235	133876	4428151	229803	170405	267752	214993	39002	13757	97.83
109_L001	7174247	76764	6490209	326075	281199	153528	87634	43995	21899	99.39
109_L002	7204542	78372	6515476	329137	281557	156744	89597	45308	21839	99.38
109_L003	7292389	83578	6597211	330280	281320	167156	90820	54204	22132	99.38
110_L001	7060204	89163	6224143	398650	348248	178326	97647	51943	28736	99.31
110_L002	7088908	90723	6249940	400399	347846	181446	98907	53970	28569	99.3
110_L003	7154872	97408	6309436	401861	346167	194816	100578	64347	29891	99.3
111_L001	6103466	84891	5346980	341162	330433	169782	91679	49830	28273	99.25
111_L002	6110646	85158	5356861	341070	327557	170316	90948	51473	27895	99.26
111_L003	6197723	91175	5433890	344014	328644	182350	92785	60931	28634	99.25
112_L001	6055537	83383	5325232	332779	314143	166766	89778	50641	26347	99.26
112_L002	6088523	84527	5356074	334930	312992	169054	90690	51850	26514	99.26
112_L003	6168502	90433	5427056	337727	313286	180866	92788	61754	26324	99.25
113_L001	6367196	87229	5650998	312707	316262	174458	91273	57684	25501	99.28
113_L002	6396447	89252	5679731	312628	314836	178504	92531	60311	25662	99.28
113_L003	6476498	94227	5752619	314846	314806	188454	93570	69313	25571	99.28
114_L001	6285842	126603	5599871	295624	263744	253206	180074	51513	21619	98.57
114_L002	6314509	128078	5623629	298574	264228	256156	180873	53624	21659	98.57
114_L003	6379880	133361	5684432	299045	263042	266722	182996	62074	21652	98.57
115_L001	6050843	115276	5390031	294149	251387	230552	165252	44972	20328	98.63
115_L002	6070790	116143	5408627	295367	250653	232286	165198	46822	20266	98.64
115_L003	6124420	120635	5457677	296210	249898	241270	166996	54254	20020	98.64
116_L001	5048119	334988	4338481	203217	171433	669976	628169	30431	11376	93.78
116_L002	5074391	336429	4363715	203373	170874	672858	630608	31148	11102	93.79
116_L003	5132998	344521	4412876	204631	170970	689042	640868	36721	11453	93.76
117_L001	8201615	90574	7460314	358927	291800	181148	113541	48142	19465	99.31
117_L002	8250466	92289	7505318	362007	290852	184578	114601	50419	19558	99.31
117_L003	8353043	97929	7599180	364391	291543	195858	116316	59509	20033	99.3
118_L001	7839698	103008	7018194	340522	377974	206016	120303	60905	24808	99.23
118_L002	7891792	105531	7067258	341030	377973	211062	122189	64068	24805	99.23
118_L003	7956993	112482	7124970	343325	376216	224964	124134	75034	25796	99.22
