Sample	no_feature	ambiguous	too_low_aQual	not_aligned	alignment_not_unique	assigned	total_count	percent_assigned
P9503_101	449130	232712	56002	70311	859367	16702437	18369959	90.92256003402076
P9503_102	507481	254510	66001	83368	1019017	18982963	20913340	90.76963794401087
P9503_103	457996	269552	74679	79212	994954	18210970	20087363	90.65883859419476
P9503_104	533586	274117	77519	94703	1026449	19769718	21776092	90.78634495115101
P9503_105	656711	326972	109993	89601	890288	17091559	19165124	89.18052917372201
P9503_106	736789	246134	81543	86503	780724	16161920	18093613	89.32389567523082
P9503_107	483141	256436	78843	86050	858956	15764719	17528145	89.93946022240232
P9503_108	396966	177743	47878	293786	708820	13134096	14759289	88.98867689358207
P9503_109	462425	286823	58073	104165	1025448	19778103	21715037	91.08021782325308
P9503_110	566413	261400	66679	114043	1253827	19095474	21357836	89.40734445193792
P9503_111	466976	230182	65115	104053	1077538	16517690	18461554	89.47074552878918
P9503_112	468625	228474	66994	101911	1053330	16440334	18359668	89.54592207222919
P9503_113	671415	269815	82158	96370	987577	17176831	19284166	89.07220047784281
P9503_114	679480	261732	79942	230862	933729	16831376	19017121	88.50643585850875
P9503_115	628511	220728	66474	214416	922069	16230278	18282476	88.77505431977595
P9503_116	621585	152755	49799	924000	631049	12901834	15281022	84.43043927297533
P9503_117	803081	298667	74368	134000	1122153	22417551	24849820	90.21212628501937
P9503_118	836302	305111	89890	137076	1071979	21303564	23743922	89.72217816416345
