Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
P9503_101_MRG_STAT	36683084.0	0.0	36683084.0	1.0	18341542.0	18341542.0	36484832.0	36427202.0	198252.0	35166350.0	36683084.0	0.0	7713.0	0.0	4184764.0	0.0	4123929885.0	2067038606.0	2056891279.0	4103090196.0	4100954026.0	0.0	0.0	3508488.0	0.0008555297	112.0	113.0	112.0	114.0	114.0	114.0	35.6	222.3	71.6	17579212.0	545888.0	3427.0	85074.0	95.9	99.45955470919512	99.30245232380135	0.5404452908048843	95.86530401860432	100.0	0.0	0.021026040231513794	0.0
P9503_101_S1_L001	12166950.0	0.0	12166950.0	1.0	6083475.0	6083475.0	12101673.0	12082646.0	65277.0	11663534.0	12166950.0	0.0	2375.0	0.0	1392821.0	0.0	1368576928.0	686027199.0	682549729.0	1361712346.0	1361020462.0	0.0	0.0	963602.0	0.0007079997	112.0	113.0	112.0	114.0	114.0	114.0	35.6	222.2	71.5	5830150.0	181719.0	1157.0	28297.0	95.9	99.46348920641574	99.30710654683385	0.536510793584259	95.86243060093122	100.0	0.0	0.019520093367688698	0.0
P9503_101_S1_L002	12163702.0	0.0	12163702.0	1.0	6081851.0	6081851.0	12098032.0	12079218.0	65670.0	11662554.0	12163702.0	0.0	2461.0	0.0	1395535.0	0.0	1366164862.0	684903111.0	681261751.0	1359263486.0	1358571817.0	0.0	0.0	1001884.0	0.0007374539	112.0	113.0	112.0	114.0	114.0	114.0	35.5	222.3	71.6	5830441.0	179715.0	1118.0	28335.0	95.9	99.460115020904	99.30544171503051	0.5398849790960022	95.87997141001975	100.0	0.0	0.020232327296410255	0.0
P9503_101_S1_L003	12352432.0	0.0	12352432.0	1.0	6176216.0	6176216.0	12285127.0	12265338.0	67305.0	11840262.0	12352432.0	0.0	2877.0	0.0	1396408.0	0.0	1389188095.0	696108296.0	693079799.0	1382114364.0	1381361747.0	0.0	0.0	1543002.0	0.001117015	112.0	113.0	112.0	114.0	114.0	114.0	35.6	222.4	71.7	5918621.0	184454.0	1152.0	28442.0	95.9	99.45512754087616	99.29492427078328	0.544872459123839	95.8536909978537	100.0	0.0	0.02329096003119062	0.0
P9503_102_MRG_STAT	41746266.0	0.0	41746266.0	1.0	20873133.0	20873133.0	41511491.0	41443452.0	234775.0	39725716.0	41746266.0	0.0	9934.0	0.0	4872952.0	0.0	4691885751.0	2354541759.0	2337343992.0	4667275326.0	4664518329.0	0.0	0.0	4121335.0	0.00088355	112.0	113.0	112.0	114.0	114.0	114.0	35.5	212.4	70.2	19857555.0	772001.0	3376.0	88794.0	95.2	99.4376143725046	99.27463213117072	0.5623856274954029	95.15992639916585	100.0	0.0	0.023796140234434382	0.0
P9503_102_S2_L001	13847816.0	0.0	13847816.0	1.0	6923908.0	6923908.0	13770274.0	13748046.0	77542.0	13177154.0	13847816.0	0.0	3018.0	0.0	1624059.0	0.0	1557236639.0	781469962.0	775766677.0	1549080299.0	1548182648.0	0.0	0.0	1139287.0	0.0007358867	112.0	113.0	112.0	114.0	114.0	114.0	35.6	212.3	70.3	6586454.0	257118.0	1075.0	29376.0	95.2	99.44004166433176	99.27952537786464	0.5599583356682383	95.15691138588208	100.0	0.0	0.021794050411992765	0.0
P9503_102_S2_L002	13856454.0	0.0	13856454.0	1.0	6928227.0	6928227.0	13778468.0	13755796.0	77986.0	13186756.0	13856454.0	0.0	3324.0	0.0	1625771.0	0.0	1555822703.0	780985408.0	774837295.0	1547675929.0	1546779846.0	0.0	0.0	1185975.0	0.000766738	112.0	113.0	112.0	114.0	114.0	114.0	35.4	212.3	70.1	6592222.0	254995.0	1102.0	29579.0	95.2	99.43718645477408	99.27356594984546	0.5628135452259286	95.16688757455552	100.0	0.0	0.023988821382440267	0.0
P9503_102_S2_L003	14041996.0	0.0	14041996.0	1.0	7020998.0	7020998.0	13962749.0	13939610.0	79247.0	13361806.0	14041996.0	0.0	3592.0	0.0	1623122.0	0.0	1578826409.0	792086389.0	786740020.0	1570519098.0	1569555835.0	0.0	0.0	1796073.0	0.001144319	112.0	113.0	112.0	114.0	114.0	114.0	35.5	212.5	70.3	6678879.0	259888.0	1199.0	29839.0	95.2	99.43564291002505	99.27085864431238	0.564357089974958	95.15603052443542	100.0	0.0	0.025580408939014084	0.0
P9503_103_MRG_STAT	40105116.0	0.0	40105116.0	1.0	20052558.0	20052558.0	39869622.0	39792552.0	235494.0	38193048.0	40105116.0	0.0	9599.0	0.0	4630783.0	0.0	4509509580.0	2261651954.0	2247857626.0	4484511325.0	4481901305.0	0.0	0.0	3846776.0	0.0008582912	112.0	113.0	112.0	114.0	114.0	114.0	35.6	213.8	67.3	19091357.0	678420.0	5067.0	121432.0	95.2	99.41280808164225	99.22063808517596	0.5871919183577476	95.23235888408851	100.0	0.0	0.023934602258724298	0.0
P9503_103_S3_L001	13304356.0	0.0	13304356.0	1.0	6652178.0	6652178.0	13226590.0	13201286.0	77766.0	12670638.0	13304356.0	0.0	3032.0	0.0	1543420.0	0.0	1496774267.0	750691169.0	746083098.0	1488506928.0	1487658797.0	0.0	0.0	1057671.0	0.0007109634	112.0	113.0	112.0	114.0	114.0	114.0	35.6	213.7	67.2	6333385.0	225555.0	1648.0	40055.0	95.2	99.41548467283948	99.22529132563801	0.584515327160518	95.2367630571521	100.0	0.0	0.022789528482250476	0.0
