Name	ORF	Link	Annotation	Growth Rate Slope	Bootstrapped p-value of slope	R^2	Growth Rate Response @1.5SD	ESR	Calibration gene?	Bootstrapped p-value of R^2	p-value of R^2	Growth Rate Baseline	Variability	Bootstrapped p-value of variability	Unresponsive?
HXT5	YHR096C	YHR096C	hexose transport || glucose transporter activity* || YHR096C || 1082169	-23.03	0.00E+00	0.79	down	up	yes	0.00E+00	5.92E-13	6.21	1.99	1.00E+00	
HSP26	YBR072W	YBR072W	response to stress* || unfolded protein binding || YBR072W || 1084960	-19.12	0.00E+00	0.68	down	up	yes	0.00E+00	5.46E-10	6.23	1.66	1.00E+00	
YBR116C	YBR116C	YBR116C	|| || YBR116C || 1084440	-18.43	0.00E+00	0.69	down		yes	0.00E+00	3.83E-10	4.80	1.60	1.00E+00	
POT1	YIL160C	YIL160C	fatty acid beta-oxidation || acetyl-CoA C-acyltransferase activity || YIL160C || 1082968	-15.88	0.00E+00	0.55	down		yes	0.00E+00	2.12E-07	3.42	1.52	1.00E+00	
YBL048W	YBL048W	YBL048W	|| || YBL048W || 1080938	-15.81	0.00E+00	0.77	down		yes	0.00E+00	1.55E-12	5.09	1.30	1.00E+00	
SFC1	YJR095W	YJR095W	fumarate transport* || succinate:fumarate antiporter activity || YJR095W || 1085959	-15.33	0.00E+00	0.21	down			7.35E-03	4.88E-03	3.00	2.18	1.00E+00	
YLR327C	YLR327C	YLR327C	biological process unknown || molecular function unknown || YLR327C || 1081648	-14.97	0.00E+00	0.58	down	up	yes	0.00E+00	6.62E-08	1.92	1.36	1.00E+00	
YRO2	YBR054W	YBR054W	biological process unknown || molecular function unknown || YBR054W || 1083309	-14.97	0.00E+00	0.43	down			1.00E-05	1.24E-05	4.95	1.57	1.00E+00	
YGR043C	YGR043C	YGR043C	biological process unknown || transaldolase activity || YGR043C || 1082595	-14.74	0.00E+00	0.64	down	up	yes	0.00E+00	6.03E-09	3.13	1.30	1.00E+00	
GPG1	YGL121C	YGL121C	signal transduction || signal transducer activity || YGL121C || 1085628	-14.47	0.00E+00	0.78	down	up	yes	0.00E+00	1.34E-12	4.01	1.15	1.00E+00	
YOL155C	YOL155C	YOL155C	cell wall organization and biogenesis || glucosidase activity || YOL155C || 1086218	-13.99	0.00E+00	0.42	down			4.00E-05	2.24E-05	3.35	1.57	1.00E+00	
NCA3	YJL116C	YJL116C	mitochondrion organization and biogenesis || molecular function unknown || YJL116C || 1084506	-13.99	0.00E+00	0.74	down		yes	0.00E+00	2.23E-11	4.13	1.19	1.00E+00	
HSP12	YFL014W	YFL014W	response to oxidative stress* || molecular function unknown || YFL014W || 1083992	-13.75	0.00E+00	0.52	down	up	yes	0.00E+00	7.11E-07	3.86	1.37	1.00E+00	
INO1	YJL153C	YJL153C	myo-inositol metabolism || inositol-3-phosphate synthase activity || YJL153C || 1081709	-13.61	0.00E+00	0.36	down			1.70E-04	1.14E-04	1.95	1.62	1.00E+00	
UIP4	YPL186C	YPL186C	biological process unknown || molecular function unknown || YPL186C || 1085973	-13.25	0.00E+00	0.64	down	up	yes	0.00E+00	4.52E-09	2.89	1.24	1.00E+00	
YLR312C	YLR312C	YLR312C	biological process unknown || molecular function unknown || YLR312C || 1082789	-13.18	0.00E+00	0.64	down	up	yes	0.00E+00	4.05E-09	3.10	1.14	1.00E+00	
MOH1	YBL049W	YBL049W	biological process unknown || molecular function unknown || YBL049W || 1081344	-13.03	0.00E+00	0.67	down	up	yes	0.00E+00	1.21E-09	4.42	1.11	1.00E+00	
DCS2	YOR173W	YOR173W	biological process unknown || molecular function unknown || YOR173W || 1082030	-12.74	0.00E+00	0.68	down	up	yes	0.00E+00	7.47E-10	3.93	1.14	1.00E+00	
MLS1	YNL117W	YNL117W	glyoxylate cycle || malate synthase activity || YNL117W || 1086587	-12.37	0.00E+00	0.11	down			6.94E-02	4.94E-02	3.33	2.67	1.00E+00	
IDP2	YLR174W	YLR174W	glutamate biosynthesis* || isocitrate dehydrogenase (NADP+) activity || YLR174W || 1083584	-12.27	0.00E+00	0.24	down			3.93E-03	2.65E-03	2.40	1.65	1.00E+00	
GRE1	YPL223C	YPL223C	response to stress* || molecular function unknown || YPL223C || 1086679	-12.15	0.00E+00	0.46	down		yes	0.00E+00	4.73E-06	3.41	1.18	1.00E+00	
HSP42	YDR171W	YDR171W	response to stress* || unfolded protein binding || YDR171W || 1085622	-11.90	0.00E+00	0.73	down	up	yes	0.00E+00	3.98E-11	3.41	0.96	1.00E+00	
YGP1	YNL160W	YNL160W	response to stress* || molecular function unknown || YNL160W || 1084970	-11.75	0.00E+00	0.36	down	up		1.90E-04	1.26E-04	3.42	1.42	1.00E+00	
YIL169C	YIL169C	YIL169C	biological process unknown || molecular function unknown || YIL169C || 1085851	-11.58	0.00E+00	0.33	down			3.90E-04	2.79E-04	2.66	1.53	1.00E+00	
MSC1	YML128C	YML128C	meiotic recombination || molecular function unknown || YML128C || 1084369	-11.56	0.00E+00	0.72	down	up	yes	0.00E+00	5.10E-11	3.04	1.02	1.00E+00	
GPH1	YPR160W	YPR160W	glycogen catabolism || glycogen phosphorylase activity || YPR160W || 1086125	-11.54	0.00E+00	0.51	down		yes	0.00E+00	8.74E-07	2.59	1.19	1.00E+00	
JEN1	YKL217W	YKL217W	lactate transport || lactate transporter activity || YKL217W || 1080916	-11.49	0.00E+00	0.18	down			1.69E-02	1.11E-02	-0.17	1.88	1.00E+00	
DDR2	YOL052C-A	YOL052C-A	response to stress || molecular function unknown || YOL052C-A || 1081749	-11.36	0.00E+00	0.77	down		yes	0.00E+00	1.58E-12	2.99	0.98	1.00E+00	
GND2	YGR256W	YGR256W	glucose metabolism || phosphogluconate dehydrogenase (decarboxylating) activity || YGR256W || 1080627	-11.18	0.00E+00	0.56	down	up	yes	0.00E+00	1.63E-07	2.94	1.09	1.00E+00	
OM45	YIL136W	YIL136W	biological process unknown || molecular function unknown || YIL136W || 1082389	-11.18	0.00E+00	0.55	down	up	yes	0.00E+00	1.95E-07	2.48	1.05	1.00E+00	
OLI1	Q0130	Q0130	protein complex assembly* || structural molecule activity* || Q0130 || 1081841	-10.99	0.00E+00	0.74	down		yes	0.00E+00	1.35E-11	2.07	0.91	1.00E+00	
HSP30	YCR021C	YCR021C	response to stress || molecular function unknown || YCR021C || 1083695	-10.96	0.00E+00	0.56	down		yes	0.00E+00	1.51E-07	2.62	1.02	1.00E+00	
PHM7	YOL084W	YOL084W	biological process unknown || molecular function unknown || YOL084W || 1083709	-10.66	0.00E+00	0.53	down	up	yes	0.00E+00	4.79E-07	4.04	0.97	1.00E+00	
POX1	YGL205W	YGL205W	fatty acid beta-oxidation || acyl-CoA oxidase activity || YGL205W || 1086172	-10.58	0.00E+00	0.36	down			1.70E-04	1.09E-04	1.50	1.20	1.00E+00	
SSE2	YBR169C	YBR169C	protein folding || molecular function unknown || YBR169C || 1083474	-10.58	0.00E+00	0.77	down	up	yes	0.00E+00	2.94E-12	2.99	0.89	1.00E+00	
YPT53	YNL093W	YNL093W	endocytosis* || GTPase activity || YNL093W || 1084631	-10.51	0.00E+00	0.78	down		yes	0.00E+00	7.40E-13	2.87	0.86	1.00E+00	
HSP104	YLL026W	YLL026W	response to stress* || chaperone binding* || YLL026W || 1085018	-10.48	0.00E+00	0.76	down	up	yes	0.00E+00	3.96E-12	2.83	0.84	1.00E+00	
AGX1	YFL030W	YFL030W	glycine biosynthesis || alanine-glyoxylate transaminase activity || YFL030W || 1084273	-10.41	0.00E+00	0.34	down			3.20E-04	2.15E-04	0.39	1.22	1.00E+00	
FBP1	YLR377C	YLR377C	gluconeogenesis || fructose-bisphosphatase activity || YLR377C || 1086804	-10.34	0.00E+00	0.15	down			3.19E-02	2.13E-02	1.87	1.66	1.00E+00	
AMS1	YGL156W	YGL156W	carbohydrate metabolism* || alpha-mannosidase activity || YGL156W || 1085375	-10.22	0.00E+00	0.84	down	up	yes	0.00E+00	3.89E-15	3.02	0.82	1.00E+00	
SNO4	YMR322C	YMR322C	pyridoxine metabolism || unfolded protein binding* || YMR322C || 1081145	-10.17	0.00E+00	0.74	down		yes	0.00E+00	1.42E-11	2.69	0.81	1.00E+00	
CTT1	YGR088W	YGR088W	response to stress || catalase activity || YGR088W || 1080876	-10.15	0.00E+00	0.53	down	up	yes	0.00E+00	5.52E-07	3.24	1.00	1.00E+00	
NDE2	YDL085W	YDL085W	ethanol fermentation* || NADH dehydrogenase activity || YDL085W || 1082045	-10.09	0.00E+00	0.55	down		yes	0.00E+00	2.29E-07	2.40	0.94	1.00E+00	
SOL4	YGR248W	YGR248W	biological process unknown || 6-phosphogluconolactonase activity || YGR248W || 1080701	-10.01	0.00E+00	0.51	down	up	yes	0.00E+00	9.22E-07	3.34	0.98	1.00E+00	
	YAL061W	YAL061W	"biological process unknown || oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor || YAL061W || 1080638"	-10.01	0.00E+00	0.42	down	up		4.00E-05	1.83E-05	3.01	1.09	1.00E+00	
ARO9	YHR137W	YHR137W	aromatic amino acid family metabolism || aromatic-amino-acid transaminase activity || YHR137W || 1086520	-9.97	0.00E+00	0.28	down	up		1.30E-03	9.51E-04	2.12	1.34	1.00E+00	
HSP32	YPL280W	YPL280W	biological process unknown || unfolded protein binding* || YPL280W || 1085743	-9.88	0.00E+00	0.78	down		yes	0.00E+00	1.00E-12	2.58	0.78	9.99E-01	
ICL1	YER065C	YER065C	glyoxylate cycle || isocitrate lyase activity || YER065C || 1081617	-9.85	0.00E+00	0.11	down			6.88E-02	4.89E-02	1.86	1.81	1.00E+00	
PAI3	YMR174C	YMR174C	vacuolar protein catabolism || endopeptidase inhibitor activity || YMR174C || 1086588	-9.80	0.00E+00	0.71	down	up	yes	0.00E+00	1.07E-10	2.43	0.79	9.99E-01	
PIR3	YKL163W	YKL163W	cell wall organization and biogenesis || structural constituent of cell wall || YKL163W || 1084812	-9.73	0.00E+00	0.42	down			4.00E-05	2.05E-05	2.16	1.00	1.00E+00	
YDR070C	YDR070C	YDR070C	biological process unknown || molecular function unknown || YDR070C || 1083116	-9.72	0.00E+00	0.54	down	up	yes	0.00E+00	3.10E-07	2.68	0.90	1.00E+00	
YMR196W	YMR196W	YMR196W	biological process unknown || molecular function unknown || YMR196W || 1083754	-9.68	0.00E+00	0.63	down	up	yes	0.00E+00	7.82E-09	2.45	0.84	1.00E+00	
YJL161W	YJL161W	YJL161W	biological process unknown || molecular function unknown || YJL161W || 1083712	-9.40	0.00E+00	0.77	down	up	yes	0.00E+00	1.80E-12	2.53	0.77	9.99E-01	
SPG1	YGR236C	YGR236C	biological process unknown || molecular function unknown || YGR236C || 1083768	-9.38	0.00E+00	0.61	down		yes	0.00E+00	2.22E-08	2.43	0.84	1.00E+00	
YPL033C	YPL033C	YPL033C	meiosis* || molecular function unknown || YPL033C || 1083763	-9.17	0.00E+00	0.36	down			1.90E-04	1.22E-04	2.66	1.06	1.00E+00	
GSC2	YGR032W	YGR032W	"cell wall organization and biogenesis* || 1,3-beta-glucan synthase activity || YGR032W || 1081286"	-9.12	0.00E+00	0.67	down		yes	0.00E+00	8.39E-10	3.17	0.75	9.98E-01	
PET10	YKR046C	YKR046C	aerobic respiration || molecular function unknown || YKR046C || 1081938	-9.06	0.00E+00	0.60	down		yes	0.00E+00	3.65E-08	2.07	0.77	9.99E-01	
GDH2	YDL215C	YDL215C	nitrogen compound metabolism || glutamate dehydrogenase activity || YDL215C || 1081443	-8.75	0.00E+00	0.46	down		yes	0.00E+00	4.92E-06	2.28	0.85	1.00E+00	
ADH2	YMR303C	YMR303C	fermentation* || alcohol dehydrogenase activity || YMR303C || 1082278	-8.74	0.00E+00	0.05	down			2.28E-01	1.82E-01	0.98	2.67	1.00E+00	
PDC6	YGR087C	YGR087C	ethanol metabolism || pyruvate decarboxylase activity || YGR087C || 1086317	-8.69	0.00E+00	0.14	down			3.37E-02	2.26E-02	3.22	1.62	1.00E+00	
UGX2	YDL169C	YDL169C	biological process unknown || molecular function unknown || YDL169C || 1082654	-8.64	0.00E+00	0.54	down		yes	0.00E+00	2.88E-07	2.45	0.81	1.00E+00	
TFS1	YLR178C	YLR178C	regulation of proteolysis and peptidolysis || lipid binding* || YLR178C || 1083918	-8.61	0.00E+00	0.71	down	up	yes	0.00E+00	1.13E-10	2.25	0.74	9.97E-01	
CSR2	YPR030W	YPR030W	cell wall organization and biogenesis* || molecular function unknown || YPR030W || 1086861	-8.59	0.00E+00	0.37	down			1.40E-04	7.62E-05	1.04	1.04	1.00E+00	
SPS19	YNL202W	YNL202W	"sporulation (sensu Fungi)* || 2,4-dienoyl-CoA reductase (NADPH) activity || YNL202W || 1084433"	-8.58	0.00E+00	0.32	down			4.40E-04	3.26E-04	1.63	0.93	1.00E+00	
YOR338W	YOR338W	YOR338W	biological process unknown || molecular function unknown || YOR338W || 1084854	-8.42	0.00E+00	0.77	down		yes	0.00E+00	1.91E-12	2.08	0.70	9.94E-01	
PRR2	YDL214C	YDL214C	MAPKKK cascade || receptor signaling protein serine/threonine kinase activity || YDL214C || 1086704	-8.37	0.00E+00	0.28	down			1.18E-03	8.41E-04	1.61	1.01	1.00E+00	
HSP78	YDR258C	YDR258C	response to stress* || ATPase activity* || YDR258C || 1084111	-8.36	0.00E+00	0.74	down	up	yes	0.00E+00	1.91E-11	1.63	0.68	9.91E-01	
YIR016W	YIR016W	YIR016W	biological process unknown || molecular function unknown || YIR016W || 1085070	-8.29	0.00E+00	0.48	down		yes	0.00E+00	2.57E-06	1.57	0.85	1.00E+00	
YDR379C-A	YDR379C-A	YDR379C-A	biological process unknown || molecular function unknown || YDR379C-A || 1085534	-8.27	0.00E+00	0.72	down		yes	0.00E+00	6.15E-11	2.22	0.68	9.92E-01	
BTN2	YGR142W	YGR142W	intracellular protein transport* || molecular function unknown || YGR142W || 1082612	-8.25	0.00E+00	0.55	down		yes	0.00E+00	2.09E-07	1.98	0.73	9.97E-01	
YJR008W	YJR008W	YJR008W	biological process unknown || molecular function unknown || YJR008W || 1082730	-8.22	0.00E+00	0.78	down	up	yes	0.00E+00	8.10E-13	2.28	0.67	9.90E-01	
	YHR138C	YHR138C	"vacuole fusion, non-autophagic || endopeptidase inhibitor activity || YHR138C || 1084307"	-8.21	0.00E+00	0.64	down	up	yes	0.00E+00	3.77E-09	2.75	0.71	9.95E-01	
HXT7	YDR342C	YDR342C	hexose transport || glucose transporter activity* || YDR342C || 1083741	-8.13	0.00E+00	0.20	down			8.56E-03	5.73E-03	-1.10	1.29	1.00E+00	
ROM1	YGR070W	YGR070W	cell wall organization and biogenesis* || signal transducer activity* || YGR070W || 1084320	-8.12	0.00E+00	0.71	down		yes	0.00E+00	1.29E-10	2.32	0.64	9.82E-01	
YLL067C	YLL067C	YLL067C	biological process unknown || helicase activity || YLL067C || 1085059	-8.11	0.00E+00	0.63	down		yes	0.00E+00	7.59E-09	2.07	0.68	9.92E-01	
YTP1	YNL237W	YNL237W	biological process unknown || molecular function unknown || YNL237W || 1081587	-8.07	0.00E+00	0.57	down		yes	0.00E+00	8.73E-08	1.64	0.71	9.95E-01	
YJL144W	YJL144W	YJL144W	response to dessication || molecular function unknown || YJL144W || 1085931	-8.03	1.00E-05	0.74	down	up		0.00E+00	2.41E-11	2.99	0.63	9.78E-01	
YLR149C	YLR149C	YLR149C	biological process unknown || molecular function unknown || YLR149C || 1081365	-7.95	1.00E-05	0.68	down	up		0.00E+00	7.53E-10	2.19	0.70	9.94E-01	
GUT2	YIL155C	YIL155C	carbohydrate metabolism* || glycerol-3-phosphate dehydrogenase activity || YIL155C || 1084864	-7.88	1.00E-05	0.26	down			2.36E-03	1.62E-03	1.08	1.08	1.00E+00	
ECM13	YBL043W	YBL043W	cell wall organization and biogenesis || molecular function unknown || YBL043W || 1082501	-7.84	1.00E-05	0.24	down			3.38E-03	2.29E-03	1.28	1.11	1.00E+00	
SSA4	YER103W	YER103W	response to stress* || unfolded protein binding || YER103W || 1084435	-7.84	1.00E-05	0.63	down	up		0.00E+00	6.17E-09	2.13	0.68	9.91E-01	
HBT1	YDL223C	YDL223C	cellular morphogenesis during conjugation with cellular fusion || molecular function unknown || YDL223C || 1084326	-7.81	1.00E-05	0.58	down			0.00E+00	6.77E-08	1.99	0.71	9.95E-01	
GPX1	YKL026C	YKL026C	response to oxidative stress || glutathione peroxidase activity || YKL026C || 1081772	-7.80	1.00E-05	0.62	down	up		0.00E+00	1.02E-08	1.86	0.68	9.91E-01	
IDP3	YNL009W	YNL009W	fatty acid beta-oxidation* || isocitrate dehydrogenase (NADP+) activity || YNL009W || 1085181	-7.80	1.00E-05	0.54	down	up		0.00E+00	3.16E-07	1.87	0.71	9.96E-01	
MBR1	YKL093W	YKL093W	aerobic respiration || molecular function unknown || YKL093W || 1084573	-7.76	1.00E-05	0.31	down	up		5.60E-04	4.39E-04	1.32	0.99	1.00E+00	
RTN2	YDL204W	YDL204W	biological process unknown || molecular function unknown || YDL204W || 1082119	-7.67	2.00E-05	0.57	down	up		0.00E+00	8.48E-08	1.70	0.72	9.96E-01	
STF2	YGR008C	YGR008C	ATP synthesis coupled proton transport* || molecular function unknown || YGR008C || 1082502	-7.64	2.00E-05	0.61	down	up		0.00E+00	1.56E-08	1.96	0.67	9.89E-01	
YDL110C	YDL110C	YDL110C	biological process unknown || molecular function unknown || YDL110C || 1084277	-7.64	2.00E-05	0.71	down	up		0.00E+00	1.02E-10	2.01	0.65	9.84E-01	
YKL151C	YKL151C	YKL151C	biological process unknown || molecular function unknown || YKL151C || 1085993	-7.62	2.00E-05	0.79	down	up		0.00E+00	3.72E-13	2.11	0.61	9.64E-01	
