baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SGD_DB_ID	SYS_ID	ORG	GENE_SYM	NAME	DESCRIPTION
1744.43692793155	0.195143508386252	0.0680024222643471	2.86965525474471	0.00410919546425328	0.00605850088629815	S000000001	YAL001C	S. cerevisiae	TFC3	Transcription Factor class C	Subunit of RNA polymerase III transcription initiation factor complex; part of TauB domain of TFIIIC that binds DNA at BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); colocalizes with condensin at pol III genes and several ETC (“extra TFIIIC)” sites; may have a role in recruiting or stabilizing Scc2/4 and condensin on chromosomes
1366.67664885536	0.663104493659731	0.0640541131604589	10.3522546943804	4.08744560713598e-25	1.72799553560456e-24	S000000002	YAL002W	S. cerevisiae	VPS8	Vacuolar Protein Sorting	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif
26553.482554893	-0.541790018610033	0.0782784051574677	-6.9213216278506	4.47449291925480e-12	1.14765889392484e-11	S000000003	YAL003W	S. cerevisiae	EFB1	Elongation Factor Beta	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants
34515.4521005819	2.98850042035663	0.090448620201115	33.0408624665762	2.10452678745247e-239	2.2432185527895e-237	S000000004	YAL005C	S. cerevisiae	SSA1	Stress-Seventy subfamily A	ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils
2694.72858658681	-1.38896884378986	0.0716078196434049	-19.3968878078776	8.19869555220607e-84	1.32606762389164e-82	S000000005	YAL007C	S. cerevisiae	ERP2	Emp24p/Erv25p Related Protein	Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication
945.371910739999	1.01907113945367	0.0717520312243563	14.2026800086984	8.81747068009281e-46	6.81702667799803e-45	S000000006	YAL008W	S. cerevisiae	FUN14	Function Unknown Now	Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis
655.088092233353	-0.297554168733532	0.0761469905873631	-3.90762873802806	9.32063808238708e-05	0.000156758377681533	S000000007	YAL009W	S. cerevisiae	SPO7	SPOrulation	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation
637.175242276642	0.039296727536081	0.0744440382098812	0.527869369811604	0.597590005485636	0.639067469682172	S000000008	YAL010C	S. cerevisiae	MDM10	Mitochondrial Distribution and Morphology	Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase
984.401981506254	0.0594982307571274	0.089756838315603	0.662882426271743	0.507405857736715	0.551790079779917	S000000009	YAL011W	S. cerevisiae	SWC3	SWr Complex	Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae
6896.6972067324	0.126730449589471	0.173528973881436	0.730312908298875	0.465198939742191	0.510846733018701	S000000010	YAL012W	S. cerevisiae	CYS3	CYStathionine gamma-lyase	Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress
