SGD_DB_ID	SYS_ID	ORG	GENE_SYM	NAME	DESCRIPTION	log2FoldChange	padj	log2FoldChange	padj	log2FoldChange	padj
S000000166	YBL070C	S. cerevisiae	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	-1.3799689044941	0.0254959145047044	-2.1597161946329	0.000578723570749364	-4.75372243079396	3.88589175699818e-05
S000000236	YBR032W	S. cerevisiae	""	""	Putative protein of unknown function; conserved among S. cerevisiae strains; YBR032W is not an essential gene	-1.18303078466377	3.52572914564547e-11	-3.03316143833654	1.94503822245913e-52	-5.47932106236743	2.75935117854424e-57
S000000238	YBR034C	S. cerevisiae	HMT1	HnRNP MethylTransferase	Nuclear SAM-dependent mono- and asymmetric methyltransferase; modifies hnRNPs, including Npl3p and Hrp1p, affecting their activity and nuclear export; methylates U1 snRNP protein Snp1p, ribosomal protein Rps2p, and histones H3 and H4; interacts genetically with genes encoding components of Rpd3(L) and this interaction is important for Rpd3 recruitment to the subtelomeric region	-0.729520146617562	4.4700258876877e-13	-1.19092462964518	1.31533935838041e-33	-2.29908777844949	4.0691947573602e-119
S000000293	YBR089W	S. cerevisiae	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene POL30	0.520424716997224	0.535631863803398	-0.0231664400069892	0.97853032769746	-2.57476999386859	0.0203851988935522
S000000345	YBR141C	S. cerevisiae	BMT2	Base MethylTransferase of 25S RNA	Nucleolar S-adenosylmethionine-dependent rRNA methyltransferase; methylates adenine (m1A) of large subunit (LSU) rRNA at position 2142; belongs to Rossmann fold superfamily; null mutant exhibits abnormal lipid metabolic phenotype; not an essential gene	0.0444207958454582	0.734573734301288	-0.24963049223234	0.0240738499792111	-1.40113593580126	1.56728179329817e-34
S000000579	YCL074W	S. cerevisiae	""	""	Pseudogene: encodes fragment of Ty Pol protein	1.04314329994222	0.494613058376804	1.33598112713749	0.331244588964866	-2.34273923483233	0.187811239456217
S000000589	YCL026C-A	S. cerevisiae	FRM2	Fatty acid Repression Mutant	Type II nitroreductase, using NADH as reductant; mutants are defective in fatty acid mediated repression of genes involved in fatty acid biosynthesis indicative of a role in lipid signaling; involved in the oxidative stress response; transcription induction by cadmium and selenite indicates a possible role in the metal stress response; expression induced in cells treated with the mycotoxin patulin	-0.710684552495697	0.00391430926945992	0.0384723810547016	0.878881466978929	-3.14580051808374	2.76061132111512e-17
S000000660	YCR064C	S. cerevisiae	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene BUD31	-0.432751483941184	0.32405003529419	-0.540705987485231	0.184816640027012	-1.68875512248866	0.000178720362983143
S000000947	YER145C	S. cerevisiae	FTR1	Fe TRansporter	High affinity iron permease; involved in the transport of iron across the plasma membrane; forms complex with Fet3p; expression is regulated by iron; protein abundance increases in response to DNA replication stress	0.712040737165753	9.59210065636162e-05	1.08193509091963	8.38595156839266e-10	-0.542752500898807	0.00255144080089036
S000001039	YHL047C	S. cerevisiae	ARN2	AFT1 ReguloN	Transporter; member of the ARN family of transporters that specifically recognize siderophore-iron chelates; responsible for uptake of iron bound to the siderophore triacetylfusarinine C	1.42828728253651	1.59036565664434e-06	2.04856896121638	1.35506897895602e-12	0.189861604233806	0.553890877661528
S000001407	YIL145C	S. cerevisiae	PAN6	PANtothenate biosynthesis	Pantothenate synthase; also known as pantoate-beta-alanine ligase, required for pantothenic acid biosynthesis, deletion causes pantothenic acid auxotrophy, homologous to E. coli panC	-0.960888375732917	2.75377343338682e-47	-0.742300338866548	2.62887652550662e-30	-2.28626775222374	4.49783118133126e-218
S000001561	YKL078W	S. cerevisiae	DHR2	DEAH-box RNA helicase	Predominantly nucleolar DEAH-box ATP-dependent RNA helicase; required for 18S rRNA synthesis	-0.664615733660865	5.54156698487929e-10	-1.24038847679534	2.53248838482656e-32	-2.27551822913633	2.68073333745075e-98
S000001928	YFR032C	S. cerevisiae	RRT5	Regulator of rDNA Transcription	Putative protein of unknown function; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription; expressed at high levels during sporulation	1.20542620545442	6.6803934690688e-06	-1.30394009065739	2.52527893826842e-06	-3.01766776457097	1.61164476153886e-20
S000002195	YDL037C	S. cerevisiae	BSC1	Bypass of Stop Codon	Protein of unconfirmed function; similar to cell surface flocculin Flo11p; ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression; in W303 strain one continuous open reading frame comprising of YDL037C, the intergenic region and YDL039C encodes the gene IMI1	-1.74785966183686	1.59482358079256e-09	-2.86750837963355	3.72460258471138e-24	-4.03275219817561	1.50541694244342e-45
S000002197	YDL039C	S. cerevisiae	PRM7	Pheromone-Regulated Membrane protein	Pheromone-regulated protein; predicted to have one transmembrane segment; promoter contains Gcn4p binding elements; in W303 strain one continuous open reading frame comprising of YDL037C, the intergenic region and YDL039C encodes the IMI1	-1.75282860443083	4.6100993276054e-12	-2.81589907427508	6.61098737278585e-30	-3.96042269722119	2.75985307723487e-57
