Entry	Status	Protein names	Organism	Length	Gene names  (ordered locus )	Gene names  (primary )	Cross-reference (KEGG)	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)
Q6BX67	reviewed	Mitochondrial inner membrane magnesium transporter MRS2 (RNA-splicing protein MRS2)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	476	DEHA2B05566g	MRS2	dha:DEHA2B05566g;	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; magnesium ion transmembrane transporter activity [GO:0015095]; mitochondrial magnesium ion transmembrane transport [GO:0045016]	mitochondrial magnesium ion transmembrane transport [GO:0045016]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]	magnesium ion transmembrane transporter activity [GO:0015095]
Q6BW83	reviewed	DNA mismatch repair protein MSH3 (MutS protein homolog 3)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1028	DEHA2B13574g	MSH3	dha:DEHA2B13574g;	MutSbeta complex [GO:0032302]; ATP binding [GO:0005524]; double-strand/single-strand DNA junction binding [GO:0000406]; heteroduplex DNA loop binding [GO:0000404]; Y-form DNA binding [GO:0000403]; meiotic mismatch repair [GO:0000710]; mitotic recombination [GO:0006312]; removal of nonhomologous ends [GO:0000735]; replication fork arrest [GO:0043111]	meiotic mismatch repair [GO:0000710]; mitotic recombination [GO:0006312]; removal of nonhomologous ends [GO:0000735]; replication fork arrest [GO:0043111]	MutSbeta complex [GO:0032302]	ATP binding [GO:0005524]; double-strand/single-strand DNA junction binding [GO:0000406]; heteroduplex DNA loop binding [GO:0000404]; Y-form DNA binding [GO:0000403]
Q6BQD2	reviewed	Leucine carboxyl methyltransferase 1 (EC 2.1.1.233) (Protein phosphatase methyltransferase 1) ([Phosphatase 2A protein]-leucine-carboxy methyltransferase 1)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	369	DEHA2E06094g	PPM1	dha:DEHA2E06094g;	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	methylation [GO:0032259]		methyltransferase activity [GO:0008168]
Q6BV91	reviewed	Pre-mRNA-processing protein 45	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	341	DEHA2C04444g	PRP45	dha:DEHA2C04444g;	spliceosomal complex [GO:0005681]; mRNA splicing, via spliceosome [GO:0000398]	mRNA splicing, via spliceosome [GO:0000398]	spliceosomal complex [GO:0005681]	
Q6BXN9	reviewed	DNA replication regulator SLD2	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	459	DEHA2B01474g	SLD2	dha:DEHA2B01474g;	cytoplasm [GO:0005737]; nucleus [GO:0005634]; cell cycle [GO:0007049]; DNA replication initiation [GO:0006270]	cell cycle [GO:0007049]; DNA replication initiation [GO:0006270]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	
Q6BMZ5	reviewed	Ribosome biogenesis protein SLX9	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	188	DEHA2F01430g	SLX9	dha:DEHA2F01430g;	90S preribosome [GO:0030686]; nucleolus [GO:0005730]; preribosome, small subunit precursor [GO:0030688]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	90S preribosome [GO:0030686]; nucleolus [GO:0005730]; preribosome, small subunit precursor [GO:0030688]	
Q6BVY9	reviewed	Mitochondrial import inner membrane translocase subunit TIM50	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	471	DEHA2B15642g	TIM50	dha:DEHA2B15642g;	integral component of membrane [GO:0016021]; TIM23 mitochondrial import inner membrane translocase complex [GO:0005744]; protein transport [GO:0015031]	protein transport [GO:0015031]	integral component of membrane [GO:0016021]; TIM23 mitochondrial import inner membrane translocase complex [GO:0005744]	
Q6BJ51	reviewed	DNA repair and recombination protein RAD52	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	573	DEHA2G05148g	RAD52	dha:DEHA2G05148g;	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]	DNA recombination [GO:0006310]; DNA repair [GO:0006281]	nucleus [GO:0005634]	DNA binding [GO:0003677]
Q6BQT6	reviewed	Protein transport protein SEC23	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	746	DEHA2E02332g	SEC23	dha:DEHA2E02332g;	COPII vesicle coat [GO:0030127]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; GTPase activator activity [GO:0005096]; zinc ion binding [GO:0008270]; COPII-coated vesicle budding [GO:0090114]; intracellular protein transport [GO:0006886]; positive regulation of GTPase activity [GO:0043547]; regulation of COPII vesicle coating [GO:0003400]; reticulophagy [GO:0061709]	COPII-coated vesicle budding [GO:0090114]; intracellular protein transport [GO:0006886]; positive regulation of GTPase activity [GO:0043547]; regulation of COPII vesicle coating [GO:0003400]; reticulophagy [GO:0061709]	COPII vesicle coat [GO:0030127]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]	GTPase activator activity [GO:0005096]; zinc ion binding [GO:0008270]
Q6BNQ8	reviewed	AdoMet-dependent rRNA methyltransferase SPB1 (EC 2.1.1.-) (2'-O-ribose RNA methyltransferase) (S-adenosyl-L-methionine-dependent methyltransferase)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	831	DEHA2E19690g	SPB1	dha:DEHA2E19690g;	nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]; rRNA (guanosine-2'-O-)-methyltransferase activity [GO:0070039]; rRNA (uridine-2'-O-)-methyltransferase activity [GO:0008650]; enzyme-directed rRNA 2'-O-methylation [GO:0000453]	enzyme-directed rRNA 2'-O-methylation [GO:0000453]	nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]	rRNA (guanosine-2'-O-)-methyltransferase activity [GO:0070039]; rRNA (uridine-2'-O-)-methyltransferase activity [GO:0008650]
